mnckcdgwrz,fbtlrdqvbs,hhgyhlfxry,mtzdbdphub,qucvhsmsan
0.0125,qbpetgwktz,755,zknkopuxge,rjiaybiuqr
-562,477,vescluwfhr,-0.0995,292
CAT,kybbayryyk,hkgcoytwvk,zyiiakkxvv,squzutyzdr
eupdydaeyz,0.409,cofgsfmpen,0.444,30
-687,-0.4185,nusxvwfeet,wgloczygdi,976
doG,cat,dOg,0.492,wjyhgpnout
-0.084,CAT,DOg,-974,-263
859,0.0165,zddiufweeh,eoldsuyzhd,983
-0.3135,nekgdumzuo,181,-968,lonntyjxaw
uppdibtzdj,cAt,-580,550,0.4505
-0.3255,-0.3075,cAT,CaT,CAT
vroyoxpxcj,0.322,kwrbducyaq,caT,-466
oluvnwryez,pfgxpuddrc,-703,-392,0.0525
-517,796,lfrnlwgpgm,-0.2195,0.4325
yhgpjoznxc,cat,0.332,CAT,0.487
doG,dog,-387,0.2705,0.166
0.0505,-0.1815,0.4755,dpwuiywpzn,zxxouniklo
-77,920,-473,0.164,caT
-0.4585,313,783,-0.4895,CaT
seumnqnqfj,-224,cat,949,mptpyvwprx
CAt,-0.42,-487,0.2525,675
DoG,doG,-0.2035,cAT,45
-0.4205,jrryydtxpu,73,0.169,anqqaccywc
-626,0.095,-475,Cat,dqbdwsoqva
hkmoyhrvqw,qadrpbuzpl,vbpnruwwrn,chqmaoaote,exnptvxabt
-794,744,-0.357,dog,457
iqatovbusm,dog,-73,836,fxkkkizucj
-811,nqjbaiepcb,cAT,-0.3625,-0.3815
0.31,-433,-692,-0.003,-82
grqkpmtpsu,-0.0995,-934,71,0.1395
nldrfnwofm,Cat,ukpgnjwety,177,62
-719,-0.445,-0.146,-425,-0.2685
xevmiruqve,zqspkglcct,0.1285,CAT,-461
135,dOg,doG,0.0675,tcynxvqbee
312,kfgrwbdcvy,dog,0.1545,0.4915
0.181,0.4655,-0.1325,-0.3955,-977
doG,-0.412,doG,461,-0.356
-719,xnnvdtgsdh,-0.0535,-576,-620
DoG,-644,-0.173,DOg,54
dOG,-0.332,dyczkdenkk,vetiancfzm,-0.119
58,xhngamnbsj,DoG,zrwwtzckfu,0.295
doG,fmuqwmhsyc,cAT,0.4165,0.2035
0.4945,wpxwvlxywh,qwfwpkpdua,iwrpcohkzg,0.2205
0.3165,0.371,ijfzvmqxem,-0.0735,-0.054
-68,cat,caT,kphymcdizz,qwoswsfjdx
-332,43,-335,-486,DoG
160,ytigdacdiu,CAT,dog,698
-651,-0.2455,imvxsgammz,sarodyxfnd,DOg
