PeT,rpctiemkjd,qylgllykqf,wvmbjjvwcx
caT,-784,-0.4675,0.4085
0.012,149,635,doG
CAt,203,zdambbsnze,CAT
CAt,-719,oicrqjvanx,-0.3055
cat,ssinnbaybx,-546,fwxqdqloel
0.261,-0.4395,-0.439,0.215
CAT,6,ybshwxjrzy,0.2955
991,-0.394,619,0.28
caT,zzqdzjzdbw,907,713
-723,rjyzapftcs,zkfhtirnnd,-394
dOG,dOg,182,caT
DoG,46,-0.035,409
caT,804,0.265,vdmvhfutrb
0.053,rcnsiyfunr,fnokygfymf,-0.1565
CAt,-0.404,dOG,ldyxexjpdw
caT,nvfuqvjojw,DOG,gwzngdjaen
DOG,nwfoxhdxzv,0.404,-660
Cat,xhqndplqbg,-0.463,810
DOg,DOG,346,mxhvangyfx
0.123,458,-529,eevepsexmf
cAT,anqgjxmyzz,cat,647
CAt,479,uikarejbjy,ustkswqmyk
dog,-0.4225,hbjpqomyab,-107
CAt,-0.3655,-948,-7
-0.457,-0.398,qbbmmpclht,-920
CAT,371,-5,0.0395
cAT,0.05,-0.477,-246
CAt,0.3645,-0.0915,-699
hxquhtwerm,ssxwsktqhr,542,qvuelutbpn
Dog,lvcymaumrt,-0.0855,sexinoyntp
-587,0.16,938,cAt
dog,865,0.399,674
DOG,nrtvunjvgk,0.482,-0.0725
cAT,pkidmthxso,-0.0055,0.4795
CAT,-0.0805,fwadbtidsh,ipvgvyezaj
DOg,-0.0545,0.034,vzwczwjkfr
dog,xzmtizpyhm,DOG,645
dOg,bifeghmogh,-610,-0.1485
-800,655,-0.2285,DOG
yxqvwsmzit,-0.246,CAT,dog
dog,-0.377,-859,667
dOG,oxrfrrezyi,0.115,124
0.3895,trzdnfqfxa,-919,cat
-0.2575,ebbdlpkbfm,79,wnugpokpgm
CAT,-0.0695,-0.34,dOg
xhdjowaxqc,-37,bbatfkuurl,CaT
dog,cAt,0.2405,744
