tqosnfzlxj,becrloqchl,hazqpyonws,pyxaxtkvju,pet
-442,363,CAt,-872,-0.2835
zfyhmrlmju,uazwhqzqsy,tdboeqblru,dOg,dOG
-153,0.1305,0.314,uvoywxfpzh,hggoocvxpl
DOg,tedpyighwr,cat,0.2075,CaT
-348,-437,cat,-176,-0.4935
-419,DOG,-485,dOg,-379
-0.1865,rnszmvfdze,0.2365,jyulngxjyc,cAT
0.2135,-941,caT,-0.3105,-657
-756,cAT,411,-710,biqigoegvr
-599,CAT,899,dOg,CAT
sqmvqspjqb,pamyqcyvns,-793,otqqyizonc,-0.2215
0.2445,ndzdavkuth,-435,CaT,DoG
-0.0085,-803,xcpijsmpre,-372,DoG
-168,0.4895,-0.139,cAT,caT
dOG,darxjewepz,Cat,ruhkwmaqyf,DOg
bmpqhvofwf,ukpvjuruka,prtteursiy,-0.0635,DOg
zgpvzdpppb,0.103,vwqytjhgzy,jgiphwbfyl,-0.209
frmkrzsgkj,bghhcwqbhk,-410,Cat,Dog
CAT,-0.0065,ogjuvdtijb,rkbdapklpj,DOG
417,-0.2665,912,aaydwktjam,doG
763,-0.216,aiyfchgzbm,0.497,CAT
140,0.1555,0.056,-0.1,DOG
807,0.105,ehvojjaokz,-0.3195,cat
0.2685,-0.0035,mdcakbwyso,DOg,Dog
882,hchbdczfjq,Dog,-857,Cat
-46,-980,88,544,CAT
mktvcmyuua,dOG,horjhubahv,zhrbnrsikq,DoG
0.262,yjhkcdotlx,qfgtkeanao,-0.216,Dog
0.4525,0.341,esxialyklc,164,Dog
okmybohnvo,0.0475,0.3665,0.332,CAT
-715,Cat,edbrlbcdld,-0.4905,CaT
-12,-0.215,-351,-0.279,0.1975
uwmumlzxqe,qowbrupylz,0.155,-0.17,0.181
fesxlyhped,-324,-0.2145,-0.0205,DoG
-0.234,-0.0235,480,pxotpqfbkc,DoG
CaT,cAt,0.053,877,0.381
xhbgmxjcee,-416,CaT,-253,CaT
cAt,401,atsnvznvpr,jvcbfmherj,DOG
