hhkppedtnm,xlanncynps,dddwbmzchc,npetoyxvgr,PEt,zvdweszgop,ldiuitfcsr
-237,-0.3545,-214,-0.2905,dOg,0.2425,caT
0.34,nabuyymful,Dog,-0.463,Cat,-962,0.4665
851,ulzatxlzns,kftdmutvtl,mpmgbfxrkv,cAT,0.2205,854
CaT,-176,qdkzpvjyue,DOg,doG,-0.079,-0.3815
tqtjtwileq,-769,djzaorhxbj,-0.074,CAT,mygvhlcrof,-478
-551,371,543,801,dog,-0.0565,0.3085
246,stnlyftdqd,379,433,tjdeyqhaow,dog,eskcfvthko
-0.0225,xfazpmucqw,-0.035,-0.4825,cat,246,-185
790,-0.025,dOg,795,cat,0.091,nhzdupeuwl
-0.098,ljvoloqpfh,816,-0.0655,CAT,0.2995,-0.0035
-684,mcwjhreree,0.2695,wyhhylhjwz,0.3,pjiyucgevx,-0.249
-0.3895,440,286,gbyexxvsmd,axqeuvsrwl,654,ernczzibcj
-0.391,DoG,yzpwcctsfk,0.1595,cAt,777,mxbluzggha
dog,caT,0.4465,0.1125,0.404,-181,0.282
-0.1935,ktfsmeufar,-984,-0.37,592,373,emczzdjnnm
dttugqeiwr,-252,0.191,992,dog,Dog,-0.229
223,tpensjfwbb,qfjocbgcuj,lqnejakrdj,isthphcbgg,bcsmysbblg,xfjzojeshz
-0.0745,0.3365,bzmvhersir,-0.2215,cat,-0.368,846
0.1375,0.4535,CAT,-10,CAT,-0.455,Dog
915,46,-0.3245,xjepmjmzlh,0.25,741,97
bajokivgfe,-0.303,CaT,-918,ijfyndrovf,0.0625,0.115
-286,CAT,880,321,0.2805,0.0395,yymdmaeuja
-865,DoG,xwdyfcwnsc,-0.105,cAT,Dog,eyttwkiwgi
ohzqtzibnh,pbttrgmhkz,lefcmbhjxc,wfpjjmfueq,-443,dbybbtmlbt,dog
sjiqgdeyab,0.1845,szbwelpaum,-0.3525,-881,tblrtlyjdv,-840
-54,-420,-652,0.445,dog,0.35,-0.3955
169,-12,cAT,-0.076,kjswggldgr,CAt,DOG
wmxgstxpje,-363,eswacdjmag,vbypobqzys,doG,-292,712
748,0.137,475,-968,Cat,0.063,0.0935
-0.2605,CAt,-268,572,DOg,-0.3615,Cat
0.323,-0.0255,-250,-0.001,DOG,ruailhibeb,-0.1315
arwnwvawgc,0.135,0.323,0.0595,0.473,-461,dOg
rguzbnnnpy,0.493,DOg,0.3005,542,0.1995,0.132
dOg,dog,pwueothuhk,983,fjlhupvulb,-0.081,-0.2605
-165,252,cAt,-951,cAT,caT,dog
DOg,-340,312,-358,Dog,-67,0.182
-625,Cat,Dog,609,0.3925,lsebvusnpg,0.0435
dOG,0.4525,-0.2025,dOG,DOG,mxcfunuecu,cAT
pmnthlinrq,khwjlubrce,kzaithmtnp,eigganfsvz,DOG,CAT,psvoirydmz
0.0895,dog,-219,dOg,doG,199,bmgnjnxkqa
