rmhpcbtnor,awcoycntlx,tciasiwodt,qiluptfakn,hgciunjczx
wveaaiumup,dog,-0.2035,-786,oxsxjxjgvk
dOg,506,dog,0.0205,dOg
pspvfwgndf,-0.1705,wrsoayrete,dog,jmjqswwsvd
0.2535,rcpemmnuoe,-451,nvvysqepqq,-0.035
726,-423,-0.049,0.3595,uionqgvqvm
ksdfrsocgx,-5,-0.1675,pwjdulfjux,0.2335
fgtmtpqblt,-649,-0.447,-0.412,efqchdruso
0.1085,-909,esnxvmehcx,0.401,zeymfxgvcv
925,0.1555,-805,doG,DOG
dpyuoffxve,-866,292,fafqdsexgm,491
cAT,-982,ctfnnkhybf,yxwkxxdlvd,155
DoG,CaT,-648,-0.4505,0.357
32,0.101,0.2925,0.0295,-675
-0.354,zcwatdlrdw,59,cenuubtwap,884
cyzqhciemf,0.245,cAt,CAt,doG
692,481,-0.3225,0.3125,0.339
dOG,-0.32,905,bjuravcyst,928
ucsirfyohi,exsluqizao,dog,0.47,762
197,tuheoxaety,dOG,dog,-0.205
-0.2515,CaT,0.013,-348,-0.111
-633,0.343,kkysywvozq,DOG,768
ppwaykooav,yssrqhomkp,44,dOG,351
krgulxvkjm,dOg,-0.4865,DOG,0.4225
cat,-0.0355,priszkrgpr,0.214,-0.2525
qszjskpbki,-0.2985,qtxjxljutl,0.0935,0.3265
-970,972,0.2825,yicoiqbvvn,-861
-0.448,dxujwsbxyt,-0.4435,jrbaswldph,0.2275
-0.2325,shheekpasg,0.0225,kmszatgtsl,361
0.1,0.3455,0.214,cyhrblkdby,hvknqqvbwx
Cat,688,rzrifiiyee,-0.406,-0.3955
CAt,DOg,kirabybnwo,-314,0.307
-97,-149,dog,wozlyizuhh,-0.497
0.4945,-301,-0.371,431,caT
cAT,0.411,674,-0.4395,cat
277,0.339,wktbvrpbyy,-856,-363
0.151,itgpfaxfot,csdizjctny,vpqhwhuhqt,ujjirvzkez
lzvppfdfak,doG,0.3845,0.118,817
bogottrbxq,-333,komsdzydad,DOG,pqnoosprkj
