vxdwkbswcm,gakdhfovkm,PET,mclsnlejpb
-0.0405,ycudjasirf,DoG,0.1975
fzbfhklrii,-816,Dog,cAT
hvzwiachfx,791,caT,DOg
418,-0.1525,CAt,0.1035
DOg,0.46,caT,xqmcvkdswl
DOG,0.3005,cAt,-0.213
151,DOG,dog,DOg
oldeeajqyi,DOG,DOg,DoG
qgqxgolrbn,kycbyflvtc,DoG,qtdotwajwe
Dog,plyzmfsvzh,doG,cat
CaT,CaT,Cat,idejrxtcov
8,cat,DOG,hlrdhleiyl
-0.0435,pbvxcefyad,cAT,0.1585
CaT,DOg,-284,cAT
-0.034,khioaitvhw,CAT,bjsbifxejj
txxvqsrhfk,cAt,dOg,-569
0.386,-0.367,DOG,DOG
zernyrhkxa,403,cat,-289
-0.236,-693,doG,0.034
56,DoG,719,yscninnucc
nlsecbtmdy,yoagdlsoja,cAT,248
-299,0.0745,cAT,nlxkrjrpjm
-343,-724,caT,dOG
hsweylwxbl,-334,CAt,-482
gelvvcvrfg,0.363,doG,cat
38,505,890,mkzrazxwza
-0.425,-671,dOg,285
cAT,-0.4055,caT,-0.365
kpyghahpfi,-677,kjwpjlzgzk,-890
cltcadfyju,cAT,dOG,caT
cAT,-265,cat,dnoubwwmcf
0.1685,DoG,jlefamqjek,dog
-0.3325,DOg,CaT,mqaamrgiqi
gjebgkcchg,225,dog,604
-912,0.3325,-450,555
pkhouvhsza,gvfjkdxugz,0.0405,691
njbsovuerg,gvrphykpgf,Cat,0.065
rcorlyonvg,CAt,CaT,DOG
uvhzhjnvhx,184,dOG,ivephixosh
uvhcdxcyqz,tdasricwwy,cAT,hbakjbpbkn
tljbpkrcmt,oqwxuljanc,CaT,446
935,0.012,dOG,-105
0.3185,dogazpbtby,DOg,qynkirqqih
-0.4815,qrpexpvqhr,doG,-0.2035
0.0645,-0.3025,DOG,116
612,thghowjqru,tmchuvdkog,cAt
-430,366,Dog,irtmjyzqfl
786,0.398,CAt,cfmgxfoyjf
-136,zsxyjepgvp,CAt,cat
-0.428,-0.0485,dOG,dog
-0.1815,CaT,DoG,DOG
cAt,810,ceyzaqdmuc,-379
DOg,wgwbjmaatz,171,-307
vyfjmceetr,xzlyptqygl,cAT,uvjqaqfoak
360,-0.376,dOg,351
tsubwbgrxe,szkotbutdo,-428,CAt
