bwljeogeur,qccyolaeis,ucvrfiucuq,fkwlmvzzvu,apprtzvrid,pET
qjvvwentqc,qsiqszqtfj,0.32,0.3275,0.4175,-499
797,0.05,769,248,244,DOG
gwyrfdjglp,mevkuuosme,DOg,dOG,cat,DoG
cAt,udjphnsywi,653,714,521,-645
-384,DOG,ujzjipihwv,DOG,vcoievlysu,CAt
cAT,DOG,doG,lushgsxlja,-0.358,cAT
447,0.201,hmvqozatpf,-233,-697,216
ooctajnzal,261,doG,0.254,-681,-0.4935
0.2025,Cat,virtjzqcxk,239,kkjyhsdxnc,doG
fbjfcmjoej,mkelbxggue,qittbhoiva,CAt,zfrhrscbff,cAt
-627,-741,xgqefuvfcj,0.41,nquxeygsae,DOg
uehmfklhol,0.431,968,-0.119,-0.1185,DOG
kxghwhhffc,-0.246,-0.0975,afwtdawnyo,0.136,dOg
-571,0.064,fpqfjcewve,ikdbeicsbc,fginlzzqqu,752
-0.4715,cat,802,726,cAt,0.029
uumsadpqzn,CaT,0.047,dOg,jrpxeiyyws,doG
rqnzlinaro,638,0.188,231,dog,cAt
dOG,hzlbfppkao,DoG,-0.121,DoG,DOg
-243,-515,-0.4755,0.2225,okodthgobc,-0.247
-738,992,cAT,179,lzxknvcgwu,CAT
434,zhmtamlmdd,CAT,-249,xpiwnaqcrk,cAT
0.427,hvuaysjvgl,-701,-0.1685,0.235,doG
dOG,-0.4525,975,113,0.275,pvgarderbn
mcgqxququw,rfrvjpbhih,zrxxllmkve,Dog,zbpljebteu,DOg
xmkvjwczqo,CAT,lmdzeubong,0.129,-368,Dog
-527,DoG,0.496,-299,0.0435,dOG
lbpvxxsthr,ehkbdzxfxl,0.203,-0.4125,dog,dog
0.3005,-0.248,-0.439,-730,-0.204,cAt
0.2155,nrfaspwinw,dhqiiqyqln,0.2355,eqrsfkxxbb,yljvyfehtw
cat,janhkgxnlf,-0.45,DOG,Dog,-724
-0.3505,103,0.455,0.317,339,DoG
cat,-341,0.105,0.227,syelkozjix,DoG
0.476,cat,hkvldrwckh,mvxwdbnplb,cAT,DoG
ngfuizxumg,-0.0255,-970,DOg,czmvjohhcm,CaT
mkbbyadrug,bhdztpzmbg,yuisiquyhy,pyiutghqwx,chebeeisnr,-0.0535
0.3185,-53,-0.2335,lsmmuijxfo,-0.156,Cat
-0.4955,-0.0885,747,731,-0.2435,Cat
morfzdxbqj,cAT,-0.087,CAT,-219,0.4895
DOG,ftipehpcdh,wvpiykmbpa,hfeavhcapx,DOg,cat
hdfekfjdbn,dog,0.201,627,ykvvhljyjv,CaT
0.1655,0.478,-811,-0.219,dmplvxsvxw,-576
eqsljcalzw,DOG,waudaugmog,-0.162,0.337,dOg
0.2445,0.2625,dog,0.2025,atpnmpjbnw,CaT
opwifyavwe,452,-691,-935,635,caT
wvvsmynebs,-616,DOG,aaogczzayn,920,DOg
sidirkgsok,-0.274,qnzgvpacfa,-442,oyavfednfc,cAT
375,idjzwvbtyv,doG,-464,nqqbmovydy,dvqbqowrsj
626,ewqrfumemn,CAt,850,-0.407,doG
0.055,kpzmqbgyvv,dog,-0.313,0.3585,caT
ozwwszhhhc,izvihhipmf,-116,0.072,0.4175,doG
-393,lxswkrhcrn,591,777,574,cat
659,CAt,929,kaccxfywfr,-0.084,0.42
DoG,-0.043,0.3325,-0.163,fememiswcd,-529
0.029,ptdfzlqcrq,wfoqhddjve,sgkxjetoyq,Cat,nklhcmychy
qkrnyvwkxw,dOG,rqhjstukks,791,kmusyprwml,CaT
0.192,Cat,mutdvjxnqe,378,cAT,caT
-663,ncdoabphbj,DoG,adyvbutefn,-0.27,-0.46
hjvlgybjod,937,209,-539,-0.3305,Dog
qefeabhlyk,0.0175,-277,0.2395,cAT,Dog
sqavobvsgf,xvrlwtvyic,-679,445,165,-588
-0.4115,0.455,-0.404,xycgruyoxi,lauwaxozir,Cat
Dog,-0.1875,0.204,stqiocauhf,0.1525,caT
cat,457,dOg,-345,howlumuwex,CaT
xbpihbwtjz,mzutvtmbkq,dog,xmniwdzive,-666,kpbfgefdpd
Dog,0.337,DOg,osazqbbdpm,CAt,dog
-775,ygugraomlf,grbrjkoyjk,162,ofjkkwyqii,DoG
156,thtmtdjyim,-839,-858,cmkbtrtohy,CAt
-667,finclhoeij,caT,545,ynrvzleicj,dog
-133,-0.441,525,-0.245,-220,cAT
etktgupyhj,txklxgdusx,-0.4875,355,xhxpkdkghi,cAT
-78,cat,-509,542,-316,-0.0045
