tzjhhkfwxx,rdozthlhbk,ysazdfoonr
nvopogorkm,-0.107,0.069
0.305,470,-0.4425
216,0.3505,caT
-946,-0.4535,wufeqlorau
qetmwzybhx,0.338,bposhewuxz
628,0.04,555
faeurgmegj,0.462,0.2675
672,-833,lfxngcqtpk
pnmqkembdd,adhmrmsvpl,-423
-0.219,-978,dOG
caT,-911,993
401,cat,dOG
dog,-0.3745,ynwlkddgwr
-929,188,btymkexgvq
0.393,394,uspeehlejd
410,bqzufzmpqo,CaT
dOg,941,-0.197
nmgrgvxuod,hddhqrrazj,ztzuptxktc
CAT,hbuoktyoxb,228
191,anxoomxcnk,0.488
DOG,-0.272,tcyxzfwpey
446,-0.0975,-0.284
-971,cAt,-0.1895
-0.2855,-0.0065,-465
-0.286,-0.4395,847
llmcwvhwvm,0.0745,DOg
CAT,-104,0.155
amnsasgeni,wztxtkbsjv,kgzkjixowq
njuhgayyrk,snqjwddizo,doG
-0.1665,-249,-0.0835
erfoxjwglo,653,-0.1245
-615,-735,0.4055
cAT,jgwhushuip,cat
ufttyoqmlp,uzyrgxytjj,171
ttzrrxatvl,975,-0.2465
cat,-906,-295
-524,-241,dOg
-974,geqxawschf,530
gxnyupaiam,mmrnslpmsa,caT
eljtfrgajk,-0.1085,DOg
Cat,0.4615,-0.176
0.188,vxmlkvidwv,0.42
dog,416,-0.149
-0.417,DOg,swjzirjjvt
135,cAt,CAt
-0.36,18,dustlqtsii
DOG,lygnxqpten,624
0.498,945,fwyfxgaidz
910,-805,0.051
wzeihlgvvz,-0.3605,957
xxqqbqrjvg,0.158,190
0.352,262,doG
ewisbazxcx,-643,doG
-111,784,mnpyqmcjvs
360,-0.316,qdgloebvcb
0.097,DOg,lcocdihzrn
fnktmfaqgq,-728,-0.216
-0.2205,612,-0.473
-0.343,-120,-0.013
cAt,388,0.1955
-0.3495,dOG,pojchpsuzr
mkuipbzzhf,518,DOg
-0.3675,dog,-0.1375
yzyjfvsenp,-228,xqiszgzdjl
-771,-0.206,DoG
-882,-924,cAT
-596,-0.368,-329
-0.471,bxfminihlc,pcdsevmjde
letcbbwssb,CAT,-608
800,489,cAt
mwgjxzrphu,cAt,CAT
