mdknoyskqj,jlytvnwulz,siejlgiihl
159,-0.144,-0.2795
915,tbasicwgmh,-289
CAt,ovyrgmwnmy,sfnujrsupd
dOG,0.0315,cat
-0.1215,0.4555,doG
vydjkwkcym,wnmfnmdssi,efhfetunen
927,rfkdshllnr,axdwjcwzzl
-0.36,pfokiwhvsn,knbfrpfqri
-148,cat,936
0.2455,-0.047,qujkxwpbev
-0.4395,110,0.021
qkmoxdqjah,-416,994
DOG,0.0595,-292
641,wpecfvcizv,0.2125
dOG,-0.0715,CaT
-187,nwgkmrekrh,DOg
hzwnumpjmo,dog,-0.4765
ycfqskvmra,-0.0595,kqzvxjisom
mdifbgvlct,108,0.2095
0.003,779,cAT
cAt,DOg,-0.4765
CaT,-0.463,-0.476
-445,-0.353,swclkfiopy
-0.288,iedjknwcne,0.3355
0.3265,bdyxyoivms,rvhjswkqmh
cat,0.207,caT
-9,-784,-519
235,-0.0155,sdqnukttrl
-0.3565,caT,0.3095
-0.2275,-314,996
-0.3535,-901,-213
pciwpnoszw,vdlguaiaxy,yokfvnszhk
-0.0565,dzquqtgfzv,0.4325
75,994,0.2895
0.346,iupqngljcx,xtfaczyxif
-0.474,237,0.0095
edxwicoojy,njewbclvfi,tqmmrlxriv
339,zafldphfks,-377
-0.3065,-220,ftwbhajkfz
dOG,qgqleqcbvp,cat
vgvwnqmemn,0.188,0.211
-108,0.2485,bjrgcswsoj
esaydwxbbb,-658,Dog
-0.295,-0.176,0.3585
-44,443,DoG
wqqvuckdig,CaT,xswofhjyee
0.079,DoG,-67
79,-259,0.042
ljwdgmnxxm,-654,cAt
caT,DOG,CaT
caT,-0.3715,dOG
0.264,-0.048,364
-59,254,-0.0455
914,-0.0785,-0.02
dOG,-0.1885,502
jibckojclk,0.0375,34
-0.397,-619,kvpucdhpre
558,-283,-99
-761,672,Dog
883,-504,92
691,-485,0.378
ktfmzuomsb,-0.175,0.133
-316,0.348,CaT
-328,810,-0.2025
0.0895,698,xysopusdhk
klbyjvzzoq,cAT,aezyggcmmq
