pET,amqgvzieqx,fcoykizzhw,eurpoahkvq,amqiuyoqgi
cat,CAT,CAT,itooqtzghr,-0.3185
ltthjlteba,-0.4425,kxpdxpwnol,-826,0.0445
DoG,-717,0.385,0.146,0.3395
doG,-0.182,-387,pbbxywaboi,cAT
CAT,-0.372,cAT,hsweicbkbl,-0.0485
dOG,-0.3205,mbrnruogab,-0.073,293
dOg,-0.2465,Cat,-0.109,-553
0.26,-0.3055,-0.3995,515,0.213
cAT,-0.086,-0.2865,601,Cat
DOG,-909,-0.04,-924,-32
caT,-0.03,0.2305,541,uchyjrsawq
CAT,CaT,rzoqzkkoxp,-630,-0.421
cAt,caT,-0.192,-606,citryetleb
DoG,hewaoxhtvu,0.3385,147,jdzanzaanl
706,CaT,-46,144,-0.3395
cat,Dog,-746,-725,cAt
Cat,0.4255,-0.123,DoG,nhigsxwrzc
dOG,-0.433,-546,nwnzesharz,-514
DoG,0.308,-0.473,yskhtozwni,DoG
-851,-0.0935,rqsueqpzvu,eglixeanke,caT
CaT,102,0.3415,630,yfwnpxlwil
-759,xeoxmmllrp,-373,trkmzncpwe,-0.2335
CAt,bdmmedhxbx,0.121,Cat,CAt
ceyubxlguz,ltjokmzcon,0.182,dOg,702
dOg,DoG,823,-742,443
CaT,285,-671,-740,-0.005
cAT,jpcoxsxpay,-655,CAT,bdkvfqehvf
chszeqvprf,lzxmnzqsnm,62,dOg,-718
DOG,0.37,DOG,138,DOg
-400,eunmeipyji,dog,gfzbytwsin,Dog
DOg,0.2865,uipqmctffm,dog,-303
CaT,bnciibeyde,ovvhghgvvl,-0.0975,fbljdrbxru
DOg,dog,CAT,hslwhrdlor,Dog
caT,cat,-0.02,ygbadjeous,-269
dOG,nropvqjjko,-0.3745,ohestqokvu,Cat
dog,-126,eqmnxvctld,546,-926
Dog,mruwjieozl,0.122,DoG,-0.1145
dog,0.3055,-0.009,-665,wpzwqjaghs
vktjjyfqrr,0.286,mxrzytsaim,169,iuljgzlrgm
-783,stoiuuveiw,lsqsfnnqnk,DOG,ldeqslunmh
CAT,0.062,-15,0.4775,vthsjjosyy
CaT,0.3305,feryczmlwg,0.0,fqahqondwy
CaT,CaT,yrawxqtsib,0.43,ubbqqjfitj
cat,415,dOG,-871,-211
dOG,0.1255,0.431,-550,assgasngbl
cxxpqmemeo,-628,dog,537,863
dOg,0.2735,xnzfrjqrop,-334,-331
0.409,fiuyznausv,lzlvklrxnn,-863,qnjvsdqfph
doG,CAT,frxebfmmwb,xfzhhptmvu,krmqwzzfes
CaT,brkewnotuk,Dog,-0.255,0.048
gzupdwnsse,DoG,-863,CAt,0.2115
kibyjsnymb,-0.344,xmplodxyzq,-757,0.103
cat,0.392,-0.484,-0.0225,-392
CAT,-224,DoG,-204,-0.144
0.2115,ezwfehoibs,rghgqjxbhm,CAt,-307
Dog,fsnknetoty,-37,0.4255,670
cat,wnkudwmmjy,-348,-152,aftzdbcfqs
cat,CAt,smsnezywqo,caT,-0.0055
-0.0965,-0.15,mmaematocj,194,DOg
557,-732,853,-0.0085,-0.2855
DOg,CaT,-941,504,281
0.253,rcrksxmuip,0.2135,553,msvpyimpgr
Dog,Dog,cAT,71,891
DOg,cAT,omhlddkeji,-409,hwznrkvasb
dOG,qmmwskkjrl,903,0.144,DOG
caT,360,pptxprlyob,-133,-0.1715
838,pqobugqnpd,cat,0.297,frgtiaesqx
cAt,0.2515,cat,-0.095,-0.303
0.288,-0.4535,0.4875,614,905
dOg,DOg,457,doG,-0.294
571,-0.4775,Dog,-896,-686
DOG,CAt,437,-875,-0.134
-867,400,prcjmkisrp,863,ishorudvtl
qjhbbsbmih,fpeswkiayh,cvmuvkjkrw,-40,frosixxrtu
-899,394,-860,qrusfhjyxs,0.297
0.2715,ydjuurgmul,220,cat,dOg
DoG,bahbmmdlxm,-0.2745,-10,-0.3295
caT,-923,0.3015,840,caT
