tjpxjwkgpa,PET,pnovisnwui,gynmqmknkn
689,CaT,mqcugfkmoh,-0.4865
736,Dog,-387,-595
psgrkudabj,ndwfiyuhgn,DoG,cyabwpzbqy
0.1095,dog,334,-315
mmpttylfdz,Dog,0.047,dog
0.307,qjggwhvjsc,0.028,-732
anlxrdffpb,cthduckeeq,489,CAt
xdvygrmtdk,-169,-215,21
-140,-368,etoitkjbkq,-126
-480,-780,0.0225,121
-0.0425,DoG,537,-45
-496,CaT,114,32
0.02,49,-0.075,0.4965
941,doG,plmujilfjm,hasefvpkqg
dOG,CAT,-0.441,exbzsamuqq
qkdgrprtox,Dog,144,CAT
tcajlnnfos,dOG,278,doG
-231,cat,783,0.148
doG,cat,rxynczcurw,DOg
ihzkxgwfbz,CAt,uoioptdakb,kaemwfwnro
ywpvqrcfji,dog,0.1865,lqjanwlqcy
vajzymhydn,cAt,sienqimefn,-0.004
-0.072,cat,968,godmxvzure
-0.444,akmolnoldv,gytnamsjcp,pkkpldwyvm
CaT,DoG,DoG,0.1815
doG,600,gioisgwgqd,0.433
-657,DOG,vjjqkqzipl,hlarzfaper
wgcxltpitm,Dog,9,0.0785
aahujpsjgj,DoG,rmviyguefq,-0.357
-0.4955,0.3215,-950,0.2985
-0.4605,CAT,-0.002,-0.463
0.226,0.346,cat,doG
xapijacmjv,cat,-290,-0.0155
-0.3425,Dog,qymgaxebhq,966
-943,lmpcxwjtbq,0.007,DOg
ixgxfoowvk,CAt,cAT,DOG
-0.4235,CAt,kiqmqvjmva,200
dfpyrezehw,caT,-0.1055,doG
kxlcgqbesl,DOG,nzjaotdafg,-0.247
DoG,-0.2335,hwrjzuecus,-162
0.1225,DOG,-423,bevotobfdj
caT,Dog,311,-803
ghbyfwndcb,-0.4595,letdutnjjk,0.348
andtzpmnsn,-866,756,jiyjpxaqym
942,cat,0.3735,0.2865
258,cAt,-0.19,0.1935
0.3875,0.4315,CaT,-0.3965
Dog,doG,DOg,0.0155
0.478,CaT,aesznfpita,-525
xddxwgxtto,DoG,-49,dog
cat,CaT,-923,-288
-0.217,dOg,hrgntcqbfh,856
kzkdqzscvg,0.116,icxckxjmme,472
-331,cAt,DoG,0.4215
0.306,DoG,cnkdcecfms,pqqpdquaro
cAT,CAT,0.492,sdeteruzzf
doG,DOg,351,-914
-662,CAT,186,ljidebyeqa
cat,545,708,93
-913,dog,-0.2315,DOG
jxsehbmsjp,cAt,583,dog
984,cAt,290,dOG
381,DOG,doG,fqmfchhgki
382,-944,xgxojphvwn,483
0.0845,DoG,0.39,500
jcdzqxuyns,etihllkgns,-0.306,-0.2655
ooxwiyehzk,cAt,CaT,rqnajjgviu
835,DoG,cewlbvsjcl,Dog
