Pet,rxamwkovxz,qizrpvrhtl,fhkowptdog,xixhwoqxqq,nednrqtkce,rkwiwxvavl
65,-634,0.121,lwzrqwautn,0.2445,caT,-0.044
dog,616,byrdmyiwus,284,oxfsfkkeui,cAt,Cat
Dog,-0.444,-344,dOG,769,-569,-86
Cat,nxaeedsajp,gdmkxzkzlu,whpmzuqmxj,DOg,yyewngnecc,538
dog,refvcvqgyb,CAt,997,-0.184,dog,-454
DOG,771,Cat,suereexnlo,-769,-0.0875,776
DOg,0.166,-0.4625,-795,-0.4325,-0.4735,zdebxcshou
CAT,0.3955,-0.2915,DOg,xjddcmjsqk,0.3875,vnecmqvvxd
cAT,-0.145,-302,yilmoehwty,cAT,qccsrvbkyc,130
892,-767,plcpkhvszh,cidtaqxbat,-692,caT,-967
-0.4655,phrmswigoc,992,jglxgytmws,801,hnllqcrgti,443
-0.35,zyehzzkslv,caqkrztorr,-0.143,vajrjjnnut,epbxjkelyt,0.3555
Dog,-0.118,0.444,vpinrcxjvm,cat,ktwxlahrhh,dog
cat,DoG,doG,dOG,cnrbvchosp,ieaehyfcsh,mfconfaraj
twqaxbdehh,730,CAt,gvuioyincg,0.4825,-409,129
DOG,okrdpqhjow,doG,-0.306,jcraubdvdq,-0.4775,dOg
DOg,0.1455,-0.0485,-0.221,-915,-0.1655,-0.04
Dog,qhpuwgceyv,-0.03,0.375,-602,ouznegbxzz,0.278
DOG,-0.0475,sbkpzleels,fvkkdmyobj,cat,wwvzajmlyx,ucwgqlablr
dOg,-0.421,690,DoG,-0.064,ynwiwcqhin,CaT
DOG,dngljspzyh,ocidkamsmo,646,qlxpjvphca,xtisdksqpe,zhcuvprput
eambwbpwyk,0.417,490,282,937,-0.1735,0.2205
cAt,-0.14,0.176,0.19,xmniwrudpn,0.4445,DOG
DoG,Dog,CAt,262,0.0475,0.2025,cAT
cat,-246,dOG,povjnudcta,0.137,cnhlbijier,aeshxkhrmg
872,0.467,-349,424,-964,-0.259,doG
caT,-0.255,snvvjyhtcm,DOg,DOG,-920,48
gglhiqymia,-747,ndyfckvqnb,-0.061,582,Cat,0.4265
doG,otgdypurhk,zijvdowgij,fotocnxrcc,adnmaivqzr,0.187,0.4405
CAt,-0.4185,-507,dOG,doG,-850,osotvbplei
tbtftkdejw,dOg,brwgtwfavu,iskjpidejx,0.3185,240,-0.1225
0.022,-432,bahkdpfoht,caT,qnnhpanghj,ahkgssbbhk,-374
cAT,0.233,0.398,750,itpgtnvwiq,-0.4245,-0.195
caT,-485,-218,0.1355,ceiyusmdlo,-751,-679
dog,-133,wmeiukzuou,352,-608,933,ybqdqmjcaa
CaT,-0.2305,-861,Dog,cnbdalmteh,-111,-555
dOG,qvloyqcvrt,fibrlltqlw,Cat,-549,dOG,0.352
DOg,0.409,DoG,0.0435,-0.0635,0.3105,156
CAT,dOG,-0.1105,-0.005,-0.379,cat,hkwmyrqdrm
