epzsivcqmd,ichwajziyc,jeuyozxvak,hzlqrrbgwc,ghhpmuobxl,rucnmjzmqh,fxztwplyxp
-0.049,0.2145,-0.3905,doG,jthvdxcijx,dltuppnwvi,DOG
-258,oiccujbhjz,Dog,mudmngvpyf,cat,vmwrdvjmbp,dog
rcabacodlj,0.0125,-0.159,hdxoojyxyd,DOg,vhjftqzfxr,0.438
350,piialghlvw,pqjtopmpjr,dOg,CaT,0.5,hvanvnwisd
CAt,-385,swrhmuxhyo,cAT,0.4785,gwfocufrqj,-161
gtfcvbblbx,uedfobsktz,dOG,264,-237,rymnknucvg,-547
0.2935,DOG,-0.028,-386,luxfxxxmnw,919,-986
wuhafythxf,doG,ozrnskwvyp,qvrvslrqqo,0.024,0.0295,654
gpupzgftze,sxswrdojjq,DoG,815,0.1475,0.243,926
skytgvpomc,yohpcnovgs,0.189,-0.038,njzuvrjfao,-422,pthbejaitp
fhbgsqxrgo,chkouzqqfj,dog,jbgbdbfkpo,ffsrgacswe,doG,iozjihdmux
caT,wrrvrdodsw,lxiintzsbn,cAt,-0.3925,0.4105,0.4255
Cat,atxbtltkbq,0.402,228,-0.0835,gfdnibwlwo,156
dOg,-465,-0.478,-123,-192,caT,-0.3505
abtobuzhcj,nbcosuxmsa,medmsajwuk,739,161,iwqhxszgqb,rknzzcwjfs
fjoxebpdsg,308,-181,-891,-959,-898,674
0.3185,xqgnpnjqrt,acztiihgsq,cAT,410,CaT,-269
nrwhgbsizu,-0.437,pkpofkxzml,455,703,dOG,tixedztmlt
934,geiryxpzwz,0.436,caT,ubgjrswsdo,DOG,0.267
jbnlvmvvtp,-0.37,-516,jahcdwpqay,DOg,-47,qjlkrfvcyr
bykrljlqmb,249,pyngqdnwiz,dOg,0.371,wdiebtteme,-0.124
0.052,-205,spwnxxenum,ypgtwexcrr,tpmrzuhufa,qwolfafozw,-577
-83,-0.178,-0.244,-579,CaT,-145,463
-0.427,240,qvzygxblmw,417,852,535,0.43
DoG,ldwiwgscqv,193,-0.015,0.155,vkvdkltydj,eosokeyydn
cAT,trzbarsumq,vqlawzcvej,CaT,Cat,-0.452,kkcazdsvsx
bnfnemxrha,mvvoyklksb,460,0.4375,-0.477,CaT,786
130,rbmjrfiuqj,gcoogbxyos,-287,-406,-0.27,-428
xphoxdmait,xjjrqdpzrz,syemxyqdzg,-0.218,973,kikuupsuzp,0.117
-464,zfsxhwvamc,lwpaofrxps,CAT,0.098,kjzhybstak,0.2095
-791,ungqkauesp,770,12,335,znihvbmijb,878
mjwhvppyrs,xlvivnqwmj,datkayugsi,uejaepmple,427,-452,-0.034
npfujhtnem,934,-799,196,-701,-436,648
-0.441,khaxjvlaif,cat,-253,0.229,uhztklvnxk,DoG
ajndffrrnx,-489,-0.186,emizmaxoro,-0.441,-0.136,khbfecrbxr
-0.3995,caT,dOg,0.368,ztmhsslykr,222,rjakwuusgl
gswsayozmh,-0.373,-0.4245,rdifhjbyid,-302,737,doG
CAt,DoG,lxnjbivmrw,dog,xbzzfzwgqr,9,DOg
-0.029,509,shilbvemiz,nrtdxjfxuv,-406,0.4185,-0.264
sknlsuogfw,CAt,0.0185,-0.113,rxvvokekkl,639,138
hwagkwvvwc,-0.078,CAt,-185,-0.352,0.3485,-0.1795
doG,tsbjawmfry,-712,inkuvqcshd,-221,szdfevdtmi,-416
-0.1945,-0.1655,CaT,-0.2155,-0.49,dOG,-0.3025
