rjmsckydkl,nlehiotdem,icuudspsiy,oeftmslwbl,zhlovaaznc,powtigxdsr,kwraoxqwro
-0.1385,965,CaT,yziynfhsjy,338,399,fornwvtcad
712,jqxzmpoafd,twjwmtlzbt,dog,242,385,xohhcmpfuv
ylkuckdakk,-4,ydikwpmyji,eacrrmchqy,-640,CAt,idqchbyujv
rnzqoeetfy,-32,331,-0.127,-37,Cat,658
dOg,-0.065,-0.3185,DOG,-111,-797,0.07
-373,-0.4755,-666,490,-0.1215,0.2275,wtgzzevhbd
953,-0.255,-876,dOG,0.1545,ubuxkbtwzq,cfuabuwlgj
CAt,0.0155,stypeiczwp,199,loxpjclpds,lsnjzntzfs,imoqwucbtz
-507,xzymtxmila,uhbkexclmb,0.1425,-0.229,201,-644
0.2975,-458,eakrfijgem,-0.065,zrnxpgovdf,oqtfphtkou,-482
qredpgvuti,DOG,0.0235,iezgizjwqd,273,sdqhtvfijr,-323
lqjakxdmqh,743,437,0.4375,uuxrnlrdll,-937,vexlczlukw
-887,CAT,bnbwucniii,nrrtsclqju,dOg,-0.37,CaT
DOg,504,-0.3015,-751,0.2765,Cat,0.388
CaT,dog,hmfzhiynrs,0.443,-0.22,0.4875,oljqkcbtdy
ukvlfmsgmb,DOG,leagcjfhbx,DOg,cAT,gvzfsgajkw,80
hjnehytdpn,-0.2115,-0.465,sdxduepbts,137,iskxlbsexv,0.374
0.4,mtiyjdclbc,86,kasmhrwibc,dfxqcpknyy,-526,982
0.411,vnvnnekrza,colrbubsda,znisjtsfqg,0.162,919,0.1505
703,sryzwbjggb,gbquijjwgs,dOg,0.284,dog,DOG
-0.3095,doG,551,mjgawamrfm,0.2685,425,0.3555
ngohgypadi,868,nxoijabsvy,caT,-642,306,-170
sajdbddrbb,DoG,CAt,-0.284,-463,184,956
caT,-0.097,rcdrpqgfrs,-0.322,0.262,95,trrsjqpvus
dOG,dOg,nziugycouk,klpmspbkqp,-0.3,-0.026,0.125
-0.2455,798,Dog,kuxzwjuaqx,559,-339,829
cxaqaprzsr,ouegrbewuu,qywqznlrxo,-954,iowzzprrgx,0.167,0.3475
kydqtoidsr,cAt,0.0175,-367,sqvhkdwoyw,ludgvsrtnx,80
-199,CaT,-184,-377,pfboasdwku,-0.0865,-0.226
wnsfbhlbeb,CAt,kegdhxnaas,kjtwjxaqyg,-0.2985,288,482
DOG,efxtegugzl,-0.185,zhgwjjjoxq,-623,Cat,-734
dog,iyzrqeupna,-240,474,juepjwzhxv,cat,-438
-937,-0.239,CaT,xjbrdvznyx,-82,-0.037,-0.3165
738,-0.013,-0.1235,-0.018,gehhyjbjse,nnuzofsejy,ivfgqanluk
213,-16,CaT,dog,doG,-871,-0.47
bszpyzewun,0.08,0.259,0.216,vqewquneoh,259,0.3855
0.088,cAt,-0.248,-358,eiwuqhokyv,caT,-0.2545
-690,dOG,0.38,215,DoG,-0.0435,159
0.415,Dog,-0.4135,0.1915,-0.259,-0.1765,0.0185
-228,410,-805,CAT,nwrrcxtvaj,-389,dOG
CAt,0.226,970,bnehigkpsh,-0.3595,doG,-41
xdedcdrykg,fnpzfwrtlf,-0.2235,0.0155,0.287,-528,-792
ykbvmmlapz,-0.453,-149,0.3955,pmunqazbla,-0.2115,nkcwdbibpu
0.4,0.356,-13,757,0.1895,yvagiiufka,Dog
ahcbktcpbt,nlfcflwneo,CaT,DoG,puoordnhvq,vclwoiavti,dOG
0.0915,-0.4705,amsbwyuyqb,-329,geeolmsiph,dog,601
ocmeidqvjw,192,CAT,CAt,-598,zsswerqriv,dOG
197,Dog,0.037,jdduyttvmw,DoG,-0.3645,-0.0695
-0.0765,cAT,CAt,0.2835,444,njcdlhwnrr,wvipwhroag
hugmfmwydn,gygnplccda,dyjcoxuknv,994,dOG,-458,-0.353
cxxsqgrndy,0.327,sxqjidwtsu,tcwrdnxuuu,dOG,0.4965,posksaxsgg
-0.022,dOG,-0.3295,392,-555,Dog,-0.2875
-0.144,-200,-614,Dog,pddkmsvogi,784,0.0785
-0.2845,399,dOG,0.071,DOg,vgwrbcscxo,346
-46,-0.305,717,cat,cvlpjfcbyf,-0.391,exocimqoyl
pjsfcksrvt,68,-45,442,zcjkdjbwwg,kdgbtvddve,-0.1035
0.0925,-0.322,0.2625,dog,-91,-0.022,-0.2595
sxuqkdpsvh,-728,-924,-0.096,849,0.2585,0.292
791,-741,vvijboahxn,caiphezvfc,DOG,Cat,umiugmdrdc
499,cAt,0.154,66,-0.0605,tqrrbdpnie,0.37
lwuiaxchim,caT,xtjnsgiwlx,38,-0.201,838,ljvndnycwe
-0.3995,0.053,-59,-564,695,tfrpmilrrf,424
599,532,10,-250,0.0035,xrtiaathfj,-0.4325
dOg,rdmjeqjphe,229,tfhsqhflsm,0.0315,fufxvrpflm,waeryxcydr
0.0105,svfmsuprwm,ntpwbzprxa,-0.3345,dOg,cAt,870
-944,iqzrzlooum,-0.046,0.076,-357,aluxsfxifu,0.1585
843,DoG,dog,584,ygmxoaywyp,cAt,lzejuwdctl
-0.0165,-461,-0.365,Dog,0.4625,-0.176,-0.049
zniwsylulk,Dog,CAT,0.2395,0.2805,cAt,0.3235
0.2275,23,-826,xifupgjpmq,801,DOG,cAt
DOg,dog,caT,23,-78,0.3295,-0.2895
hdynnvqzgv,-0.333,-0.061,170,-272,dOG,2
-586,tonytvgotz,okemjovivt,cAt,mllsyxhnwo,0.2565,dog
-0.385,0.2545,0.434,zexcqkvvlj,DoG,128,563
doG,-686,kmpzckswfg,0.069,-0.28,DOg,0.0115
cyqntsyvnf,48,mtbuczmtck,bgeniokwym,-902,ruspxhyybq,-625
cAt,-116,lcsqkgojnm,-52,645,818,CAT
wjjqjrvckx,Cat,Dog,263,ssfwlqjpkt,fsqbnazcws,0.299
dOg,-0.48,-160,cAt,jsdpuizlrb,633,-781
0.412,-0.4365,-0.2285,sqohgwcnkr,CAt,-266,0.202
fqczmdqdrn,Dog,-0.2025,0.385,-0.2315,munwsruirs,0.1765
97,caT,468,DOG,egkglhkgnb,bddopxkfns,CAt
-0.1595,bufeqpmuzw,-418,DoG,0.1625,0.2925,gjuxaxziaj
ddduqnwpsz,0.2285,sdjecfbcix,-473,0.0275,318,Dog
maujamsjrx,-0.3955,-0.0045,-0.4985,doG,310,0.0135
-0.3115,uxhavaghmf,earhdroiel,yfxpntregn,-910,-0.0485,-247
Dog,CAt,-0.0805,-0.021,cat,DOG,cAt
CaT,xbdstrkjec,0.4185,dOg,dhwfwqhyjx,CAt,-0.1865
751,xcqsovhanv,ymmjpekkzd,-0.1405,0.4425,dOg,22
-0.146,-138,99,doG,dOG,Dog,0.0795
-0.3195,-662,-841,-624,CaT,Cat,mebphcuiju
