rmmnmwtvty,xwaipcxvtb,oaejwihvzq,lfifyzpxcv,mksldjfxen,qhdtftbqzd,cszoqtikdf
135,mtnltefksy,228,-0.4745,-950,wzgfydlbjk,dkgaosswnk
-310,974,-0.3365,chqtcyhirb,-0.077,-0.374,DoG
0.202,xtupjvzymj,cat,-0.148,0.158,340,DoG
-838,xbigcwlgcm,dxfnnflmxi,DOg,814,doG,309
515,cAT,0.0355,-0.07,624,220,142
673,-596,cat,zwpkkzggww,5,38,516
0.4025,nwiqtzlagp,DOG,0.4155,-0.3925,khdwwaciou,0.112
fsveihdlli,CaT,cat,334,0.3865,vzlngjfvwf,cnyjbeuues
dktustjjci,0.127,837,9,0.0965,vlzcyjwugw,-837
-680,-0.4205,842,-536,dmudysqwct,967,dog
-0.368,-0.2755,hfzpxfvjte,neykutsilp,-0.36,kqipehaazu,0.2785
-470,-461,Cat,ttjxlcpdtw,0.0295,sihgvqvfja,0.175
-0.4905,-625,cAt,Cat,CAt,-319,0.11
-58,484,dOG,-917,-0.248,oynirnykqu,Dog
0.4025,0.0145,-0.4315,918,928,0.1425,0.114
-0.0975,-0.227,gapzkwqnxj,vxccirdwvr,scwgcnmzkf,msbecplecw,jvjrrpjqra
106,ctgjfztpby,387,tcbuampczn,-879,0.0255,0.401
-0.3755,Cat,hpftmuykms,-54,cAt,-496,-0.2315
442,updwektvox,934,CAT,-639,sbjgzgmisw,793
doG,edudjmbunp,iaylraoado,-0.459,0.3615,cAt,chctevhrmn
0.0865,-191,-837,-0.045,ujxubimbyn,cwebrstylx,-384
bxtpjmcwoo,-0.174,-0.1585,-184,80,-0.1135,472
eeopothiqs,0.274,-587,cAt,pysdxuqopm,0.4265,-0.4815
-4,0.403,tbvjagselu,-0.013,beszgstwtg,-46,doG
DOG,0.0505,0.389,nicijgadxx,caT,-0.286,783
-0.35,cat,0.1745,-0.469,0.1935,903,507
-198,DOg,-266,-802,macyucfzbp,-0.0065,821
50,-0.3495,dOG,0.107,ihtetdkzax,0.1665,poviuurdld
0.377,DOG,Cat,-0.4115,DoG,Dog,slefpjbqdi
jjhygnhivb,-739,0.492,-0.2765,492,fphltjsjve,Cat
vhtpraagbn,-0.4805,opawrczcgk,xogxghbmsv,769,ietsffasiy,734
-0.165,-0.426,tdifpicoqn,-0.38,-0.179,0.102,0.364
-926,0.486,jnwouwlkna,675,0.094,xpehlzbydm,CAT
zecftgxdpa,-342,769,-0.4355,0.365,-191,42
-0.272,-0.4315,0.0255,caT,edkcatkjao,0.1015,0.4
-0.4045,euytxvqjho,ugcohgbccq,doG,0.454,mttsabltra,fgaoavljab
maspqllkqe,-0.328,-594,rqipgrxtxn,574,-530,-0.319
0.4975,Cat,udvulxwzvu,nhzeksfprn,zjcozxsvwz,-152,qisaugrzhz
DOg,dOg,950,132,qhiocazlow,-0.2625,922
hgokgbnhij,thbkefufjj,-854,-0.4635,170,CaT,jmnvhddsyw
414,-478,cat,-0.4735,ysdyrysxtl,eggvigqsby,qdnjubwyrx
jmjqgsalai,iqtokkzhjp,oghgrcissm,914,-0.2065,-269,DOg
0.0795,DoG,774,dOG,0.2565,0.108,japhfdsvtq
DOG,0.3345,ovmrdxpmik,vrbeprjqwm,-920,285,dog
0.2605,0.382,0.32,smcdkrktdi,doG,-523,-621
iepdvmqdhw,xbnwichdvc,-261,cat,cat,-159,412
usagcdijnw,pjvxwyfczn,0.101,Dog,zhmzefawxl,cotbpjvnqy,-420
-0.1785,nirdgipwlg,0.1775,587,75,-0.2335,-224
doG,253,0.3105,0.192,xluixzjmgg,rvqujadsjf,0.4865
-0.007,caT,0.453,cAT,92,duftbgzjwz,vyuwuehbnd
CAt,-0.013,ukhroyplzm,pnmxvepgnp,DOg,-0.1,-556
-0.3035,-771,0.141,119,0.302,494,752
-261,856,-0.2715,854,-0.161,dOG,CAt
DoG,idrypyysvp,0.3905,mmxaopgitf,tjibaeelfn,-82,cat
828,pyyjgjngbc,CAt,DOG,0.4635,-529,CAT
0.1925,CAt,cat,-746,-892,-0.294,Cat
493,-957,-0.4635,txwjnkhngo,kmlraazsui,zdyaoyyjsa,281
dOg,wkmwxjfoeu,60,-0.0425,eqtpaixsjx,-0.3955,-264
