vwdysgqfxs,xcerhvzint,pyxcgjttny
0.178,DoG,DoG
-75,-304,tfpuapmadn
-0.406,hxvdbviiek,vvgevwegxr
0.2205,ffoqovxafn,866
lgcgbskhij,-0.463,-44
hpghxfseef,0.0645,-235
dog,doG,-957
omdofqoyvb,0.1725,-464
-0.4025,-0.2105,amqlhjzvlw
hpupftwipb,zxxppfwbrw,0.064
-0.4905,-599,-640
apejirhsif,tzzzcoidfl,0.5
-0.375,-0.0795,kufdzajxuh
0.2425,xhfdbopuaz,DOg
opyotozapv,caT,-0.419
hmzblqvaku,DOG,DOg
452,-344,-529
0.4135,knirlegbne,lxhybpqypr
34,ayqywnmedu,-0.097
mvzsdkygqs,-820,atjjuivnfr
-0.494,-252,609
-0.156,sheqdqqals,-0.4175
-0.0585,-0.11,iiywmocyrm
-0.145,0.311,xunivuwjee
0.4495,nrmlldxttt,220
przycfmede,0.1285,18
eidtgrrgmw,0.0885,DOg
dog,dOG,zwysjegsfb
0.46,vdxohrejxl,tfprqzsgzs
-0.333,0.2205,mhmreswtfx
0.479,582,0.0975
dntboqvohi,gdbbgepkgh,DoG
zrdhwmtetv,fayiihygxp,-861
-405,0.2045,cspjfuahvn
51,ruwozpfneq,CAt
0.1275,dog,-829
-0.2365,dOG,bsqvoqjbfj
dOg,haduzuwodd,hdwncbagln
-870,-499,225
qeyzvwccwc,-813,qjhwlkukki
0.222,oxehufudby,cAt
wyygllzlef,478,dOG
kmkkxgthiv,0.1735,88
-75,nrrzdejmml,-650
CaT,gmyacnhsow,dog
-776,0.3845,-0.4845
-315,917,246
crgoknspvu,453,okhtnnwkhb
-852,360,116
0.4075,-345,571
dog,-0.222,dmpjefszyf
-312,euozupbxrl,-0.07
-851,-258,dOG
-67,caT,zxqxeiptol
CaT,-0.013,mwvirddwpr
0.211,CaT,Dog
dfcxfeunap,-0.33,qsinfcinxa
53,-0.2635,166
upipeyiopw,cAT,ipdbivdwym
avglplcpxp,-561,ruoxfxjfkm
dOg,-378,mlpbrlatoy
ihhgcflesv,-522,-483
0.4895,556,966
855,0.4575,970
eclrzkjacq,cat,0.019
0.2035,0.2445,jnriofoyyb
CaT,lkjzrzdkbs,602
219,pljcnusfkm,480
cAT,393,ujokttoesc
802,-9,150
-0.227,nbogviudhk,-528
-364,xrhpbdzdnl,cAT
pkmgoojinb,rhsihfwhby,423
126,mgpdkxbbsf,-0.242
266,DoG,fedpvbxdbe
ankpztawzw,-0.0675,-450
-0.312,0.0525,kefvmhevfa
sizlmlkejb,CaT,566
0.442,xxzpxamxdt,Dog
ehngevvzye,177,-0.158
102,caT,xdnnpabnwe
-540,caT,nngigkaxwl
hqhlmqnrla,-893,0.2895
-0.146,859,387
caT,0.005,-0.29
quzfkoihyh,dog,wefpuskxzz
-969,-0.1075,-0.42
bcmkhuiwtx,-712,snaihjzqbu
vckqmnbvhf,xvylcqxdmz,-615
ggaspuwnrd,gfexqmxwzu,dog
0.463,295,-0.063
ncbqiqrjqu,DoG,0.2245
