qxllhxboyy,pkyytyqqap,xxtbgyknht,afufnjezqd,rxworezbie,wgqfyinjlq,otmxjlztji
swxoynqwsy,611,tpxycfwkqd,-0.4685,souhnntjxu,669,ekjhdwnjml
CAT,boflgdpcgn,0.404,0.166,vymgllaudo,29,zjeakacnqu
nrdydkfzri,xtxobhzatv,-336,0.088,Dog,wufbszrwiz,309
-0.063,0.2275,0.0185,423,cjjmakrbix,185,fqwnreirrf
-299,cAt,-607,DoG,715,-0.115,DOg
-195,DOg,doG,CAT,-0.4135,ohdgoucivg,932
fjjdnvskep,63,klgegmhrle,dog,834,ehecqeavsq,pbsqyjtycf
-661,oebykwnwvh,DOg,0.135,syqzncvndw,0.0865,Cat
iinyeqofrl,ehplvqlxeb,DOg,294,0.394,oihtijuzga,0.046
CaT,ewlezqmcmu,-0.241,DoG,kejlqcowhd,-0.2565,cAT
dOG,powqlwabhq,0.474,Dog,imivanfyxq,caT,DOg
0.28,-712,vlgyxwgryn,-0.0645,vfwqfdfomm,-680,-0.1785
-727,-403,637,55,mzdaslknwv,915,-436
bxmrpwdmup,-237,vnjksesoqz,baabxgwxek,eitigrfzoz,0.083,524
utawmcnguj,dOG,170,dkqeakihib,912,660,0.3725
-600,-950,0.275,cAT,407,skvniewzeu,-67
-0.1505,nyausexazh,459,-0.0165,-0.3695,-754,CaT
bvfbvyjram,-0.2055,-870,0.4715,275,-769,0.3655
-0.219,0.166,xidtyswxbl,0.257,kyudjdygpa,odahvzraoo,dOG
0.292,-0.295,Dog,742,-0.0085,-0.3855,koqdikvvsw
dOG,doG,-26,0.323,-0.228,dOg,wjgdbstmzh
0.249,kuvzzsqjew,ulyclkdotv,dOG,0.304,-0.0495,DOG
0.223,-0.3635,-0.0785,rzqijbwoxg,nwqbkjjfgw,-0.022,-0.0705
bqtbmqykoc,lnhyhzyqva,Cat,DOg,0.2435,0.4745,cAT
Cat,-0.2555,CAT,lpoobfqwbh,DOG,gdzkxbltzm,-0.0285
-0.091,ieamvhppbe,-0.061,kgexlunhkm,-0.1535,783,nftjyzumjl
pqwqvrhvsl,tpdtawfjfz,dmxhgivhzr,0.0955,0.0815,-805,484
zsrdwozroi,825,qnztktowhv,478,iidnhbpgiz,-0.0825,zdkqiddthk
-379,0.4525,-641,wjfmpfvbsf,739,0.069,929
mohifbmajq,eyivgfyjuy,-0.31,DOg,-0.2195,-14,260
DOG,393,kdexqnhkup,-730,cvoktekqjn,656,0.454
-0.1525,CAT,-970,0.1065,doG,404,-0.1115
-0.2585,0.3675,Dog,304,0.2075,-991,-0.288
-443,0.1215,vuqgumdbob,0.012,0.4495,njqrirogym,CaT
347,rvqeyvltig,-0.021,0.069,0.2035,-5,-0.004
nebodpnxyf,-559,Cat,72,394,dOG,slqpgzwxbl
811,pxxskzdvlg,-0.033,0.377,-0.208,-108,0.1415
DoG,0.121,782,dOg,-0.437,626,-0.207
0.1025,pqwqjherub,hviodgfczc,-142,-323,cAT,-0.115
0.2225,dog,904,53,169,-1,258
doG,-731,lspnelbhbc,gljnelmuiu,fjdxnskwac,fasxhrtisa,DoG
-765,149,Dog,-550,0.3985,josgndeuot,dog
abrbmumdeb,DoG,592,jflctibnzd,-173,-0.2265,peuobhqcis
lusdoxuihr,-486,-75,-814,-0.183,nssotelmit,-0.309
308,364,-0.1715,-0.4005,0.0905,-0.233,gcofslrmzz
260,0.414,bbamhdwwlz,-194,erwwzlmjly,gqvgnlienz,DoG
caT,995,-0.425,-661,tzbantkgsj,DOg,cvqbsesnpe
-0.4635,doG,caT,0.3015,mxpklyztfn,25,dog
717,-955,-0.066,-538,-0.1835,0.3855,608
0.3905,gvjarxcphf,-390,965,vnczegemvm,rpwvxtbqeb,0.494
-204,0.456,dOG,-483,Cat,-0.3195,zycpthrpfg
0.3925,cAt,-699,65,-874,icirajgsci,Dog
xhykaeuzio,-0.215,186,dOg,817,jjjhgikhtc,rmqesolisd
-673,879,604,fqiigipjyi,293,mlxuervjmt,CAT
-0.097,nigrsgouqw,0.233,eseluwxoce,kdshonfgzq,-611,-0.2845
-0.12,dOG,Cat,-0.2005,-464,-512,291
0.43,0.1695,gnusjgprnw,0.048,pqmviqylfw,gxkqwfuynp,-0.1005
amzwkldydk,0.2625,sqfvmveiqh,-0.101,913,rwdvcqzplj,-0.191
CAT,diuwtiqpim,142,0.0675,-0.0705,pmvsgmvzbt,649
dOG,cvvdovuqht,uthsrnbith,-207,-0.082,173,CAt
794,-51,51,hfiortrxhi,lpxrntlbxn,ozjiqibpdt,0.43
-0.402,-0.405,23,0.3295,-158,qfxxjwvgnl,qctooxxhhd
DOg,0.1395,DoG,75,-439,xpcvbhgelo,0.475
xsmxqveqvx,DoG,dxdgurbhre,-0.097,coeywmlrnz,DOG,-46
yunkmnymrr,CAt,596,Dog,886,0.117,26
