usyrqumkoo,glquicezmk,vygmbchzya,exxtzitrxq,izbxewiykb,xllgddihiv,ptgqjzzaqx
caT,0.2245,0.4755,-0.3405,cAt,vqrgayflgf,djtgolkmgm
-566,caT,dvzmtrhmws,-73,0.023,nvsatkpgkd,CaT
cokebaqucq,CaT,fcgsdvuhfm,711,-0.4315,wkqqyuvmdn,-595
525,153,CAT,xgrvqjrrbw,fxvfmzxtpt,-0.243,-550
grvkpexodd,bnmgpzncyd,dtrfaareqb,svpsipapug,-197,zhuftdelob,-0.448
eqxtreikus,zjjzrbqjfy,239,-3,cAT,0.1385,0.4815
-0.422,adwxvfbpkl,dlzwxrkdmi,dkdywvmcmy,cAT,0.248,0.2525
Cat,Cat,txqcxuaauv,dOg,cAT,877,-875
-0.1425,-266,CaT,-808,dOg,ldwvsveljw,212
gxjelybeto,-0.348,553,-744,-0.244,aroecjbexo,eubcbcalxc
0.048,-984,-445,xbuzpmozwg,902,-630,926
0.2685,xyjbzlqrsq,gzpxmziine,-12,0.0005,bqdfkbihme,0.372
0.178,dOg,813,-823,mbpbsnaifk,CAT,CaT
-940,doG,lowjpohhwp,sqteolloux,jzffdljnbm,-0.449,jbosxcqioh
Cat,cAT,-818,0.497,sfbqmrkxzo,suqanutpbi,caT
-160,Cat,CAT,0.345,gfolvtsjif,lirabcgjsj,458
qwmtgffeme,DOG,doG,450,-0.024,623,dvglcgjtle
0.0785,457,eeoxtqllgr,xjqiyznsbr,DoG,cat,0.233
vvktevtdgq,jxkwrtledm,listkonica,-229,0.2135,-973,0.4365
amwmrocjkp,-0.0635,dOG,afbmxgzptg,uizrzvirrf,-728,-352
0.2235,vnbvxdwrdi,CAt,0.46,-477,0.252,cAt
dunnjxsash,-423,0.4255,zfgwrtaxjf,dog,0.1855,0.2465
624,tsrwtsbmkn,-0.0925,zzptbexlht,-519,dOG,-853
caT,850,lguwkqyclm,oumcpdpqjf,wgvyshepvk,ycjeeysukf,0.216
-0.446,265,tkfsahrzmf,DoG,0.0045,0.39,-0.112
333,bfwpvxibjs,CAt,-0.174,-295,0.215,DOG
0.357,cxkdhlnxao,825,667,-0.067,461,-0.4655
-98,CaT,DOg,-205,dOg,myutqjmzwg,ugtiaqkhrx
cAt,-0.228,-0.13,CAT,zlmdfqqbrb,-0.2915,cat
140,-0.239,-432,-0.0085,-916,sulczmsjnq,-0.2585
-0.2945,yewsklwjiv,Cat,0.0745,ccrrkvbfpp,-0.124,0.382
857,doG,nesaxiadgw,340,-0.418,dbhvaoadsl,0.4185
-0.2225,vrbgtkmtsd,0.2605,276,-0.0635,622,-0.022
CAt,505,zryegspclr,DOg,-643,941,0.0705
65,0.03,wtyisruoyt,278,-0.4475,363,jzsiztcmsr
-0.225,CAt,nmfhkjvhwg,cAT,modgbczdhl,430,jnyorlgcnx
wekipoyhhi,-727,oimndcxrdq,0.1525,0.0225,567,dOg
-25,0.4905,dog,shatleglme,597,dtnuswkypc,dog
690,-0.069,0.2355,kgwcvvktsp,dog,fzheuffwzo,CaT
snklphrxtx,0.346,-719,503,827,-0.143,409
mpujntbzsl,cat,qzbhgvtnzj,Cat,-552,0.3025,0.1825
0.194,liirkwkhsr,dOG,-0.292,xqrhhzdftm,0.106,0.0835
dOg,223,Cat,-623,-73,342,-0.0125
0.055,pvnyghhadm,DoG,solqmflwlb,cat,-0.309,-0.2885
-493,dOg,-868,dOg,gwgdspdult,-0.289,-0.061
wvtsfnllmz,tpxxbersjv,iqvnrjcuzs,dOG,274,0.2815,0.146
zhvrdhtwpr,0.316,577,-0.3135,45,ukvhzzapxs,-651
-166,0.444,tuzqbediwn,caT,-0.208,fagzwrbkng,DOg
gkhsybmszs,0.2435,-722,0.024,cjnwotxygh,827,0.4295
-0.274,dxcgxqbamt,680,439,nnpcmmaeaq,-649,917
