ufkmrfhtyz,bojafhlxti,qeblykfqzh,kqofykdxqw
-996,413,qbjssrbgxi,ewiwkdncxu
0.2585,dOg,-896,351
-422,cAt,CAT,669
btlybamqzi,dmnfpxenel,905,DOG
-0.0265,0.191,0.431,0.1375
-0.034,0.3855,-950,0.142
-0.033,obwqmxwzeg,DOG,dog
0.4785,-267,-0.395,-0.3815
17,jyysfcvsgh,dOG,-226
0.4345,-850,307,367
0.4005,CaT,-119,DOg
75,-0.1135,0.0455,anozujpsfe
bdcswgxxut,0.1305,-506,0.4975
upaexesitg,DOg,0.218,DOG
jktojaysjj,0.3175,-959,0.036
-7,nnfaqymhbm,xdmandvlxt,-113
-0.015,jfqexssryx,inihfuxllr,0.3445
-0.2015,0.0185,0.202,-116
-0.4945,-0.0865,iyqxoinrgj,hxkbmfkgfy
ehkmfaduzm,-763,-968,-0.1205
szshgrufay,-639,817,-0.0345
-0.1835,wsfdxayweo,433,0.104
489,-704,dOG,cryfasjxxj
hhxudincna,-264,xzocybpjtt,303
0.417,-370,cAT,pfttikllqp
-786,-383,-0.3285,lucrarigkp
ugabxayhuc,214,-221,vaktmkpmfk
gfhxtwhxda,uujirgnaxh,-0.3125,ucilnaehne
DOG,qeyizzrtjr,0.2845,DOG
0.064,-0.087,732,-0.314
wqyjcsjesg,132,-778,0.4115
iprmbmphtu,-0.4895,zlsmerqhgk,CAT
oqtinvvmje,onhlqlmhnn,829,caT
txvtqkdnuk,0.346,dog,384
0.1165,670,678,CaT
955,dog,-0.2595,-330
dOG,caT,Cat,-22
0.351,vtybwfaayl,-0.38,qsdbzbtgki
dOG,0.0425,0.064,515
0.491,caT,zncstiujwb,811
pmdajabkos,arvvvdjvrt,wpvinhywlx,-452
-0.1775,Cat,0.239,zjyfjqfsgu
uuigcdpsbc,-0.3975,873,-0.26
266,-0.0935,0.1095,0.0045
-887,sxlojiccjb,hgnsazakkp,DoG
0.127,-0.3165,ndptokycnq,254
151,0.4085,759,596
CAt,ynmoqcvqgz,vajnhdbxot,-0.475
DOG,dog,neduievcbp,cAt
DOG,-696,-217,-0.199
-0.0965,0.126,0.0745,uflyodxhgf
CAT,enpqvrvnag,0.3935,pkjmschwlx
798,-268,0.4395,ceqrxnlkth
0.0975,0.3715,-904,dOg
qquqpxqnjc,-601,657,zctgqkzgmw
672,cryhpcexrc,-0.0095,-83
dog,-0.357,pwxrgdqsgp,-0.0045
cAT,0.2905,tgimkrmyqu,-0.359
doG,923,meudrmiymm,doG
Cat,-967,CAt,-771
0.018,Dog,CaT,0.4425
cAt,-0.386,DoG,nlnqolvrbv
gzqejbqijs,hliqdttgfm,0.4815,-917
DoG,-140,-577,834
dOg,dsxdjvyhbs,-0.4715,316
CaT,875,423,-712
-537,wpyohiojug,-897,uultibardq
vekrgzxvmz,0.181,CAt,-0.0535
-0.4545,0.2805,cAT,wdytsztzyt
-663,990,ghfvhxlktj,-0.2155
doG,416,-766,-168
516,0.2465,ocogiathxx,doG
860,cAt,adywzzywey,-0.3605
