gqmdhciuko,psknkrbeqz,uhxlaxuzey,kqakhytsol
hgvevwedeh,-0.2105,mnfzbqdxvx,0.403
CAt,-0.144,leqcidnvug,-82
krpdioigoa,-462,uswvomdoyr,-0.1055
qwymgqxwzi,305,-0.2005,kirbwopltw
-758,976,-997,-147
329,-0.326,jnfnjyssxe,nasmyehxlt
Dog,dOG,0.33,-0.265
0.1305,jbrqlbremp,0.3955,fkorqxthqx
0.071,0.4045,770,znjuhjwjmq
ctspfcnlvb,0.236,-695,0.152
-0.109,-0.0545,DoG,-0.2715
262,0.12,-0.386,dOg
-244,mvnusoqbyb,0.3395,-0.2475
DoG,-732,0.4525,0.1695
-0.026,dsopdhwwxs,0.1345,-0.3185
0.01,ztsbfyowmh,-0.1395,dog
dog,-0.14,gmfsvibdpz,cAt
dOg,rvzboicqgd,-0.337,lnnbjqenbl
0.119,0.2285,-269,0.395
dOg,-0.4215,pkoqlzemtp,vksxlywocf
qvlwljozfw,hjncsuvvaw,0.143,sjtfcockec
0.435,CAt,-0.0535,veayzctxmf
-303,0.458,lqkpqrispr,429
-511,-0.33,koxvvvtauk,-133
-0.094,-0.2195,-0.0385,DOG
709,jvsxjhpfbh,-0.2505,-0.1955
0.0225,0.193,0.321,-725
-0.3235,-0.257,-0.06,843
cAt,DoG,-0.405,-312
caT,rcoplpzwfv,doG,dOg
