uhkykedfee,kmlhcoefsz,bydhogjxkm,pfxxpkqnlm,bjtazbephf,kwwgufsnyg,mwdxivtjdt
caT,628,-0.2615,-0.102,0.4515,qhelqssdbn,-568
612,-0.0415,nlzmubxhka,caT,Cat,0.0975,DOG
-386,CAT,-161,0.0855,dOG,nkdpggraka,0.2785
nefvspuywd,0.3495,cAT,yrvjurmibd,352,-574,-0.187
hoeatszzzq,fcqdhtgooj,-0.39,epsncrlsjf,rjgfiabhgt,133,717
CaT,dmfmteomcn,-889,smxqnjpgbt,-569,-0.134,0.3925
guchjnnlvl,CaT,CAt,murklrnpjm,caT,0.1825,673
doG,ztsehrvwgn,-624,789,0.012,-0.018,884
-0.2385,277,-0.331,629,yfasvgarcc,194,-0.344
-12,ddaqrmujjs,-0.272,-0.065,-0.3825,622,dOG
-544,tmhugczrgh,-414,gwktuhdksx,-0.152,396,805
yjyifcblih,cAT,670,-171,CAt,212,0.063
-875,wxqfjhwqdk,-832,-0.3215,hqicdbfvbx,726,0.102
-215,-873,twkdhyxhwe,DOG,efbhbhkjng,-0.083,912
-549,987,-218,-141,-0.0105,lgeuqdlyyu,620
565,zwgsjlindq,dOG,803,myancpxkbq,Dog,0.1785
-912,526,-163,369,-0.289,179,0.3805
-0.439,911,0.089,DOG,dog,-565,591
huavwvwkav,426,kxftrqdrto,0.336,-845,0.389,qttqbzhnjm
smlyqczoxi,-0.4505,ymljenmxgb,338,sffdltkxkh,741,tgmkrqgobo
dog,xnpxlwgwps,-0.431,vyekhcqhot,-42,fzvgxjlcxk,0.2865
0.044,142,146,-0.1755,CAT,-0.3345,0.1635
-0.0115,-917,962,uzejwvdljz,0.1985,alcqazigep,0.444
Dog,-0.326,-0.056,669,tcskihlnua,101,-769
tqtfwbhray,npvyxndzqn,ictmzjykoz,jiztsfqbes,CAT,Dog,-0.103
-701,Cat,0.2905,ctxaenpaia,-823,-0.165,336
Dog,0.12,fgxmmwgctp,inigqdokkf,dOg,agoqtkvlgp,qrkfcvnoug
-0.065,tgqbfccypd,978,iqylkftleb,309,vuyjqqsfzh,-680
-507,uecizdjnpj,-754,qneofbzzml,0.4465,-703,505
-411,-0.0865,ffpjnaiaso,CaT,-0.0745,nputvkhhwb,0.334
caT,ihpuvhnvlg,-0.154,760,-0.4545,wuoemgvsfx,cAT
-0.354,iuouludfdg,-253,hxazdefkqi,rtyjilzkoc,fhkkxuplul,-0.2005
0.049,-619,0.356,cqpsxpwscx,rcbtzuldwp,cAt,-978
0.064,dOg,tclveepyay,-403,alzxovruui,DOg,501
0.455,cat,0.363,oafaobsbfp,-0.0115,-902,228
400,wkooycwjib,nztmnyvvqb,cAT,fguctnyilj,ggznbqglzt,jtbqzwtgdn
cat,-321,-806,-0.268,sdkphpjbuh,-0.2515,-375
238,DoG,tklhrfpods,475,eqxucagpkv,-789,CaT
342,-734,dog,851,0.0725,-633,rxxpuxmipm
ayuruurtad,dOg,Dog,Cat,-499,-180,-0.211
pqgrgrcpwj,48,qdkpeevhyx,0.3735,931,8,0.4675
cydymvlzul,-157,-34,aowrbadhoe,ovjwezmoop,DOG,-0.4135
ccjncjsowx,-817,-0.4065,-785,buewqodehw,-596,Cat
vbrkfkssuj,-358,hijqdescto,-249,dOG,0.296,-0.376
0.2385,295,tdivuksqqf,868,xcgbdtyjvw,-380,-0.1365
dog,igiyrpjnnj,-0.0295,lovebwdjub,-0.161,fryozwfwmb,CaT
hlafgwiroj,-0.372,uwymjknakt,-0.071,-0.483,bqpsahcbmg,caT
-0.455,-0.117,ipmsrhahnz,CAt,dOG,-0.411,996
281,-0.257,jwszwzmmeg,316,DOG,-681,0.314
oeodwzrjjk,37,-709,-0.2175,-0.3825,-0.3935,olvbbpujrq
-301,CaT,-868,bejnqdlsge,-0.361,-0.4365,324
-175,bognbpvhyk,0.0405,cufyfjcuvw,wlwylkxhzh,787,-0.3785
488,-44,84,-789,-423,dzwngkypci,-0.082
dOg,-0.253,251,0.161,caT,hnzkikhdui,-919
cat,242,hqgaktfsly,372,350,-0.2485,ptegwidfqe
CAt,myvirxfgll,0.476,bpzoqbeaaj,DOG,-484,vokrmgzwid
-0.129,-10,0.226,0.322,-632,-851,dog
anhhtttnuu,hxwrffkdcj,21,287,CAt,119,406
-9,237,ekarylnemf,0.2555,ufkyhblmsh,0.397,-0.112
wthwbzlmwp,dOG,-680,DOg,vnpmpzzvle,-224,0.426
uktoqzdbwa,210,DOG,-0.1935,797,-0.4,-64
hygzjngnjt,0.176,fvmtybqfer,978,-891,CaT,688
