knlahhyeom,ijuramcfzh,eilivvzvsq,bnhcqaqjbt,dxugysxymv,hpgblcfznv,PET
DoG,-113,-603,-0.4205,-0.2595,sxtkgbympp,DOG
-488,Cat,-512,apgunrqbdg,-0.054,iqjfkuzevx,dOg
-591,doG,bjuypvqqyo,-0.0735,DOG,0.3975,Dog
jrbbniidnt,0.4875,0.4015,-562,480,-184,cAT
383,dog,rmjeparhyn,adosorxixz,348,-369,0.1305
7,dog,xqxgyvpbts,-187,96,0.308,psahuphsck
Cat,vwgyfucspy,-0.3955,352,-316,-376,cAT
ubvplyjvpz,caT,ykmeoonrwu,246,-473,-0.11,-666
0.21,-0.368,-156,Cat,cat,-322,CAT
-0.1545,-0.3105,663,344,vvsdwtfdwn,cAt,cat
0.424,wbayqqywpj,-0.0465,0.168,cAt,cAt,dOG
0.451,985,lmbilaivtx,-0.173,-0.1475,cat,cat
-0.008,-0.4375,zsazjsoxvl,cAT,dog,0.455,CAT
ldzwjcioea,nuwhgxbcgl,917,-0.2615,DoG,kneqpmnjhm,87
0.08,882,pzjuonsrem,-0.161,0.498,ikdkjhmook,dOg
ykfxflnydb,-0.0025,babpekajdg,dOG,ljjslcwzxi,kpltzpuixp,CaT
tblmqkevxu,-510,822,0.2395,-826,kyocynmuzf,CAt
50,-0.1555,Cat,0.467,-39,0.2765,CaT
0.4705,0.268,-0.0215,-0.379,-386,-697,cat
331,Dog,0.1225,dthqpzxzcx,0.199,-473,DOg
CAt,-387,-262,-168,-0.376,exbaorukcl,DoG
CAt,bpkjkgdtvg,mwsxelttek,pntypvbosq,DOg,873,-0.059
oeefbjeyrm,xvnsgkavoj,doG,qbtwbczyke,caT,CAt,cAt
zeuqtsvlhw,dOg,-0.205,CaT,807,0.201,349
mplduzqujm,sojxrjjagf,cat,925,548,kdgvztatys,-0.262
-588,kkuglmnegz,0.392,265,iaxshxlbpl,-0.1345,DoG
didhjgkfbm,966,odzdnsvqkk,joyzyweliz,CAt,-64,dOG
DoG,doG,976,-16,0.246,zqeacpajrf,-0.172
0.3885,dOG,otqwcywhtc,0.0,CaT,tbxjqwcady,DOg
vkpsqatbzf,-753,doG,-306,ttgsuiokpx,dOG,CaT
-753,-196,ktcmjhwwod,ljrvsvtajq,wrmuydavob,534,vrqqadhkdw
533,-647,lxopglfqau,0.1435,872,604,0.091
-44,oqbgfmgnpa,vslivouyfo,224,xiqqkrhvkx,cat,CAT
cAT,cAT,201,-110,kludcrjhyc,gfvxpphefp,fxkpmflakv
Cat,dOG,0.222,0.467,gxipsfyrno,-0.439,DOg
0.3455,wdpuvjmtuu,-0.2135,caT,cat,242,DoG
-0.461,dOG,zbqpndyzpq,-0.4125,nmrxwyhtil,ntrreekxqa,DOg
237,CAT,dog,DOG,-0.008,CaT,dOG
cAT,735,DOG,-0.292,vfxvotknnh,xdxfqmgfsr,DoG
-0.205,-572,845,-0.037,204,-459,cAt
-207,uxgbtqcjen,cat,itgukyunnq,gmyhbopjyc,abgthdfxdx,Cat
-641,0.484,kgxxcwtzlk,0.3045,0.4995,939,doG
0.079,0.0615,0.3095,dOg,856,0.021,dOg
svahzheuge,-0.4865,-110,99,0.31,-0.0265,cAT
doG,czrhymooaj,lxxikyokeq,0.2875,bkuuzmaigy,cAT,420
cAT,cAT,ngncawobdy,-233,-228,cAt,-745
zhibktuulh,DoG,-125,507,-0.19,dog,795
179,0.38,496,0.3355,-610,mmsefqhpur,DOG
pwoftbjcqj,-985,-0.2905,0.3365,-0.441,0.2005,Cat
3,djcczxutbc,CAT,-263,-718,nizrmfdoac,doG
-901,wtyuqbztji,-755,41,0.064,-0.4595,CAT
ccltzfwoim,-0.236,-873,-609,emuylutldm,Dog,CAt
-551,tstzwwvlzd,-512,-0.1675,0.4615,damrpctuge,cAT
-0.364,daaezgimrz,-0.1675,-811,wtoqqeadlf,0.2555,dOg
Cat,-329,639,mnhhahsqvm,-0.032,737,cat
0.2045,ldgnzanmnd,cat,kcdnqajsqc,0.1555,0.3515,caT
DoG,-854,0.4925,unsqpprxzb,juoeuezsdg,dOg,doG
ekzkqxelsg,qenmwioiwq,CAT,riddtfqwnx,hqiwgmooce,cAT,0.283
0.461,Cat,-121,149,plrkzkzvxh,0.3695,dOG
-606,0.106,fwjvpnqmto,wmagybayjq,0.2775,-987,svuxexqwmx
CAT,0.3595,dOg,530,dOG,-0.322,cAT
304,67,dog,0.1315,caT,888,CaT
gizorscljz,246,cAt,btgqpvnzdp,0.366,lygjrnheel,444
CaT,845,0.087,-0.1665,fgwqwxywua,doG,-627
137,-0.441,421,-503,gyrzgpzgfz,Dog,jevlajazmq
jfalvfdeef,mynyajvcqs,0.354,jlmtaucozw,bdvszwggne,CAT,CAt
