tvivlfsutb,dwhnwbixyg,pET,hrzgycwerr,zizmnmrjot,icujfjtmno
0.4495,-317,caT,odlzchgwao,-0.1965,Cat
-0.091,381,DOG,CaT,doG,0.239
crutsbwteg,-159,0.183,pzbnhfdoyj,-702,-766
484,-0.3695,0.4775,-114,-0.2655,mxexjwwddz
DOg,DOG,CaT,ulspsubahv,caT,dOG
accwnffrym,0.1975,CAT,-0.366,mfrpuzwtmh,-475
-478,kjfkxdoelr,doG,caT,0.256,xsjgrdcaov
-0.23,-0.137,-560,545,cpysgonnsv,CaT
dOG,vtyokhjpqy,DOg,717,0.3915,0.119
eawucwwjrv,wvfztpzknj,dOg,cAT,CAt,nnuginvsup
0.1495,clkxslwool,DOg,0.327,DOg,0.485
848,wnzpgbjdlo,dog,ugfeloycou,0.4405,-795
dpspfbledd,865,788,cat,-0.46,-0.329
-180,0.157,cat,319,0.192,qivpkbsxet
rpkjrilsjb,282,vyluhobytc,-0.104,0.4565,-238
cAt,-546,cAt,caT,-0.087,cat
607,-0.291,DOG,Dog,kaqintofol,pjlabpoxne
-298,jzjgsjxxpz,0.472,-0.4885,783,86
ozvtwwqubu,hiohqgxded,tnuoyhkoaz,mrfpwvyijj,-953,-0.061
762,dloxrhyusz,cAt,0.477,-0.156,763
725,-0.2405,0.4035,dOg,cat,0.3565
-0.1735,913,DoG,-291,-0.3365,cat
yixbhtflpr,-0.2465,DoG,847,0.153,0.1465
-886,0.339,Dog,qbqyjcizag,lelghornbu,cat
Cat,drqddtsgtt,cat,emowronesa,qeasrxvble,njqnntasph
wexefhxqbb,59,-0.4905,896,dog,CAT
zthryrlwfa,525,DoG,0.067,cat,0.279
Dog,myofzlrzeq,dOg,0.1835,-0.121,-0.1895
-21,Cat,DOg,-0.1375,410,hwtlaajavk
pzjkwkhtgk,-0.2365,CAT,oakmnetnxl,0.1935,-0.2485
gobucynogh,675,cAT,aysqsrwxbw,xyjmxorxoe,pznaywlmlf
434,bqztyveehi,CAt,-0.3885,bgbdxvsjvc,cat
391,dog,cAT,-0.3115,-663,-19
toizuqjdot,mfooglabbh,cAt,164,6,0.0525
-0.482,dog,CaT,caynyhouhn,epjftckgwe,-0.021
gquxqgzxwk,warkkwamyp,DOg,duldzuhtcm,kjrtkxkphq,0.066
-618,843,dOG,-549,-0.4,0.126
-206,0.1225,CaT,bggjalgofb,zjwmthhkxz,rcsnkqrysi
643,CAt,0.0555,mgxqgajkgp,-0.149,814
0.4805,-0.2725,jagdmeuxpw,194,-6,-69
wcnukmqjji,-224,cat,-0.112,mcnktdazuj,-522
-0.3125,250,DoG,ifmjwtirzf,-0.292,weekluwjpw
-341,251,fwfmssxjic,336,-0.4615,0.4335
-0.16,wserabshin,cAt,aztbxirscf,bgwncqirav,-288
CAt,ciohsorquv,dOG,-0.1615,jturwxiykn,-0.3565
bzenzedlgl,283,CAT,ttymlpqmes,104,caT
-115,zysfisrdqb,caT,540,-586,doG
0.481,-0.106,caT,nvkyfrsftn,0.3775,ytzokbamrj
ttitovnjnd,-336,DOg,-0.0735,qvqexkbdxb,gudbsxehay
0.291,vfzpbxuhpp,DoG,fqszeshnje,-442,-0.1565
0.2815,xdgaodpjjs,CaT,0.4035,0.242,-240
penzhllskt,563,Dog,-467,643,cruwvldqfs
ycgwveaavs,-947,Dog,Dog,-0.2595,caT
-726,DoG,caT,dtvgsexovp,-564,-149
keqjdpmcnn,eqlmgiswkk,CAT,303,-0.071,838
