iieezdtnuw,qdohmjlhut,wiywgatpxk,umkdphfeta,mvgexmtvfj,zgughuucir,Pet
0.206,-730,dOG,558,zgtxwuugdj,401,-0.185
nfypwxbvnw,DOg,cAt,DoG,0.1865,-345,-107
454,-0.059,sqpzhwjrdu,-599,251,vqtcnyfrnh,cat
-0.007,-442,0.337,zemptqrrts,-0.0225,hjzxqkyifr,dog
doG,74,-0.3215,-676,DOg,CAt,cat
0.1035,pepuwpxxmh,eertiaorsf,-931,0.3645,-0.084,dOg
-560,hvbnbztnyt,645,dog,xnactukzxt,jnzribcnum,cat
ffxzulkpca,-0.128,umfgzwkhfp,-0.0325,0.201,-0.153,736
-487,fqflrrbcws,-338,raggulspec,-676,yxbtzrtpyn,Cat
423,-221,uimdmoaqtg,-538,tuanspylxk,-621,CAT
rtksbkzfzp,939,517,vfbrreixga,ukhbnagnhi,0.006,Cat
cswmxzykjc,mrwduchxuz,-98,josfllamqh,kqcfvatagz,-0.145,0.106
0.401,DOG,kwhfwzgqbm,568,35,CAT,DOG
0.219,DOg,-912,-702,Dog,0.4765,cAT
cat,-0.131,-718,0.418,-96,soqkljyxzv,dOg
-628,-565,-0.235,doG,cAt,0.316,-735
0.2495,tifadlnrlr,caT,784,731,uioprlxtfb,hbevjaecrm
-0.2355,doG,sjadazsrgv,-687,ulgdgvtuau,-0.31,CAt
0.339,nenetarfxk,hrqamowwvm,-518,lthiuudedc,uoonqyvyyt,CAT
527,DOg,0.014,0.172,0.403,-0.1125,-0.089
pbxkivrbiw,-0.0755,939,fktjzakuds,cat,0.223,dOg
-0.2435,dog,-0.18,232,dog,wkpejkcrgr,DOG
lwkfpdrxbv,0.2385,0.0535,-0.252,-291,254,cAT
337,ozrzaruvmm,cAT,caT,imjmghhpzy,-0.144,CAt
-0.1415,-0.3445,-218,-387,0.3165,vynutbpwrz,cat
Cat,dOg,luqyoannur,-0.234,ioebswjubj,caT,caT
-0.421,-367,cAT,mdsiostyvf,315,CAT,cat
-0.3625,DoG,lzrmomigkx,ipblosrfzn,-0.0875,0.294,dOG
-773,-385,fwwbcfzokh,CaT,esfvqdhlwm,eatfrxzptl,DOg
252,-0.056,gnbtvrrqda,zqeiwmitpw,0.11,DoG,cat
0.0285,-646,0.4825,-0.225,qfncjuigtr,CAT,cAt
-91,scukbphkpu,jaoevchncp,-626,feiribqdab,lfzgecwhwp,jmgdlfrifx
-0.277,-103,0.181,-0.415,mhyrmklnfm,exwjwmgoor,DOg
0.21,ajixvulszr,DOG,-685,vrhorvqkmp,-0.4955,DOg
vhshaluvbr,-56,-394,vbivonodcq,169,-343,0.104
-759,541,oioxlksrjo,cat,724,858,0.401
0.101,-916,wyrrqxlulm,jjgaylbxoj,-0.3765,0.297,-682
xbiqhjvqou,fsdobbyxyp,-0.0235,0.2935,-0.365,-364,dog
rhvpsvdqlt,caT,-0.3475,vkvdfuukdl,sgzrloofwt,-0.2975,DOG
caT,828,dOG,cAT,CAT,dOG,rhtjfgbqbb
seglnzblpn,-504,244,-478,376,0.074,dOG
0.0585,uvpyvctcxe,DOG,Dog,-0.4585,570,DoG
786,-783,rjbaeqgwxh,0.4825,-301,0.335,-0.1145
-0.3615,-0.249,fejdwospqs,dyraaveqjv,-440,fguspuyjfh,Cat
-4,nwbljjwcxe,607,199,-0.12,0.4505,CAT
361,eutubdzbiw,ptidmnrazp,521,-0.2485,655,unwhwfkxnf
qfqzwdxatq,qnpjsppnpi,pbzeuwmvbh,kwyzmhhnfc,-0.4345,cat,doG
pbllohmwyc,0.128,dog,ssjkooivrx,922,-0.102,DOg
zocrylmnhu,dfqmldgzmt,0.0805,0.0455,0.0145,-0.2245,DOg
gqznmvejbe,caT,fqfwvrirjj,0.17,900,-469,cat
-91,CAT,-246,hivhqxyzdd,0.314,-311,0.2905
726,0.068,cat,jozntqbafu,0.339,0.216,DOg
-0.497,0.0445,yecddapcxd,cAt,ugybwpgdys,yvqipmddin,CaT
cAt,oivswbjnqq,Cat,yyyyxrowle,0.134,581,DOg
-0.07,490,imuuqzlxqm,-299,-0.405,-0.221,cAT
9,ehwkhbxbrd,-0.305,0.138,-951,-929,CaT
-0.295,dOG,iyutetjdbs,DOG,mbrsmwodnk,nkgzwraylb,dog
-0.1715,aauvppbsmf,-222,-99,0.423,518,dog
caT,odnqnstxjw,gduvwmotei,-282,fovxkcuxnr,0.1185,Dog
gzbpgrswqu,0.16,DOg,-338,659,-0.2835,dOG
-486,-0.0485,DoG,lyhtcxtddy,0.1165,0.145,Dog
-0.1885,-822,0.066,-721,0.2995,kftrxcnzkq,cat
-0.375,0.0995,-0.291,axbprfvarw,CaT,cAt,CaT
0.1825,279,waiiasmcub,-925,-808,bainxjrmwg,-0.037
ifttdwackr,szxpcisilq,ijatsteedk,0.4925,-357,cayhwlyplw,dOg
haciplpfdv,-0.142,0.291,Dog,-5,uollxzfggo,DOG
-723,313,cAt,-179,-100,cAt,dOG
yyroqgcvjt,-0.4495,-595,0.157,205,cat,DOg
gpkzjnvzpp,beigjoiqts,-0.349,0.2065,DOG,0.4215,dOg
caT,umuthyhvbu,uiijusfwfc,mecvqbywqo,-61,-0.2815,-95
-0.345,-285,gnwgxxulni,426,myunvlgzon,anhzyipedz,-659
-0.2255,-0.0885,-97,DoG,-918,zpwmaicbua,-0.431
0.012,-865,-659,161,cat,0.4635,Cat
dssnsmkprq,-0.0665,-0.1735,25,xodhjdmmig,pkqzvstcqy,DOg
-174,885,cAT,-512,70,tjwimjjdjt,dOg
cjoyirutms,cAt,-0.3335,483,onrlttkwrr,0.2685,CAt
-0.434,jpqtxiboxy,kakseyusdp,317,cxeakpjlhb,0.3935,617
nsxeoxorhx,dtvrctsuee,-696,524,0.162,-0.147,CAT
-889,0.1795,0.0825,fwianvsfvw,msdimxsomu,-0.1185,dog
0.0,kdmixkhauj,0.21,bcoapqzexn,DoG,-0.4585,dOG
-0.2145,opftnaoyvh,196,maqwsbevlj,-0.198,-331,cAt
cAT,0.193,0.315,ldcjyokqbb,riwizsfmmz,sytsmqwmip,caT
cat,-0.3155,zqyagxqaul,rxjykyyotb,woxhkodfrh,-0.1795,0.3485
562,0.0745,-793,0.482,-0.104,nocbwtnxxi,Dog
722,-196,0.0735,knrawrpjtj,CaT,0.437,cAT
901,-0.2935,ujijkesnbk,ippqmjdvfr,991,0.1055,dvvwfhytsm
-0.2865,-235,0.3835,0.204,505,nswporngqf,Dog
0.2985,tjobmrqbmm,0.177,289,184,0.2455,Cat
kumroreoql,741,hlyskwwyyv,-217,0.46,tkmuagacym,DOG
dOg,sbzucebhnr,dOg,0.3655,877,caT,dog
lcsmxtxdep,0.0565,400,0.142,cAT,Dog,cAt
lyvbeiwigi,-899,DOg,Cat,mscszejtyh,-85,-549
-99,-0.2265,-0.147,kqzsiwxpus,-333,cAt,caT
0.311,lqqndzpjkc,DoG,0.1725,-0.1415,0.252,CAT
-0.498,ycgaikeskg,-0.4165,uoouiehvot,anepzrwbhu,309,heqiynikva
