iasevgfctb,cwmnncjesa,uovwrkdcql,cvsnfrwdfs
-62,xblijwliny,-711,486
ydjgyjmyot,spbmzfxlmy,mrdgqkmqqr,0.385
0.1215,-0.2915,uiolxypqnw,0.3805
132,yjhlbkuzsa,jhppdnjvnh,508
rxjvzbsgaz,-763,-0.3795,-0.2795
-0.488,CAT,-560,-0.009
37,-0.0605,0.3995,mvaolvglin
716,-0.4245,-99,zmonwyikjf
tpprfeooxn,0.3315,96,Dog
-0.482,643,ttiavrdzvc,syxtzvyfnj
qplasgykoh,Dog,cAT,0.2625
flikvokyrt,0.042,-0.017,0.024
879,lavzjxblub,-0.32,qhnjyciaqp
789,hszymtkkaj,-0.035,0.4055
0.01,-654,283,-543
0.393,-506,-186,cAT
0.0535,gcuaxfmqef,216,-0.1725
dog,0.0405,831,txlqrezitc
opbroyyqsp,-147,fddeotcufr,xfqfswklew
-0.2765,cAt,uipbmfqyyb,-239
-830,bnjwgizpln,-703,349
krtiihvqbi,dog,-392,cdmdugajfm
cAT,0.082,-199,hncnteztyd
987,-0.2625,doG,-794
338,389,Cat,0.0275
0.4445,zwsgldknke,Dog,scvkpelcmj
774,fteeumqore,cAT,443
-0.0145,Cat,mdgnupdivq,0.035
-0.1895,-157,-498,560
0.311,-756,0.399,0.477
90,CaT,cAt,-922
xqoklgqikx,0.365,cAT,-0.477
gqyjwzskyh,0.1785,-86,cAT
381,DOG,-352,sejzoeeobg
DoG,0.4645,0.0485,ezrbmxwzlp
xjhghhvswy,jivtebokob,mvimitntxi,-0.421
mspsgmconx,apxxpgemsa,DoG,uyddtexpfj
0.4745,0.2805,avfnwsbvlr,cat
dOG,lrcxaegnxo,-0.147,-285
626,-233,pzdnzdfxvn,-981
CaT,inwaoeezcj,imbksrtgzs,0.093
951,ymsngilffr,gzpvaafshl,-110
CAt,ulawsxulgh,ldkkrtoeiv,bspcnrjytv
0.433,cAT,-0.417,0.144
CAT,-715,369,caT
-0.3535,ifrqsvfclv,dOg,-0.031
ftktscdksk,hxletpnwrj,-0.0285,-75
0.0925,yrtokwxtcr,119,-0.418
jujlyswvvq,jqcqzeinjt,knbaikktfh,0.488
nnwzfnwajs,CAT,964,CaT
-761,-273,-944,485
616,qvihvzbsqn,0.199,kqpaflsbtp
-0.098,uhupimbygd,-898,-0.033
-672,229,-0.0965,569
CAT,0.303,yuguudjsyk,-0.0705
0.2535,-188,wsrlhpgbsq,-0.124
0.262,483,zfunonysyt,-879
igincptabo,860,-385,rkyiixityu
657,-903,-0.2895,dog
-0.3145,-0.1315,190,CaT
Cat,-0.0655,Cat,gphqtbgdwm
-0.333,0.1395,519,-516
dOG,fyymksevby,0.048,giuxiulkpj
