jlhretbufa,jloovcbusj,egbpmqhaom,gxbktcdthi,rfevvuergd,krkyglfbpw,jozzgclhzv
kuzfbydvtc,tfsfhhyeqv,dOg,988,333,dog,jltahoxylg
-0.252,-0.237,tqspnfbmbo,CaT,iyiuxbjhsr,11,DoG
DOG,273,-41,crrwdyyiur,fkasftcslj,nywutluggh,-0.131
0.1325,-0.3725,fahmakbcpp,-0.1655,Dog,iueabsgnvi,933
jjemeohvvj,CaT,579,487,-0.261,517,dOg
723,szdbykfdir,wlcrjnoxgn,CAT,aehogooypa,-397,-0.2
234,0.445,933,-0.1725,-394,543,-0.4535
-0.203,zppjdmgoab,646,caT,52,816,0.3385
-270,0.1515,CaT,DOg,601,jowhiftjtw,-343
229,0.0485,284,nfyeftbwql,0.08,130,fwtflqoihs
133,527,-0.24,-475,gpsbbgirdy,ntknpmvvek,808
diygkcppal,caT,cAT,DoG,dOG,ggakfxkhau,DoG
-246,-0.228,zyqhkzzfxt,-157,jtbcndisxe,wbzdnxkxqz,0.4865
lmfrqmolng,-0.322,dsggumrnqx,cAT,-0.2615,-0.3335,-370
69,ucbahjjefs,Cat,-0.3535,nmfeitoqvi,dOG,397
fodlzarrpk,dOG,fosmviimog,DOG,182,516,-0.047
-0.1135,dog,vcqwdglaqn,cAt,0.0355,0.144,-178
0.196,dOg,923,pupzewhtqo,zdcwyeacsj,0.381,0.3015
-0.001,vvdwoqnemw,-0.3135,doG,0.433,doG,bpbovsqpxw
qhxzarnkug,666,cat,0.371,334,0.1635,CAt
-711,0.027,-0.0045,dOg,kkndipaghi,-0.2375,-143
0.24,83,uipvjmemrd,-0.045,hysmuxhwxl,0.1285,-425
0.1615,nflprnjoyh,0.168,0.0615,0.1475,DOG,dog
