ptmkgdzlug,rozwplwhlr,swhrddtwxf,tcbacnpnhi,ahbajscjak,enkbbxugoc,inhseuzown
-0.3895,upvczvkudc,0.0905,iixcteocie,0.413,fbfzhyqbvn,-0.3525
bxheknhloz,cnogtyzscg,-0.3295,CAt,CaT,0.359,nthqmpxghj
0.232,gpqsqtgggv,-0.1265,rvpsjiaokf,0.287,775,-35
-0.0905,CAt,-0.065,643,Dog,nbsmbdhbid,zwntqpttjb
-0.411,-0.297,pqiqindjqh,DoG,-0.2355,lpjqwlelts,ljxwcodvfp
cAT,-672,bpvizvksdq,-373,434,cat,-776
482,-0.27,caT,CAT,0.462,-442,Dog
-0.499,dcrmxgotah,CaT,204,CAt,Cat,Dog
oyycatwpia,0.133,0.23,wnfschqewp,0.0245,doG,tagltqnehj
0.084,0.2175,-566,-393,-0.4395,0.4495,-398
174,fjlfmqgjnh,cAt,-470,0.237,-607,wrvdtkephu
-575,867,0.395,-989,fbijdmgbli,-0.1515,236
0.406,-406,-790,64,-0.0555,-881,0.181
cbwtwytvae,uojyhawfsm,-0.311,-0.3245,0.129,xuoojkfsyr,Dog
-849,-58,ctsxhykudf,84,tyjcewzsmm,DOg,-991
ifvtjtoomw,409,crroulzpla,CaT,0.1185,eyvftucyhp,alshgyygyv
hqohigmang,-0.342,0.3895,abbhtksqkt,aayyfdwmux,-221,0.129
dOG,103,-0.077,kbbhydcbbp,-939,hdjewguyiz,0.035
-0.2685,dOG,qaltlahkzm,Cat,-264,-320,-0.252
-127,pjvprmyxbd,22,877,89,-480,dvxtqsmvuy
442,dbvnuvykcn,-882,hedzlwosrk,-0.17,0.2295,-0.2395
-822,Dog,wcoamythej,-341,-0.231,0.108,-717
0.0575,-617,581,CaT,-444,692,0.154
-0.082,caT,-72,flmuvkdezt,586,toodkdhwer,710
-0.0225,990,-269,-835,739,351,-176
0.1005,-95,0.2785,-426,DoG,0.4325,-0.355
amlybjvpzh,-0.41,-55,cnpdtmyswi,-0.012,703,ocgwzuwqqv
0.145,DOg,lkhlaiapld,oxbddbnwax,cat,202,wedrnamfql
-0.1125,0.1965,0.305,-715,924,ojyibvxpgp,653
-36,gspbggtkqh,128,421,79,-0.06,uuhtokreuy
-475,-0.2655,wdfqvdzyiz,-485,lvjzgmrayh,-0.368,-0.0455
gcpchhmeon,0.1435,DOG,-0.4685,uodvcabytn,-0.4725,-0.4875
-0.019,0.3505,dOg,tkoetuwfqz,-774,sueylmcfru,larlwrndkq
724,cbxmriukvf,CAt,dOG,297,hhiwzhsrqs,-0.0845
0.1445,86,-373,bxjoimszjl,kzgzzzbepi,0.4325,yjwaqqhyvj
