jhzetccmqb,Pet,doovdhlifl
tfbxyozcps,DOg,smmlpgfghe
0.193,DoG,-0.2605
83,-468,-0.0365
Cat,doG,-850
-743,caT,996
-416,-0.349,ulaovqtzfx
907,Dog,385
vuxlnvbyhe,CaT,-900
0.0965,-339,uooqublmrn
0.168,-0.2185,-0.327
ridfzhgzpt,Cat,nydvxefgit
-0.3065,88,-0.116
xwwunrpunu,-17,-902
cat,DoG,dOG
gcskkuzzbr,dOg,cveycdcusw
364,DoG,cat
DOG,doG,yomemyydsm
dmzzawbzyd,caT,-148
0.025,mvbroaakff,-123
cAT,dOg,ovgcfjrmsf
-0.146,Cat,341
0.2955,Cat,0.325
0.2555,wmgsqqxest,0.25
qcgxmvbiqx,0.116,vuahfyjmbk
990,caT,CaT
azyidqimhq,DOg,-0.033
jtljofocnl,cat,dOg
dlaaeernoi,0.0625,0.3425
CAt,-0.2915,dOG
Cat,0.4355,lqmadwwvzv
lioyhcepcu,dOg,286
ndhqxzsxhq,0.201,319
0.1325,Cat,-840
gkfpcbqzbx,CAT,DoG
dOg,dOG,caT
CaT,cAt,cqrkizfwkk
-938,0.2115,-0.4755
0.105,-964,wvneuhklnf
qewvqbdple,doG,0.424
CAt,CaT,dtbsqbwpla
0.424,dOG,-433
0.129,DoG,nbanlyakqz
-0.3645,dOG,-0.3285
ibtrsofgrb,dOg,402
hzteylanve,-0.0125,-0.146
-0.422,caT,DOg
knpfhzrcdo,cAt,CaT
753,xrwovvljou,0.066
-26,CAt,xfkpkbkmck
dog,CAt,ofgksyjqhw
0.172,wlrskhszcq,-0.1975
Cat,DOg,-485
-899,DOg,DOg
-0.277,DoG,udrexzehgn
hvbndcldfe,0.4765,cat
-547,DoG,gmnyuvizcf
-0.0195,DOG,-115
-653,dog,-218
239,DOg,dqsqlbzeqp
401,-411,-55
612,caT,bhrpfpsybq
fajslmhapt,doG,-846
-0.2555,doG,htztngaawd
167,CAt,flkwfogxcf
DOg,cAT,-0.1245
-439,0.4995,0.4855
dOG,-491,CaT
-287,dOG,gqeavkovyz
0.126,doG,Dog
