kzjfsrwzdw,pbykarqxxs,iqkiohowur,ultcgltzft,kuszaayqna
cAt,dOG,Dog,hckufjlnrq,zijhstsyuu
0.438,-728,hxmreqfahd,nriteriehz,0.372
-386,-0.303,-0.3445,itkhbmhllb,-0.3095
0.094,adxeordviv,-0.156,0.099,cAt
DoG,dog,zjkqfauzzt,bwhgmyyxxp,850
230,420,376,cAT,0.088
cabbgllhjj,olulopvfxd,-0.078,DOg,196
-0.1905,0.129,ebddurstwn,0.0875,0.3565
-0.0675,-134,594,caT,katyaszedi
haykdpubfs,cat,997,xmlwjrpobh,247
tzvwtnolbl,0.4275,165,-0.1105,Dog
-0.3085,ufuaeqspie,zmulpjouul,0.2725,hwohuaqndo
lxlgfbdgrp,-0.48,Cat,0.246,198
nqxeqqosxo,dog,qysljdbcyn,-688,50
chspeuedaf,doG,0.2215,0.299,duueerooni
DOg,DoG,936,-0.465,923
DOg,wbgaqcvzxa,doG,axcezqionl,dlinrrhyvb
289,226,dppdfxaiqk,913,eipixvbcnn
-0.3905,0.4505,158,-0.0845,wuqyvmdaau
cAt,314,-341,0.3305,-0.3915
216,-0.27,857,-318,-0.2305
svygjfdsww,-532,-0.362,wmfpfxwdjd,951
lfwxoiaxvx,0.32,CAt,-0.0385,710
606,860,-0.479,628,cAt
-100,-0.446,0.0245,0.4955,Cat
0.024,0.2675,CAT,xixeqjprzp,-311
0.3195,0.138,caT,646,-434
817,eeabynenme,-0.045,-0.4715,115
cgnlrxiohu,-0.0455,517,-0.4625,cdihsjrcfu
cat,-508,757,0.384,dOG
DoG,dOG,199,583,Dog
dOg,516,0.384,0.0845,caT
0.3025,267,0.4755,Cat,etrvscavjp
-743,-0.095,ymzrtierdo,-548,-14
953,dog,0.347,512,-681
-0.052,-121,-0.248,caT,-0.0245
0.019,-560,DOg,kyypwavhzq,CAt
