copswgtbxp,dorhajkgbx,vmkgauhlfj,PET
321,ucveuqovef,-838,dog
lwlzceyejd,xenrbmmatq,cxjucuzopc,dog
lfwnotlvjd,-0.4775,pbseudagpx,DoG
CAt,-0.4495,-0.381,-0.326
738,0.099,CAT,tanxvhcbae
-0.371,ykonrqpjnd,nversmzuvz,sfoezfoofi
dOg,-0.1695,uoipxkeroi,dOG
0.3935,0.192,iaspzrkqti,caT
721,-146,0.035,-613
-456,349,vwaorshshl,DOG
142,gicogsuosf,alevqmqnvx,cAt
aobwtslebx,dog,0.0135,Cat
866,-0.118,Cat,-0.2765
wmqrqpbsry,-735,352,397
rcixuymffj,706,-971,dOG
cAT,706,-875,CAT
310,-610,0.2015,wpxidzadou
doG,-10,kafknxptdf,dOg
-0.3135,kzzqogagsg,0.098,DOG
701,0.182,ocebouignl,cAT
-232,DOG,571,CAT
kwtvvqwpdm,DoG,doG,DOG
wswcbwvzlu,-0.0985,dOG,dOg
953,dOG,-305,cAT
400,-742,blpgxkueon,doG
yvarvqvzuf,-0.484,syeokvdxtg,cAt
-0.485,0.476,0.3275,CaT
uasqoopqcs,skyigdotmu,Cat,CAt
-0.075,-0.3725,0.2935,dOg
kcmvgemiwd,-850,-0.0455,CAT
0.3725,fqcaadqzyu,566,doG
CAt,0.472,-365,DoG
-0.1765,dxmceudxuv,cat,rgdsmdgstw
779,-0.1375,427,dOg
-0.156,vfgfjlsbyr,dzfwxwavop,cAT
cAt,0.2685,528,doG
