doucqkbcva,xlergsxjkp,pwsopobjjn,oxumcaqryw,ylyoqferix,ayhbilsmla
0.002,-0.0225,847,dog,-0.4325,419
0.4465,-0.4715,zberhmrswj,-0.012,caT,-0.098
rbuwbdsget,iprxfcsxnl,329,doG,kddoxtlirr,0.394
gsnvpfhuzk,-239,-0.248,tkxsaqjnhi,-691,Cat
doG,-0.2905,cAt,jrcrqxtugq,-0.292,499
qcrdhedsjz,xpcvuzkjxc,0.1635,0.1315,-0.4455,-602
Dog,-0.3115,DOG,-0.4005,40,2
-617,DOg,-259,0.1555,-0.4925,frmkwtejqz
704,-454,0.4165,-443,dOG,waldvsndsy
cat,dOg,blzfoxcsyj,DOG,442,Dog
0.3995,DOg,cAt,-749,rgwqshpxzy,-414
461,-192,0.1695,etoxmtrxpa,lkzsrkknvk,0.1305
fnyiqxwxth,777,0.447,alpcfpovjj,-947,bqnjmaxgan
326,cufvixsfdm,cat,0.1915,cekxqavdqo,977
90,699,593,0.1985,cvifcnevfx,-937
-0.4515,-292,935,jiukwpnarr,-673,839
-0.1095,-132,-0.117,dOg,imegsvfmbp,cAT
-0.0535,rtrmhmqmpu,qpbdnpemsj,dhvxrgfszb,Cat,969
-462,mqmkordmqa,-816,msguuzipjz,418,ictygxvawq
-0.287,0.139,aiodetirvi,-836,-0.4635,qwthihvmig
-0.273,0.205,-0.4425,-963,cAT,0.086
lmahvcfaws,dog,97,-0.369,Dog,652
578,-0.2175,-498,zejrfjddzc,pzbkiodhln,-27
tgylscfigv,0.189,gbolqqjsxm,0.0365,0.2955,-0.3065
-0.434,ogaqyuldmq,772,wubvvvdquc,0.4,-0.376
bzxxwdwmlb,vtgrdjkgyc,wrakshtoje,lvnoulrmdr,-0.2665,urmivvdzph
-0.1635,-869,-28,-153,cdgfycprld,dog
0.0105,370,-29,tmqmpovahk,283,-0.0055
fftkamvyns,-0.259,qonddctiyq,316,933,caT
cAT,dosudfsxiy,pchbkwpsuy,-0.1885,cAT,-0.396
iwhfsytsxs,-0.125,-0.121,-58,0.0405,eofsoqvyja
gvmiuggogk,0.247,qbgxqokcvb,0.386,0.0985,-0.4355
zypoaumpne,uvtdtjfevf,0.168,DOg,-0.1125,442
998,doG,tikvabihjj,0.1725,0.349,-0.269
caT,0.4825,-768,cat,uvcisnqilq,-0.299
cAt,797,-0.0225,tocdrsqeqf,329,0.106
-862,dOg,mneljrrntw,sozqmkhofa,-663,DOg
815,xndzrcwmhm,DOG,CaT,lpaqfgosgg,-0.1935
-0.152,-0.4515,dbjvotsixp,-79,-413,olatlbprxr
-744,0.0755,zspfphosnr,vrjsurhwht,-42,0.051
DoG,vkaqpdzuvj,0.0555,0.229,0.035,806
drnqeaehjs,320,cAT,-0.2725,731,0.2605
453,rhfkppaibj,DoG,-0.4585,-0.415,-570
975,DoG,-920,0.4175,-679,0.326
ckszzxpagw,-704,Dog,0.3665,Dog,730
roxcqdtzxh,-4,0.1285,-409,yznabqvxcc,-720
0.1625,0.3085,kqydkgmhra,oukjoepubt,dOG,-0.065
kqmqzyvqmr,DOg,-691,nusuqyuayt,0.0555,0.005
-0.25,tjxrerfzkb,483,myackupysg,333,dog
DOG,538,losrunxvah,-991,pzonqzzzrt,362
xdirhxyboc,mhmvllyqvn,jthtaectne,588,556,-0.275
ievqettimk,600,-0.1565,-0.3935,nmpbadslae,-0.41
lgdcgcmejs,-665,Cat,-167,uqmwxgyepr,Cat
3,-871,ummasnihvy,551,261,-101
esjdfebiws,43,-0.297,-86,Cat,-0.231
0.043,-372,0.3995,qjazznwicm,dcwpsgoalw,-0.441
-856,Dog,znaqazinnt,0.1975,-0.069,-965
-0.0175,0.4335,0.4285,0.4365,440,-937
951,-676,0.1665,0.0385,-879,-474
DOg,vfegjnokyx,lxzimvvdon,xmieorblwy,ukgfvuybep,-0.1215
lkryxgsahr,237,507,0.122,-545,jxcfjegmzs
sdevvjlgnr,-0.426,cAt,0.0865,-0.094,syuckdphks
-0.1595,408,446,qmbquubolp,ukmushbrjc,dOg
698,-137,-0.1455,848,spajumdguj,-879
doG,-0.353,-0.471,0.39,nxqrtuvnvv,shaurdkjac
-359,uwdueamydv,wgwxvsjebt,0.2465,yccjrkqram,-601
-506,cAt,-0.4505,hvljhyppcq,-95,luomnlhzqt
-190,lpbhcaeedj,-859,cAT,-0.1885,0.427
0.0415,-0.0435,-221,-0.137,-904,dOg
-0.397,gtmubaonsh,0.3875,oyggkcuwxm,916,-0.484
-0.4765,371,CAt,-350,286,goozqnvyhp
247,547,-284,DOg,0.1995,rrhvthfvqg
705,-121,-206,-69,0.0185,0.219
0.3295,0.066,842,184,-0.3615,-709
xgnvgkhjfw,-0.2355,-5,cfhecsltvq,dhcphzerio,-0.4905
0.3215,0.0375,DoG,0.336,-866,618
kyovtwnssv,-0.335,-963,dcgonhgrmw,0.0305,aemtivlvlg
