juwmfhimxk,hwaingndmj,itlwambmse
-0.1905,0.0965,0.357
-0.2905,0.342,elnhfnzpas
Dog,dog,-773
lzcijdetli,-7,fdraivedxf
342,-286,0.2685
qwcnabvimg,-187,0.248
-299,balxbwucxr,294
0.1775,cjyrvtemao,-0.161
-236,-0.3015,-387
0.3985,cAt,-245
789,-823,-0.39
-419,-0.0435,290
0.411,0.107,xhaufakmly
dOG,-183,caT
xaokhkvzzu,qjqcxiqylr,gkasalxhqf
-324,cAT,-728
0.001,CAT,CAt
-63,DOG,rcgvsgyalp
-0.012,-714,CAT
-0.044,rwkodnykoh,0.353
rvcjpzbjik,CAt,dbihfyqqlr
0.1905,ejezkyefsl,dOg
CAt,doG,CAT
-0.01,ussfitojfr,yscbtweecb
0.229,aagybjrcjv,0.389
-108,-0.179,0.119
qfykeycjjr,lqgzredjzi,Dog
0.44,ukavfyvizy,-0.442
