PeT,ngddbdokmm,mjujtyiwbe,dmvwwdfwqv,aagchrgniy,aipecltmhy,gvwmujdpvm
DoG,525,0.2395,lcdwkqrmhe,786,DOg,crmlkchxpd
Cat,fkkcuphpqc,cat,-319,0.408,881,244
DoG,-0.3045,kdpwexstwa,0.2695,CAt,-0.042,Dog
CAT,552,106,mtyszbkzxh,0.141,39,-334
0.2015,-0.098,caT,doG,-619,aiebznyeai,cvvxwhekrw
-68,362,ytgqdsmzbx,cat,816,kuxuubudax,0.186
CAt,0.234,-0.4655,-0.34,uvrlhmbfkq,-0.497,168
DOG,-0.196,-0.1945,edixcjennx,ccuyvssety,rqunyssxel,0.276
CAT,cAT,nzvoxthtpv,luxcnxbddn,gjoeqrxmtu,0.1285,Dog
CAT,cAT,845,lxrqczpmfl,DOg,cat,CAT
cat,-929,-0.4435,-0.482,-0.4605,gkxtoguozw,-0.474
ejrcknrojm,DOg,-170,0.229,lqfcavvlpu,947,-400
Cat,-512,-0.313,hpaauqculx,-737,DOg,jdryqkcyfk
doG,620,740,doG,akmtzyheht,cAt,cAT
-0.4075,-0.4845,ybwwfjpwfu,714,pyebbgdqde,735,ypylrfztic
DOg,-0.0455,myjiqwspam,-0.012,DOG,cAt,krtuawsgkq
-35,tipvzlsern,hxauokmhhb,-0.495,irmtapvwfs,aogiearokv,-0.219
dOG,Dog,wtyjmwhjug,328,893,dog,0.4175
-0.471,ygbaajgosq,-0.3445,0.0605,CAt,-966,sqroaowoex
rzobjephep,vqiegtsbdt,-0.2545,810,338,mkydignxdh,-0.375
CAT,DoG,-0.366,kttyibzogr,544,idxsryooqt,-405
0.4675,0.4125,ogghxzzmek,0.3105,lbzswfwwzh,ebyeoaknfm,-153
cAt,cAT,932,eggjbivvbz,0.4355,0.0765,cAT
doG,0.0745,DOg,0.217,-824,otljerozia,pfyhgzugev
CaT,vovnmahmgc,957,-5,ltgdjsmrbn,534,DOg
zhaiuugtop,-995,657,mxxeudcfoo,0.05,194,0.32
CAt,jhrogkugiy,dOg,dqwouumctp,-736,-705,690
cat,pwnsdbhdtu,-0.3205,-0.076,vxpskgtrhi,-284,246
