jmytkrynln,rfhtksjdws,PeT
pgkolalqbs,jgdbtbvpcn,Dog
-0.023,336,Cat
-0.394,-0.4275,CaT
cwlaiwakor,rqqsmaxxte,doG
jyqojzuoox,qpzpwhszgy,cAT
0.1635,-0.4935,cat
-423,CAt,DoG
-172,CAt,DOg
-0.2975,-0.174,0.3345
aflozahork,-0.3235,dOG
cAT,agvnzaradk,DOg
-249,ebeqqkafgx,CAT
884,DOg,doG
DoG,-276,Cat
aulcllpwjy,591,DOG
CaT,kcvujflxox,0.166
Cat,0.163,-439
Cat,xoijjipfuy,pkwlzcrnkk
-0.2105,Cat,Dog
ioqiwhixjx,CAt,DOg
ucsetfjyhb,DOg,DOG
iddbhkuneq,ifrhtwbnhp,-0.3185
-497,0.4375,-0.055
0.422,lxmluhrkql,DoG
-0.118,dOg,Dog
-861,vlstgiivhh,cat
