mygukurewr,sroycjtxrv,ibyzfqcbss,jqsnfassha,mpdjnqtkxj,oxulhzlzzk
0.1,986,cxgewmkxmo,zgqytysums,DOG,-376
icgczlvnuv,urjimghqax,0.2395,mdvjbhkjqb,0.298,iabigxwiyd
dOg,0.142,-0.3585,ufubgdhhdv,-618,cat
141,198,0.168,-0.2035,kphkksqltn,DOG
-0.403,0.107,-778,cqgifmqnuy,-414,gtyaqhaakt
870,-463,pdyslhllbe,0.329,185,-386
-331,52,owcgnwmdty,dog,scoldpiwim,CaT
bbwhaukbkp,-0.036,cAT,-592,562,-690
CaT,-322,-454,0.144,811,fgssqzczjt
DOG,cAT,Cat,0.328,ylmxsvxpnq,-0.2325
-0.076,Cat,cAt,-0.231,-0.179,dog
963,-0.1715,doG,dOG,hzmkysqyrn,nwqtyddamt
-276,znugyalfqm,yzbbqpvgbd,51,juocebzked,hbngkdibkc
-829,-402,-196,dgwqtvryol,0.373,0.4345
808,CAT,CAt,867,-0.1805,cat
rpgigninap,175,gjozncgyeg,xyqmlfhqjp,oatcruauws,dOg
lqkpewpmkx,grdmhwkrko,-0.345,cAT,mfljxwyymi,-520
667,pbwcxtkvhw,-732,0.0615,-0.2125,dOg
dOg,0.2565,DOg,-13,jwgrmpipiy,44
avtiiklccd,0.28,DOG,CaT,-0.0435,CaT
0.3465,-0.0745,dcgvdotnqu,-0.053,0.4915,binftotqgt
-855,-0.2305,doG,0.0,757,0.39
vcymwamhhd,dOG,681,-362,eilxxogjcn,CAT
czcdykmpel,-0.4285,-423,vvjtnevjrh,wumybfauhz,xlarfwlddq
aodxnggomm,sonmbpdlps,aowgttemsx,rqbupcekqj,-613,0.179
kiiqpqfcol,doG,tptuqbpjsd,oqtiuznyuo,849,0.274
cAT,efesgbnjso,Dog,uvusmsghsj,-0.118,-0.0355
hqjjdyxnyw,-459,npefoesddq,xofqdpberj,agniwchdcj,mywyqakxpg
0.124,naqqrdopha,0.2375,DOG,iektntpjji,dugbbbnlxd
DOg,swugiieymu,0.1295,qkwstjrorw,-0.25,-0.2055
0.0665,crpvmyylac,-787,-0.3595,237,-0.06
qefriwkznl,792,fskpqdgdlq,-729,oozonrhknf,0.2835
0.245,Dog,obcplqdmci,926,-506,-849
CaT,-449,-445,dog,rvcifakyfo,mqvjsmpwmv
0.475,tnnpqubyie,cAt,-0.3795,0.0605,-0.1415
DOG,alosigsdck,taagyqzwtg,ymedgqgilp,nebtlyemuo,-690
-0.1235,-679,DOg,rwfcujvcob,-0.083,fsagvphfjq
-0.38,dog,frdmcnkzjc,-131,CaT,whngmyhuvx
-0.32,seqhqnrxqk,DOg,-0.067,bqfmniyfya,rjmmrrrwom
0.318,gayixsdnaj,caT,0.128,0.3015,0.421
htyppxtwmm,qdbultfiik,0.164,0.23,cat,626
871,-684,jjtnykgbzm,-926,996,DOg
-0.0415,dlsfuhrcmj,61,-765,226,9
cbrurwrvmm,0.37,-0.064,464,-0.3435,0.314
tcivcpvizu,ekrldfjwco,0.3245,0.4215,DoG,rhawevgync
144,ztwtffkufl,Cat,-624,859,pgksygtnsx
tsgokpqseo,rywauxpfwc,DOg,potujfspgz,-0.06,0.3585
gtzzmzymuu,phliyppstq,ltupasrasf,262,0.285,hbysryhstb
upnvkzhzjw,0.348,-993,552,0.491,mzeghbdgua
wcubflnwqk,0.2405,gbrarebewv,jjhypwlehr,2,919
dog,wfpexhiyei,nqxldrnfng,0.2225,txfqtpxinf,doG
