jneelvlckj,PET,bzsqpzrhml,unnktcqgog,wliebfvqrh
uxdqjfmldr,doG,doG,-0.3275,-0.4465
-0.417,xjvehjtolh,-0.479,nohdtddyge,208
wmvoyjvumf,DOG,zjvmtuskpf,0.4145,rbnxkzyfgp
0.352,-780,569,dqxnnhnacq,-0.498
doG,DOg,0.4145,Cat,-0.203
0.423,fyoadsdnjl,-0.4555,0.1885,0.0305
ldusiedvfe,cat,lqlypstjgb,597,-431
cAT,cAt,105,-494,CAt
DOg,pvfkucoupo,kgiiqsptzh,444,908
-840,doG,bktkuvxniu,-0.314,-0.406
vxkaelprgr,dOG,0.314,85,blqnspyuwu
-0.496,Dog,rrydwppfxy,-0.1715,0.053
jmbbhvpjyd,cAT,CaT,0.215,jzgkfiuodu
-379,DOG,CaT,judlotirlw,-657
0.067,dog,-772,aqelwicagc,-938
760,cAT,0.421,DOg,mritodpqrp
0.4665,-0.297,801,0.4535,ddoewveoqq
fchudcqpwr,DOG,-962,-528,-0.346
cAt,-278,ljrkcwnotm,-0.299,-550
787,CAT,cAt,0.491,dOG
985,DoG,-855,-0.3005,-0.0905
-0.0575,evmpblldbc,-0.1675,Cat,-737
-907,DoG,-0.324,0.073,dog
0.466,dOg,-0.166,901,-581
-0.2505,-536,dOG,fmbjvseqpc,-305
-0.4955,DoG,-327,-0.006,gsepxgaeno
caT,Dog,-0.484,0.458,-0.2095
-203,DOG,pidgrvggcf,ynkpofujjr,uwkyoodchy
abshnocukg,0.0485,-82,0.301,-780
-0.039,dOG,lladjohimy,0.3255,-0.3705
zrcsufbych,CaT,0.158,-0.2615,803
CAT,-88,ywtbhlzqlt,-0.064,0.44
98,doG,377,dezzyemzbz,kqmrskqcbh
-0.374,DoG,0.0045,0.0935,0.3975
-497,125,302,-844,-0.383
0.4025,-0.282,gswnyusjav,yofcxxrjcg,-0.0745
scdedcdbje,dog,Dog,pzfaahqcrv,-853
hhwilaffbs,cAT,apgzqqxjac,0.12,lwbcgyxjkw
442,caT,0.2405,438,0.107
116,CAT,0.382,vvwuqsfvft,0.3375
275,CAT,-924,ftpmmujpbj,DoG
-0.204,-940,44,-0.0685,-29
CaT,CAt,pnyffeshgc,yzljtmwtmx,-0.0125
zstynobewx,cat,-0.17,hkvwdtaqfo,-771
CAT,dOg,vvknomhxrk,418,eilazlbect
lilwlssoqt,DOG,jhvsoxsfgg,-782,pfpqfhxemk
0.101,cAt,319,riapylcgya,-0.0195
Cat,Dog,-0.417,724,gzmsojvnwn
-0.2505,CaT,bdhbmzagxc,294,zbxdvnqnak
-914,dOg,382,0.455,CAT
-535,-0.2075,-0.2855,477,usopukpggh
fzzixvejff,frmblpoeow,cat,hlbnpplmpj,DOg
-159,DoG,0.208,wtjahbphiy,DOG
xelbegsgrk,doG,DoG,doG,-0.322
CAt,438,cAT,-960,-0.19
cat,CAt,0.0785,bhpabvgcnv,-0.128
igxsxcndsd,Dog,0.466,cat,0.0115
671,CAT,nlzhhrjegf,pvbxupgdjw,nktspdsjvy
-0.2145,vwsmcuaqdc,dog,mdvdtvdscn,fvuhvvxqom
ipkuecrkvy,-148,xupvtkeidd,caT,rwizudsyud
jtpjaikbsi,dOg,-412,-228,0.37
DOG,-198,CaT,-0.1215,408
0.0755,doG,xgkwmphuvx,-572,-444
caT,caT,-175,-0.1945,CAT
jmwfelopxq,cat,936,-185,lynjdhsdfv
-0.0005,CAT,-475,cat,jeqydfvlto
0.37,CAt,pxherautqb,jwelarpnxm,-0.307
