ekrftoxdec,ryunyooykk,ssseafhwpj,qsmrgcovap,zoeskxaqlx,gxpydaheyi,gvmrpmbqad
0.301,0.267,351,320,zwcemzxagk,eicqiqqyml,-166
-0.1585,0.1435,lubnlsaquc,Cat,0.39,eswgxykwhk,-803
354,qazjccuyiv,ochcrzqelb,avnojorsrf,rnvjdpgjoq,0.3485,567
-141,832,mxbfxysykp,-0.396,0.254,DOG,-0.4
wbqhhebnyq,-242,-365,-0.265,CAT,0.14,ibzdmgmiia
bmyvshgwvb,jtwhbcnejz,cAt,-0.22,0.0535,duoqhzxbeb,xcekstaxsf
0.1175,dyqaqpqppq,-412,-0.361,-310,zkzdcvcszp,-54
-954,0.3595,-521,forczlrger,-0.0715,qyrucovohk,ayjmeamggc
-0.1185,tkhikzuwti,-0.094,cat,828,-0.257,0.253
0.2065,vucgsppkvl,0.4535,-0.3225,dog,0.3105,597
caT,-0.131,0.387,-0.0215,-0.1275,-0.5,CAt
CaT,Cat,0.2415,-0.0125,-0.1825,-225,DoG
lctptbuwge,0.2755,Cat,-246,DoG,-0.145,-0.1365
caT,-0.049,DOG,-13,-737,-0.3155,-807
sunsonsrcp,59,svqheodool,690,558,CaT,sxmglzaoja
isgqbgwqud,vodoijmqpb,0.0505,-0.3035,398,caT,0.2775
actkneqist,epknlddgag,vylhaobuqk,DOg,gncsqzhseb,hlixsqlqlp,-0.2095
177,-621,-0.396,-362,-941,dOg,dog
caT,0.027,-0.125,kncczqrtux,seemqrnjpk,awkoqnyjug,-213
ecwydtvvtr,801,hnhnakzfeg,dog,0.466,-0.0305,198
-122,cAT,0.339,cqeiurimks,zdbskiatge,790,tmvlcxtxnk
0.3755,CaT,DoG,CAt,cat,gbjiwuuqjr,-569
sfrewtrlnc,eyjixfxiyx,-0.1455,-0.139,-0.1655,DOg,jzruuxyhse
doG,doG,dOG,0.47,-0.0575,vakyjlihrb,hdplzszyac
CAt,CAt,-0.3685,dOg,zvcgzuhurw,545,164
