mqimnbgvrg,PeT,pjhcejqrnb
-0.2395,CAT,0.3675
ijrznqzwqd,CaT,znrobfseyr
386,-0.1215,0.2615
DOG,cAt,-747
sfiuitxilb,CAT,gbilvmwruv
znelxxzfsx,caT,caT
-0.031,qllvauazsr,0.308
0.2475,0.102,CaT
intkfeumkt,DoG,ofxspcgxcr
0.3655,caT,0.1335
Dog,CAt,-599
0.1985,-543,-0.1805
DOg,CAT,-437
0.466,dOG,CAT
297,doG,46
yqogahhspd,-0.032,Dog
0.233,dog,baxrxnflgr
CAT,0.108,oduqwolpox
-127,Dog,292
811,dOg,emhyujdhey
tiqclawxpn,Cat,411
-0.486,CaT,849
CAt,Dog,igsndzqchy
-0.218,caT,mxzkzbhwne
0.355,969,dOG
CaT,doG,oiemkvwyzm
CAt,DoG,nwwbdmjslx
33,-0.135,tnypzijpog
40,313,-228
0.3435,0.42,0.0955
oiwfzorigm,1,-0.1415
ituboqyfby,taifvkdrkf,437
qufbbemtef,CaT,488
-0.291,jywxqtnncu,0.3815
yzqtaavpdo,cAt,0.4415
0.3,cAt,yxidxahwdc
DOG,eyvdcifbkk,gwxxjprbdc
ckreqrgyis,0.0645,836
-173,535,646
0.2045,dog,cgqoodpwvn
dOg,DOG,oiszbsatbk
DOg,729,985
0.356,-0.01,fazbqevhxz
630,bebjywblct,mwjrwwbyad
0.2175,DoG,-25
plbvrgwdas,dOG,dog
-228,-0.3235,730
327,DoG,0.1435
-206,-524,676
266,917,vxqxlvvrzm
vvoxwkltxn,615,rnisfmtzvu
914,cAT,dog
CAT,dOG,765
dOg,dog,913
-208,cAt,qvwfdapgbd
gcywrafwhe,0.043,glxiujkkxf
-116,DOG,Dog
-0.062,cat,ilbbutxzvp
212,DoG,-0.472
-810,CaT,pzjufzmohg
819,-551,0.128
0.442,Dog,-0.4625
Cat,DoG,-741
-0.4075,-0.3045,0.3375
DOG,CaT,DOG
-95,CAT,-0.108
-778,cAt,-0.3635
nzpzwnvnrc,Dog,0.0465
bbumhctxso,-0.1025,-0.099
uiuanymkym,CAt,-242
vlduutbwsy,-628,-0.4295
xnwdcnzvfo,640,kbjnxhvpyl
aafuulucug,379,97
-122,cAT,-60
604,0.074,fvzuaqtuui
nwyhsyzmla,DOG,cemsrpzbyo
-636,211,rmlrqaypop
-791,CaT,-0.189
0.4715,wfydpkebxu,twvvzutrbt
0.4855,-657,-0.4985
-930,cat,0.443
-0.3745,0.4055,Dog
qmwbbmjmbo,cAt,-0.1425
iynilxclsq,dOG,Dog
