ntgykyskel,xdskawimrf,lwfycpxvpe,vvlhlkfnhe,htqxtkfrgn
0.4465,-58,amntbknquo,0.4335,0.191
dog,nolwbpwmqy,pfvkmxdiln,-867,-0.4015
-0.495,977,-0.496,-0.379,526
-0.4275,-754,dOg,769,-340
malddsiktl,841,zzelpkzslr,xbpnvmltlw,-181
iqcvrojmot,ntvenciepa,dOG,962,oscptfxwah
cAt,dog,cAT,-0.211,-0.025
dOg,-0.461,dOg,308,-45
-580,lfzrpgyjym,-316,fvtipwnfwe,sjdlmbsqkh
gofnjlrswm,vnkwvvggmt,0.092,0.05,ztvbqwcvcr
Dog,-146,641,689,-0.052
opfmrlbqzg,CAt,-0.211,jmagkvqkhj,CaT
egxewobsih,sjpedgmsjq,CAT,-0.436,okgqybtdzr
-0.4385,tfimpqktkt,-442,xefnyurbwd,-0.296
mwqxcsglth,tnvlrvtfpb,-360,CAT,-962
dOG,doG,dmnfpeigcy,CAt,CAT
-617,0.177,8,dOg,dOG
508,402,kfuntuqdtr,287,-75
svdhcqlhyi,-0.1785,Cat,821,dog
qwopdzsujk,doG,757,Dog,-875
pztapcurnh,qdppxddmqp,-739,halwemsksz,0.0685
339,921,flkirpplox,78,-486
-0.091,527,-0.134,cat,-0.088
0.3825,ufjbcivonr,-0.205,-918,sunzejxsra
-741,dOg,eqcobtauym,pwnzeyqwdb,0.443
-812,onkjepxwtd,-313,0.005,0.498
662,-940,-0.4825,-0.2845,-0.152
-0.2455,419,-0.331,0.362,bbyswjsacj
rcpftxpqct,rvuxswxgie,880,-0.273,cat
-888,486,-0.183,-0.2065,-750
unemljchpy,-0.006,jufovhlsyi,-0.216,0.0255
pflierivlp,DOg,CAT,egzqdjgumm,249
txzgjlzwgr,-0.168,zkzldanjxt,nrciuavbca,0.484
rnglotxkte,btckvuvjfx,807,0.4225,-0.282
509,aqdagncfif,-0.0545,0.314,riskwbwxaq
dOg,uktxpjymco,0.032,vtehwuywxx,zbbkeflofb
cAt,yjlwmmfumv,-798,dOG,-0.135
jvryxxruym,-117,0.2485,CAt,-0.26
cat,kwnatzzenh,-0.034,-0.4425,-877
gpyklsvuys,0.382,cciehinhca,-405,razxseevxu
qzyrucqdzm,-548,urgenxgtyt,-16,sgfoidrxok
-420,-201,0.41,971,jnveazxlme
-727,DOg,102,722,rnaphebesn
brmszzdpoj,795,-0.0745,-951,lypavbtysh
0.1825,teqamflizi,0.4945,-0.3375,-754
oisewdwtzt,-324,rtwthfrjop,-0.2155,axlrnuyvik
qqavqowslv,0.0195,DOG,cat,ojnwxjuswv
0.239,0.06,fdrktltgoi,-914,0.101
-3,DoG,-0.1205,-0.221,-0.2035
-0.493,Dog,-862,0.235,CAT
bcnbhhgvqv,kuibnpsywg,wihtimcwin,0.0345,CAT
-0.396,-863,-0.293,cgjsjxssil,cat
jhnfexzrfk,0.457,673,-962,956
-646,DOG,0.3905,-0.234,-0.2235
0.408,911,-0.0615,pmeqjlkath,-0.006
kmaadupblp,qctbnzdwur,0.317,374,kcwrexwkbv
160,0.0195,ahlocafijs,0.0,0.181
-0.0435,dOg,-289,dijkqjnzvd,ddkhfcikal
bdrdfegiyq,-0.114,gqrtjkefrx,261,sathhklmcn
-395,rwxrvyvtks,dog,yqgxnowuds,0.2435
lutqvobtls,762,dobksdbdgg,-897,cAt
-0.3695,470,zrvcyrgjie,kuhigoblxk,DOg
DoG,-128,641,dog,0.1245
-805,-965,cAt,ngeynagzif,0.4965
syxjzcpchk,Dog,cat,0.1185,-156
0.0215,cAT,-737,-0.4145,593
CAT,cAT,eigwkrbubt,Dog,ovlbigbmcc
cAt,xpthfwmbag,524,-122,meoqfkewcn
312,zdwwzjoykr,nijjknhnqu,0.188,gmeeghjdcp
frnwqtqgrq,uaahqmzpwe,-0.477,126,-266
dOG,CAt,0.0135,dOG,dog
CAt,575,Cat,-12,CAt
cAt,-243,-970,705,-863
-36,-624,mxhcjuictw,pwefnsdfqa,-0.163
-701,dOg,-591,caT,161
cbwwhwqlko,Cat,gunlguqmrd,-926,eyywcikvqv
696,hwtmttpfdj,339,-292,-0.209
jdulvqjqpo,ogosunindk,-0.2595,-464,-171
874,-469,-846,fttwcehszh,0.4635
-458,516,-263,CAT,-662
79,hspyeibkfl,gctbdjaqfh,-74,0.0895
lrxhaoxuul,0.2605,dOG,DoG,0.308
-0.084,0.476,ncbfuwlfcm,tplamkwcdb,cat
763,-99,700,dOg,482
uwloxyboph,-0.4585,yynxfyjnlh,0.012,zklceuawmg
439,wuufykscjn,ncobrjpmqo,jfnrfewqdr,0.127
-0.0195,jzkyqvsatz,919,820,hfxazijcvz
-0.1285,157,mhjeolhgbl,-222,CAt
-0.196,0.3325,DoG,0.2215,0.078
-27,0.3955,-0.213,0.324,0.2
CAt,293,-0.4545,-0.41,-136
-131,-54,tnpstblozi,ooufmphwvh,0.368
-396,rvgpfbrpcz,0.203,axdxjbgilc,Dog
ififpchdck,pqbtewtluv,-0.466,wcfssibplx,cat
caT,0.1555,DOG,cat,muwknslyyi
716,-770,-8,-907,tiaiyxrpnk
36,0.089,-432,cat,0.302
0.4585,lehktciwtl,-57,-0.333,552
0.4155,0.1295,-0.0605,lbdmwucauc,0.398
417,Cat,ufpidcwprq,-0.2535,nyjovyaolq
