bmlpgfzyaf,pzsoylfagc,cdzhjcwron,gwylseozmb
dog,-0.371,xczeaisxdi,-0.3355
-522,963,64,-0.113
0.353,CAt,-447,222
dtdalamkwi,-305,-592,fwfqwnrmhy
szyunxmxkg,uwvmjgpmwh,665,290
311,-5,nxkpupvxcj,senmliczng
-0.406,807,956,0.024
-0.1205,pgwivljdhw,0.1605,krikwlqxcv
-194,ndtnefgvvt,-643,dOg
0.336,ouqtvyyvqy,psyoielyla,461
0.36,171,230,ibiavhyrct
179,dOG,-210,960
24,btlzcxfeif,vcksrqgovb,0.0545
tuppzilbbp,-283,ihliqxchct,xxwcwfbjzj
691,qpnmebafyk,dqhobqjkzr,549
0.0575,-177,732,912
ivgxgnxvhc,dog,573,pgkyafkwpq
-230,223,-0.2255,231
cAT,quseluqsjs,cat,dOg
0.093,-0.4735,119,-387
0.4385,153,-586,garuoupbxn
375,erqfzyckje,Cat,-0.032
tfvuhtlmpp,-894,-999,sszmzsqjgf
975,lrmaaiqpic,-265,876
bmwuanybtw,-326,akfcdsbrpg,quwinjmknd
xrtgusvbao,503,0.163,0.094
caT,0.164,906,742
279,0.257,-0.008,627
qepsgzsqeb,-938,0.104,-615
skddgdrarn,-0.399,652,0.3175
CAT,909,-412,811
caT,0.3045,0.252,CAT
dOg,-686,ziodzaywur,Cat
caT,-0.4295,ahptvwekuk,-235
985,0.427,-0.2625,-946
-0.448,-0.1335,fsrmyucsti,555
-12,0.2855,nqtedgziuu,0.2255
338,CaT,-920,zdngfxbmly
-0.433,0.288,fqszidzvlp,-0.255
-0.473,0.287,731,-0.299
0.05,zbgyskctfu,DOG,403
-281,0.4905,-0.4035,849
-0.0215,rmxzbfstfy,-144,rrgqtrqlrf
qwlqrlxefk,vitgojqfco,-0.3085,298
-0.145,0.186,-874,-138
-0.347,qppgyoazex,0.1445,CaT
DOg,Dog,djxcrwtfdt,389
ainshyxfvm,nhwltmxgqd,xwdbcamigv,0.073
0.139,-739,sjpudksrmp,764
jviwnqozij,dhzykvzidb,pwvdaqygsz,-847
0.4945,-761,399,-255
efiuvcvlmg,671,-0.072,-0.312
0.319,0.412,447,0.0345
-0.2355,951,CaT,uaaxvrgomz
dOg,-531,-0.4855,-0.4
CAT,-0.29,DOG,-37
637,CaT,txzqewafdc,Dog
pylnhdxpsi,ckmpatxxxx,cat,0.25
qmzmuwkfdg,-0.2925,pqxtsgmtvj,681
-829,DOG,DoG,arypcubdyg
932,espsfqwjhv,-0.278,-0.211
-0.4465,-0.1735,wojajfattk,-337
312,0.0055,oxmnmytkxu,fguyhigwll
bzztqkxodl,msiaddotnl,-944,cvwbdptutf
-910,ockjlwqcef,wfnvxqhili,esshzjufqi
pzqptocdnh,Dog,uoqenkfffj,lrxrjfkzqp
456,61,ydwqdffcua,-0.0965
-0.022,-0.066,zlnuayhcba,-0.3255
DOg,947,DOG,caT
gqyxciuwzn,rvlntzeuvs,CaT,wxkszwpwkm
-0.1545,0.396,681,-520
yhvsfmxotk,odrbdrcrnr,dwsmyejcpg,-0.1265
qpcwokkxgz,-0.388,0.1805,956
-886,0.392,-0.1755,479
-130,Cat,-0.476,orlusmrpbr
-0.4295,661,hjcvpjwxch,emcebnbfdv
Cat,cat,478,cat
DOg,-0.417,DOg,cAT
562,yaczdawgcf,0.1195,472
DOG,csptueoucm,DoG,dOg
jdbslgyoxq,ppuzzpncet,965,mokqbcqgea
0.4965,dOG,-549,-0.3345
-628,vseumxyxxn,CAt,fypjuwbbzd
hnnfaaqrzo,0.199,weylwrtbie,443
crmqqobviw,138,cqmeslzyae,0.437
dOg,0.444,-0.0785,hybtervijv
-700,0.4245,0.172,-0.023
-993,802,0.4635,-0.061
Cat,txlfhaztaf,ecgztpkgwi,354
190,ptfygcjwlq,caT,ctqirpfxih
btgdlbpuqt,cAt,604,-735
crxifqhemi,wclqmfugsg,-0.269,0.175
-205,0.2175,533,hkmuqhowvl
caT,sxtxftsqyp,-790,dzoucrutia
-26,-0.415,-0.326,0.3585
-928,Cat,raggjtsujw,zomfrjpckz
-0.213,-0.462,-600,dOg
0.0035,-0.121,pkjvdacmxj,cAt
0.287,dOG,0.286,DOG
