oclvoaewzh,sswwhyzrjc,qbxoklauem,gicuizkana,ouyacjffsi
-139,CAT,-0.2285,Cat,-355
-0.148,-0.155,-763,0.261,0.486
0.4645,ohviercjfx,CAt,DOg,-0.463
-857,dog,Cat,zarjprpjld,nxazjkifzc
gluimutcgq,chrpwqqjlj,595,709,-0.4795
-0.326,rsrjquhjtb,-0.3725,-675,-374
-0.1855,ffjxoehhas,hdyzbrhxgk,0.183,-0.14
DoG,rppniswdll,0.0855,94,omtdgdptwg
0.329,cat,0.352,caT,mfddialqsu
39,-17,-662,656,-575
jiccyijqlo,DOG,caT,dog,cAT
Cat,0.339,0.1345,-371,cowtehcgwv
573,0.216,jdlsdculuf,ngcjclqvrc,qymmibavnu
-0.4525,luzwslbqmg,dOG,0.249,-0.16
wjkkmywtjb,0.102,654,0.4455,-198
-888,0.1205,czltwpgrab,iicrsmxaxm,-28
cAt,0.0095,fjaoizurjz,-0.4985,-913
hhywyiupum,0.2635,-309,69,0.0795
dog,liuimgymzp,knpouezhmr,cmpmxoknws,-0.0195
jaqrbxmgse,784,0.074,dOg,-0.1895
-340,qqqtdswojz,-0.2255,-727,0.316
-616,0.1135,CaT,opwoiorikc,-0.2125
zjbnwpxpbj,Dog,0.336,-0.1825,Dog
csvrvsztho,dvbgtgibpt,-929,-436,-0.407
-410,-165,CAT,dOG,yteqlrgwwl
0.3095,oyuuqavnet,-434,-0.054,-209
0.133,tkudeprvey,0.1255,uzfjptmhiu,-0.308
-0.4025,-37,fejdqwgkns,CAT,qimlhrcwmr
856,xfdrmezxts,-168,-0.3105,0.247
0.081,0.3715,-30,wsvsgukslx,-0.412
0.0715,0.0075,120,caT,bxpcdtkxfh
-0.107,-247,-305,CaT,DOG
-195,-0.052,lwuowbofly,0.025,-0.3835
oiiwjjuezb,fbdwzcqoay,dOg,gdeekrvhji,0.3675
-0.045,hhtespkgzn,-759,-0.14,0.027
0.3545,qxsttnzlbh,dOG,hxmkkfvdfk,Cat
iuphgdhbzd,-0.096,-0.3885,CaT,clhkvfvyoq
0.0815,dOg,DOG,-0.0335,321
dog,Cat,kxbghuaioh,cAt,-0.253
-0.342,763,uingariase,0.158,0.305
Cat,xohqntwkbc,0.2375,doG,gbnqooubhe
doG,ltdmmwfvli,-0.387,doG,-760
0.4795,pctqtgjhpd,jwnritytdz,-0.25,-0.2005
-0.281,-0.31,DoG,kzetxictou,-895
-289,dog,zgxyiwhfmq,mepoctdape,0.4085
ckzwegjdrm,-0.4665,188,rytqwromgj,794
-0.128,0.085,aibslktmqf,0.397,czbmszhenf
oohbsjihor,0.4035,qwpsvumyus,alizdsdmjn,-51
384,cAt,kznptaofri,-0.197,lyegbvkvwg
tgwtxtjlob,cAt,-0.2915,-0.487,hvluonsgpt
-472,-376,0.1065,0.21,yqcddrqyrl
hctudhufgx,0.004,cat,DoG,-0.1635
qkscwldqow,0.4305,-264,-359,325
710,-167,cAt,-0.3415,0.1655
-0.021,fgqbgufyfs,82,-342,dxjaxeodeb
0.3755,CAT,cAT,-600,769
-0.2265,ftglezljhn,puieuguxpi,fsyrioolyp,-891
-0.1205,kkvxgoqdkp,909,-0.485,qkolxaphkp
0.443,pwpmotutxy,DOg,247,aeasmwcoon
-180,-728,DOg,-58,cat
hroalrdbyk,-0.1035,tfkebcivql,skgogptbyd,clnjngilkj
euxluqsanm,fblmwhyjmw,ayzphlnhvs,977,lxjkrcrqrl
62,xncuvdwlyz,khdekechnp,rvvwjozbmi,-744
0.473,dhesnpqtuv,-58,ourakzfjry,-0.1805
zzlctyscwt,-309,-0.3,nbimktttoc,ljnthypjgq
-528,-434,0.199,niqfauxkwn,doG
710,gxwilxadni,dOg,gfhxyhuuyp,69
zxakusjwgr,qbbhwlrdma,836,cat,0.2485
0.1745,pxiffzmqvz,-0.427,0.117,klmqpcdezm
ipgekqsxuw,rgamyswgre,CAT,0.031,440
doG,svosrwdqjp,-0.0615,451,972
Dog,0.238,dOg,-980,gvyaohewmx
755,911,347,285,dOG
ifxmszikxq,gqvfqrtxxp,upzbhysudr,-819,909
mszatlbajt,107,DoG,288,-0.1385
570,-210,0.095,-0.333,CaT
djguohrsmf,qasnttlvem,-0.114,zzzvdaqfol,0.444
-0.1905,cat,cAT,-0.342,0.039
