kfrxxnwdvk,pEt,pvikizvpuq,kibzkvhkaw
cxwzazuaqx,CAT,-0.374,unoserbjns
-978,Cat,38,-724
ixwywhjckw,-0.1045,dblfmkyzfz,0.1605
-0.071,CAt,-0.394,gtuxzrazkv
0.2565,Dog,-0.021,0.3135
-936,-0.1165,withnyunff,0.058
bhjttesuho,90,caT,760
0.3035,cAT,0.422,0.2485
605,109,DOg,Cat
DOg,caT,0.146,DOg
517,cAt,564,povjwswjji
tfomexdvpi,caT,0.0165,xywvpsqitj
-119,CAT,sixdozosbn,-56
ycbpcvaugg,cAT,efpbsasqty,cAt
cAT,0.0295,rkeierclrh,0.048
0.47,dOG,679,ldmhugyxbu
zmuopjwrnn,-0.3225,DoG,39
0.311,doG,0.218,0.202
-344,CaT,0.4425,jzrdjgrugp
0.05,cAt,0.117,wmacmgpbaj
adapzaiscf,caT,618,-0.0025
mrnrahwrjf,0.3385,392,Dog
-85,DOG,aeqgramwlm,ytaayrnggk
299,CAt,-737,626
636,DOG,0.3985,dOG
DOG,caT,ypgzikvnfd,dhhlcgvodc
215,lvugjgviop,0.2075,0.09
430,DOg,-294,538
jzmbfwaozo,Cat,456,-654
gejsvziuby,dog,-0.044,adwinflsae
mdpzwlyqtu,dOg,0.0745,CAT
0.015,-136,swyqhcntwn,0.183
dog,caT,DoG,sleqnicxjp
rjjgxhukbs,cat,ztmdhztldx,-828
cat,dog,-0.1245,-0.088
338,caT,algbfbbbxp,jxypysrqst
dOg,DOG,DOg,DOG
omvcrlgaqp,DOG,280,-343
976,DoG,-0.284,457
661,dOG,-894,-0.03
-0.4625,-0.3545,-0.1555,kvinshklhr
hiknynabyx,Dog,-680,264
-0.2615,567,cAT,21
-0.3355,dOg,lglosdtwgh,312
0.214,qjdluoxzqa,-435,cat
sfcgnemnpm,dog,lvyljjwqyc,-473
-0.132,nglhnvmyqi,kuvcuqjbfr,cAt
-0.3135,CAt,910,fhgaceysrh
nudesfkeyj,cAT,340,dog
-0.2415,-471,-0.218,-0.4655
0.0405,dOG,cat,0.103
lgkybynbyb,caT,idliootdro,-0.332
cat,CAt,DOg,-0.0005
0.0015,87,-642,0.1735
ttwdddvmgn,0.3895,-310,Cat
cat,rigzvygmfw,-0.048,0.183
-0.0375,DOg,-638,DOG
0.3785,747,-78,871
qgwjphjhsc,dOG,0.184,0.121
0.2775,cAT,tkpmxjojuv,hcbnghcnvr
caT,caT,0.112,0.311
-0.0645,kcdacclibh,-0.3855,ecddkytbof
73,-862,0.3755,CAT
-515,-859,tlzprrjdof,-0.2815
DOG,CaT,nljnaolnbu,-0.319
0.0205,CAt,-0.1215,dqkqnhnrdn
471,caT,-742,0.3215
-373,-0.116,kmuhtjxbbx,521
0.4265,dog,falnevcpgu,zzkepywjlq
uujsuhfuvo,DOG,0.193,-899
Cat,dOg,95,sanjsoemrn
npaxxwfvqq,DOG,-589,-769
doG,CAT,0.0155,685
qkrlbjezxd,cAT,-0.1455,24
-0.4825,Dog,468,864
-0.174,encuxagovd,CAT,0.405
CAT,dog,uocamlzjeo,-0.3465
-0.416,CAT,ftgvvigqgg,qewjsmsvdp
opsjjjdhig,dOg,-0.2745,265
-0.2585,cat,846,dog
kxzvcdamhk,DoG,-0.0585,592
bttovvatpe,-0.146,CAt,xveiowmgtl
scachrjixt,DOG,eymajuaemg,0.279
900,Dog,363,DoG
ftlnbwikrq,CAT,dog,CAT
-0.0415,DOg,lwniuykwio,0.4255
dOg,cAT,dzrkfybesp,0.017
0.146,DOG,hlocumeeyy,-0.235
DoG,cat,-230,-0.255
CAt,27,-352,-739
641,dOG,zygjvsdzra,Dog
-0.381,dog,DoG,adlciarinq
gukybrcaay,0.066,-0.2235,-906
dog,dOG,282,466
caT,dOg,-0.3645,93
doG,doG,241,CAT
cat,vmmefxnjuw,evvfhhcfwn,cat
CAT,DOg,0.326,cAT
oogtuuryvk,CAt,muizrwhioi,dOG
DOg,dOg,xejrktetoc,cat
