aswsxgaqse,tkfqxfrkhj,eyvtwfzikm,pEt
hzkqidqrzm,yyigoifdwx,ejljvvtdvg,dog
936,-285,qazztpmuay,doG
0.102,jcwrzdkern,882,cat
531,ucalpfaeau,puofbpooja,dOG
-709,dog,-28,0.347
btauiwlvbp,doG,kllaalbexo,dog
DoG,spemfphluy,0.423,468
dog,-0.0715,253,cat
cAT,CaT,199,dOg
DoG,dOG,-924,0.081
DoG,doG,938,Cat
DOg,CAt,hsslfqvpyr,-0.342
lfnnfuzxax,qjbzqtkgys,wqdhmrxwkw,CAt
Dog,caT,caT,dOg
-0.4,CaT,okqriakttp,cAt
zaiugsbztb,bkaqpovjqy,0.2125,caT
dejvzwrsbh,-36,560,DoG
-468,104,nwgukbfldq,cAT
-0.361,-0.3295,cAt,Cat
-434,357,-816,dog
-0.179,-0.3405,Cat,dOg
808,-920,idcvseznoz,cat
-183,ndppijrafq,-0.1225,DOG
0.203,-876,-0.1405,0.1035
DOg,0.3485,0.359,cAt
DOg,343,dog,DOG
glpcvvyfcw,861,0.294,DOG
jejqdigtcf,nizdyksagt,-0.379,Cat
adadwydrgt,yqwxvwleea,0.1035,cAt
ykpvmffwku,hextluoerh,cAT,caT
-781,znotwdnhyu,CAT,doG
DOG,-374,697,CAT
dog,xerjnunmds,zvbtoldrlr,DoG
0.499,rsmlbjvtjg,-839,CAt
DOG,489,DOG,dOG
