weyswwuuxv,osnqfnvxvl,tmimjryapm,uphfhtzxzj,dyqzpglsat,pcxaqnkyzc,cnwungzoyk
-0.0955,-613,0.415,ebmyxfjdfe,-728,-599,-0.444
-465,253,CaT,vqevgbdmfy,-0.1145,-0.455,-159
Dog,kwuenhpnmu,doG,ntnsvvchlv,hccvpkytkm,895,euerowbktk
0.2425,yotthqqlmt,dOG,-223,0.2535,744,ivzigigadl
0.428,0.285,-0.0945,cAt,zhcgbksdpm,-0.1425,cat
zdyzqttuwv,748,229,0.303,chqfabbfew,-781,0.21
ldwyriufyp,DOG,xeekwxuyyl,36,-0.1155,gbervyqhsz,0.316
0.4585,-840,ankrujiewl,-0.102,qjypiyyhfl,CAT,493
DOG,decvlfzobz,0.3915,dshfixdirx,895,0.2575,-23
jevoslvmmi,cAt,-71,CAt,-791,sdalhzuhpo,CAT
143,dog,asuxmvgddf,twtrlwmmqh,953,0.295,-275
693,noxlpeftnl,qoiydmwsef,461,yyqvblfjst,iqextrddzg,qzvtwrnzhd
0.4055,kjamhmnzfl,551,0.3345,ndhinuffbn,doG,332
0.1685,0.343,0.1235,ulqlvayxrr,-0.402,-430,qlpdgaqzdi
29,0.073,qjbylgfgbe,mzfbwwpfeu,0.2695,-0.0385,-0.264
dog,DOg,teylhpckko,946,0.147,0.423,zvpoqhiqcs
doktacajwx,pgtaouwiif,623,gtbvopagvy,CaT,-18,dOg
rgggcvevqt,949,-806,-950,-0.0805,331,-0.3645
uedyzunwko,Dog,-850,-0.4925,195,0.408,DoG
-0.032,-381,ebzpkinfbz,-0.197,cAt,nvhvdavvez,0.266
-992,582,DOg,-0.266,Dog,102,0.128
raqomtzbon,-507,DoG,oznnvwglkr,820,mzuelesfbg,hastuaxgnk
DOG,-750,dog,iewttjsjkz,caT,caT,uolcbqvqwx
0.3335,-332,tjsmhudubu,gydrxvuoiz,0.2885,dOG,0.102
-958,-404,wyvozvlqay,dOg,ndjjxwpejo,520,0.4845
881,hhfxpjjvqi,-605,fxnxxuadug,niswlayhte,-126,0.2175
cAT,doG,687,caT,-0.265,DOG,dvcafltmhk
120,-0.4435,plrbematmr,xjitghisku,-0.418,khetfznoib,-235
0.1315,CAT,csafvkfjzp,cmzeejildn,jjlvzschzh,mjdjepyneg,cjyrvazwwx
-138,ngmlseouid,815,48,mqdvglzydj,-141,0.178
gnzcnisvne,mobhwyxwkc,-0.132,351,wohylqnkha,717,-0.1995
zuwvnajimn,-0.4485,0.4465,vlreqkogbq,-12,0.214,lvwjvpaxgn
cAT,462,cAT,iwyeyxsmfi,dmngkflsud,nxtwhxqqlv,-0.185
uhaxhvymoj,ifgdftazgg,0.0375,chuuwxtxpe,rxkjnznuda,wyfnvkfobo,DoG
dOG,199,0.3885,zxanbfyniy,dOG,435,0.3775
-0.3695,995,-0.169,560,Dog,813,Cat
fvfhdbxybw,0.1535,-955,Cat,dOg,inxxmfbtyo,cclmgeyirm
efxejnegzi,242,xuoxwwuern,0.256,171,cAT,0.1795
-145,heyakwgust,dog,0.162,740,0.15,czaofvklze
kanhgqecke,-757,Dog,-155,0.1305,-4,-0.027
dog,caT,163,-0.107,0.0615,CAt,aqemayblzn
-0.027,mqqtgttgih,0.0435,0.2335,dvokdbyypd,cAT,0.3355
Cat,cAt,Cat,zbprigwahk,0.026,-379,utuorptpke
glzdqitoxf,ktdqgaqlhz,-429,-0.0765,cAt,80,ggsoylynpn
dog,275,CaT,152,Cat,-886,-735
-91,oajgijwlxn,ahdalhjwey,ncikopdiqj,-0.247,egfpfyqhdz,-245
nltlgavmxw,-471,0.1375,vrekndrehr,wmlzelrlst,-228,138
-604,-968,upnesxhgtc,0.2705,0.151,bspiykcuyv,trcqpchips
CaT,xucqyaabwu,-982,rcxgostkai,-0.271,yhabkzctkb,-581
CAt,zhwghfbqnx,-766,gcdoujuqaw,-930,134,DOG
xzmcrpxvel,lnkghvqodk,bxwhjvnjji,516,aohawdxxaq,-801,-345
-429,ecmhurtrxx,-368,jmddluisgi,Cat,-11,-0.0115
0.0155,dog,DOG,lkwhmtnqoa,rccoqonmxr,912,-0.5
0.1345,DOG,-435,-0.0195,-0.0875,212,-832
euhsryikmn,234,-442,DOg,dOG,fsbmsilpph,0.058
mwtoskhlkh,-0.383,-0.143,410,tnmhbpteee,-359,cgirxqccqm
cAT,-360,owdfajmvsy,0.0525,cAT,bwwrdufqed,-0.012
mivboxwbgk,CaT,-956,-209,CAT,cAt,595
dog,-532,afbvhawssq,-669,152,0.1685,-178
jreaogyhcd,0.3515,-751,529,202,0.293,fiiklyrzqx
-0.014,311,veksbltexu,ihgtbajokc,biatpzmbuz,-536,-437
618,gvmhulzgeh,dOg,rvoiaisqvf,lklwaxblkh,oyipaqgqti,-13
