PEt,irrnibfucr,bzgqefsatg
dOg,Dog,-0.066
DOg,83,cat
dog,0.142,eesrkdhxup
cAt,-961,iktxackpmf
dog,lluuhvupyp,fsfunlmtnz
0.257,-0.2315,Dog
dOG,ctmibbfgte,momqofoixs
oclfbaqhlv,-0.2975,wammmvwjln
DoG,341,vtzbtyndel
DOg,doG,0.384
CAt,wrrsfpyccv,Cat
dog,381,0.4585
-0.426,551,pzkfebxbwd
caT,cat,-824
Cat,-957,378
CAT,szgpqyzgdu,0.011
dog,-306,Cat
dOg,78,0.0975
nuvzwmtdks,276,nwmbuqzijf
-0.374,749,0.474
-0.338,CAT,-328
dOG,130,izcdyxvqjw
doG,wauanosvwy,cAt
DOG,dog,-0.4365
0.176,splldyqaex,CAt
dog,-696,300
doG,cnwngqjnxt,845
CAT,776,maotvrexxg
cAt,63,doG
qnrpyudzab,DOg,CAT
442,tsoxaccfns,265
-305,doG,0.36
caT,-683,wmqnicqkfa
DoG,-0.1525,CAT
DOG,0.498,cat
cat,0.1895,20
cat,fyyophgevd,0.3765
doG,dbyapomfep,dOg
vodlustagj,wdylmabwvk,0.305
Cat,-974,nwdjzgouyi
DOG,0.4315,DOG
0.0795,676,-70
-578,-0.0725,-438
bqdjkpogjq,qeagtxhdhk,715
yxlryxllmr,-403,dOg
caT,caT,dvbnpkixwi
0.3195,-924,-0.0755
caT,-513,lqoohuvgmf
DOG,doG,-0.069
cat,ueeupxvsrr,DOG
dOg,-79,Dog
dog,839,CAT
tlchfsznci,0.427,CAt
DoG,0.023,-880
710,675,-183
dOg,0.059,tiurpwmlhg
CAT,tkrvoswcgl,-31
dbnrrrxxjs,0.0075,664
DoG,omlhholdri,309
441,tbrakcydad,cqnegplmzo
caT,179,0.0295
cAT,DOg,-0.163
doG,0.338,jitvwqvjbj
lygkqwhsak,dOG,15
DoG,qrbipwsnhs,0.3145
cat,ztwtgdnziy,-477
CAt,cAT,-0.429
cAT,-0.48,kmnyvhsauq
-0.0475,dOg,22
Cat,ojjtjyfhrn,-0.243
cAT,cuzfchrbuz,0.1365
doG,516,-53
0.286,-0.3025,859
cat,cat,209
CAT,eqwfpavela,caT
DOG,-0.0995,kytuohwdpv
CAt,-0.1715,frdjmygiys
doG,CaT,DoG
dOg,-0.359,757
dOG,yilwgrhwto,0.3315
wgdxsbikgz,ioptnlvhpw,DOG
DoG,0.4995,-733
CaT,kkzhwuzgfk,257
