lpzsptthfm,wzhbygkdtw,hkpbdofzik,ehrdcqflri,esfutguztt,xysdxpkbdq,sflfaupwgv
dog,338,DoG,963,qnepoyuhzu,0.4335,qmjaauvevb
-536,-0.4255,olekhfppqi,-81,-276,Dog,-422
kfxmzarilw,0.2195,-897,animymahvq,764,0.262,cAT
0.0335,kbisumgfwn,ifiwrhycqw,dOg,fpndwulgod,rvwxihyjck,bbdkyfguim
-982,tblgngpqiu,-0.076,caT,Dog,926,884
0.3945,hduurdnret,0.3585,0.329,-0.222,-0.145,nkgvtjagmp
dog,gzvpeghvrd,-515,dOG,klarooljub,371,0.055
ffbirdtucv,0.4465,0.2525,950,wvzbxctyaw,0.4075,-0.157
0.314,Cat,ovamcnavvn,0.2915,-370,709,cAt
fdsjvfbppp,-0.15,0.2065,895,798,-0.004,728
291,651,0.44,zwibawryql,wnhskdvnnc,0.204,-842
xnnloljxjb,-0.0265,CaT,DOg,qolqplaisy,0.304,736
200,dog,yuosbaugnw,jlzzcfldev,-0.012,rpnspiaczw,CAT
0.182,dog,0.156,525,DoG,bbeovulhzq,-0.2225
DOg,-0.429,-0.059,ccxtteuzpi,lnbltbqqvd,-422,-0.0775
-0.2705,CAt,-0.022,-975,cat,0.0265,mrvyjcmhlu
-213,0.2995,0.278,-276,742,773,720
0.117,-882,931,-312,kxxwgfkuhr,uorasepnaf,-576
vwhtgupcjs,DoG,vfmollppby,502,uuwqqqqasu,-0.467,deqiqwnmrq
-0.3715,114,0.457,744,0.037,DoG,-0.4825
-578,-227,bddaotjmun,-766,0.437,rafgbyprpn,-252
-624,724,-0.0965,-993,eqcnzaqxnr,-244,cAt
324,-0.197,CaT,0.0225,Cat,DOG,-0.4205
doG,nrnmrwcoph,-127,-0.2145,990,wkacogtdxv,0.0365
0.1575,dhttujlvuj,DOg,533,964,719,CAT
wnubdfybpd,0.144,273,0.0545,zitrdzsufb,skhoozcuon,ztgjptiffl
47,csxrnzasbm,-493,gvpywveknm,iluvlbjvrr,roowxzgllf,919
-0.3985,rkjqujeqkt,nnigldtrzj,0.0485,dyplbsyzov,CAT,caT
caT,sslvddqkpv,lgybaunbmr,CaT,-8,fhwartqrlu,caT
-663,0.288,0.0945,356,cAt,-0.1295,0.2045
-555,713,-812,-324,0.0745,-143,1000
199,0.4515,0.4905,DOG,CAT,-0.362,14
doG,szeiyqhlbj,-0.3075,zahxdtajzl,sevwocsqdn,covfpnjraf,xteylrazik
-0.4475,-0.0455,150,-0.4615,0.289,22,388
956,pfwvsiqqzo,606,-756,0.024,cifoxweafq,-213
hvbcdckfyd,DOg,-187,jkicxvvegt,zojpxicvzd,0.083,-226
-784,doG,312,khgozmditf,iqdxuxfhfz,ajivlhsqhg,171
DOg,-14,-627,419,dog,-451,-78
dOg,keslgiqukz,ltunixueqz,-0.0125,dOG,cddkiueehk,qynijmctan
-701,603,dzuluzyyas,-0.0795,0.188,uiyrwlxyws,-355
dsuptlnkom,vgyqvbzbhb,lgyiaihxoj,-0.3505,CAt,896,caT
0.172,0.1315,doG,-0.161,-558,763,DOG
-624,-0.247,ggdejbplqt,CaT,cat,cAt,uqontpfyav
pzoaidyftg,-0.153,956,456,-694,caT,0.431
zuamlxkgsw,-0.3125,-0.3175,toelvbgfum,zjyrcblxjo,dOG,evebivfebp
cat,421,dog,-304,-0.3435,546,-392
152,doG,qjxtiiigag,0.059,0.0575,174,CaT
eiqzgxnsto,699,-0.2655,-0.2165,qnayyhvfjp,129,CAT
-830,zwvxsbjdxb,-501,unjolhjvxg,eznznkwely,-0.351,caT
0.418,124,dog,0.1435,-0.4015,-892,488
DOg,cat,-0.1895,0.025,-0.2275,ramkwnytbw,hhnkztwwwv
-0.4715,ybpbybjwrb,fdidfyecls,lchdwnamws,bjgcjniemm,wohlgqpbzl,shosbpmohw
980,-514,fvmuaxqrwy,sxxprvggpi,CAT,0.151,DoG
964,jvjatddvqt,-371,yuorpqugnn,0.072,-473,0.2145
CAt,0.3635,nmmschuwxj,0.312,-305,ldomwucbwi,-283
769,dwytdtgxaj,-0.2475,-0.241,989,0.2645,648
zxurjuqnze,-160,-540,-0.256,ibjnimbsrx,objetqmyzt,-390
-0.303,ionhctwhrv,0.07,34,0.1455,0.3305,rrulcgkger
DOG,kwdhalyrbl,522,111,isplisrqkf,566,-303
dOg,-0.3025,-821,DOG,DOg,-0.268,0.0135
-428,DoG,0.4,ljzolfuewr,0.1315,-0.054,DOg
948,0.409,701,247,0.0195,ptlipvtwmi,fknhixzmca
