blwpqdtbcf,ktgqzpzzhp,chbejxhdzs,myzskcboab,aawpxvpone
-0.475,vmfjzgctrh,0.409,415,192
-687,cat,-0.283,681,695
-0.253,bljinfsvfb,gyzinvaxdv,mwoiyclxpp,-0.4035
0.4095,-513,493,-692,117
cAt,cjixzduutl,-432,prcwcjxbdy,vzdfqjzxrn
0.3585,631,-0.431,-0.255,aoqeieunqv
cAt,caT,-0.3895,gixnlvlsss,CAt
agxhzouqeq,DOg,njgrietyhn,cAT,xoysrbboxs
wrxfvccwcb,cAT,CaT,0.3635,flqqvkmqou
-369,-0.1155,-443,172,-0.167
-177,-0.4355,jdzbbkrjel,plohsvrysp,torugxlxnx
257,-0.3675,0.214,543,caT
-0.2645,-266,dhwlqxqjls,848,-157
200,548,-0.418,-715,dog
-549,yovmoiyjyh,oeoxeswfxs,-760,wyfektenxm
952,-0.385,-0.245,149,akkajhxdvo
-0.1065,0.493,ghqfkkqwci,0.046,mubdktumsu
dog,-529,cat,vlqchkqnqt,0.2485
tdappvbpmi,82,qhurrhfmiw,0.021,dqctfvroxc
0.4135,-50,0.053,236,dOg
-0.3695,dOg,65,-0.017,CAT
otgznekorn,768,-0.264,-115,0.259
-308,0.2845,-726,0.455,tqwrreekei
bcedgtotat,btsckcexdv,lcaamvqinp,Dog,CAt
0.44,wmdowbfujm,cAT,mgsbnxpsnf,36
-717,hkbohjafgi,-848,apaydhuntg,-747
cat,jddhqsygwq,syfjnqwwwe,-0.051,480
0.0655,lppczyvena,rfogkyfbmg,caT,dOG
Cat,-130,CAT,-0.0515,-0.157
eqbubtzfsb,0.0025,Cat,-196,0.1315
ticeeslaup,-756,qdpbybzrpq,0.1015,0.0515
114,0.1375,-0.4865,-0.3335,-757
-0.456,caT,xjkpvtstad,DOG,caamstphlo
0.427,rpzprvovwz,tdzeyoozlq,ltamiqysed,-0.431
-450,kocygnvmjc,klgnjuhcrd,mryqceadym,-0.055
