nvsftaooqd,dnelcojxrx,iznussypll,mpsmychnzp,pEt,uxszgnjatt
iszbipwihy,966,0.147,DOg,DOG,-0.155
779,rygvzmlqac,-596,cAt,dogxrdthtj,385
caT,-478,-339,qxxlbjfqbk,DOg,doG
-0.317,990,-0.3435,tsqvuzynfh,-0.3945,866
lwcguazkax,hznkmmwkez,ubjbvkyftj,whauxpldaz,dOG,zpntnzmxre
-0.4345,-0.4825,gbxhkuoyph,0.064,cAT,0.3
-0.233,yfmjdulbfr,248,-457,cAT,cAT
0.2825,suhxihchog,-937,caT,CAT,-0.4765
0.194,716,-0.499,-323,yzoizflqse,hnhptaxoax
0.2775,-0.1315,230,-874,Cat,yotiubckax
0.1365,njqfrbggkz,zvqopztjkl,idkbatzhvs,CaT,DOg
cjrwqcdahf,hkqqzyoriy,-0.4465,0.0415,0.1725,137
ttdacsfvha,-207,0.152,-0.3265,CAt,jbdhjeykuz
-0.1035,-0.2915,674,nvanhykkmq,cAT,0.03
wqtujrtylj,-523,76,xxizsowpzw,Dog,0.216
tmmnqiwvmd,0.0795,-0.482,276,Cat,fwobbueaem
DOg,925,kojpnupsfc,ktjapuphmr,dog,fvocmbtglz
0.3055,djjxrqzinu,-581,cAT,doG,iualeuocww
0.061,799,cAT,-817,qozmumhanv,DOg
joarvyoiqc,-651,nnhspqycfu,fwqcgbanqg,doG,dog
xfflbusyyl,690,isbaufqnzu,xbizqmqigy,dog,-0.0935
dOg,tpohxpkczb,dOG,-397,dog,-105
-16,0.2585,biczwpzipm,-950,caT,caT
0.0515,-0.0065,-113,-0.061,517,gmanfopqzk
259,0.2635,rnkmmvtozg,-398,cat,459
CAt,-751,-0.441,vmmhhtxjpg,dOg,0.1885
982,-878,umcizjithr,584,dOg,0.4455
-663,Cat,-0.0655,0.2665,dOg,0.3535
10,0.261,DoG,itkxdqbhqv,mucfmyegpa,xwitsdxvsl
0.309,-852,0.0825,jdhbpjbazr,dOg,-0.2975
0.123,451,kcvrzhsvzo,qufcrteqve,871,0.35
858,-199,uaitvpskdg,bruzvgxghz,caT,CAt
cat,-0.398,sligkeaiqd,dpbwsgncxa,Cat,fdmmoqclrt
-571,tfepzmlcwu,haqwhyyyke,sfidnoutxm,hucjligrmt,0.0
-118,-407,-0.363,uhhywkzivf,DOg,-826
0.194,doG,0.421,iyuajbsmdl,0.4435,-829
-608,-336,-240,-288,caT,-0.0845
cAT,0.3215,0.4325,0.2805,dOG,dOg
ugxuqxqljb,CaT,0.4155,0.189,ndrhrfuexh,CAT
