uvuwqbbewh,xpzxzywxqk,bbqbnwpkgs,csgbhyyaij,xbmhkurwou
Cat,-0.0845,cAt,-715,aahrbjyihq
dog,203,hzxogrsrmp,yyvlquexew,CAt
-968,-589,0.48,727,0.355
unguybcdpp,hhyvawjefs,-445,0.368,-430
lsdncslcud,drlygdnkca,DOg,Cat,-0.486
-911,-662,fmmcxuabze,0.1875,DOG
doG,0.068,0.4155,0.3695,madqljaaja
-123,CAt,qgxoiifyzy,qosdljtnqy,0.147
lliaaidxct,CAt,0.366,xeojyqyxgr,fcmvlkiluv
832,felzxxggjn,593,-0.069,-0.4295
odiufdgngh,-498,309,tqhyqhcidh,dahebjpmcs
uaxpewfjhr,xumpnwlwag,qvlbcspgkf,cspnzxkbzp,dog
0.326,haojjrhklx,0.311,0.314,oaytrnbzqh
-0.1485,kehnlkcslj,-0.464,0.201,-634
392,0.1465,-0.3395,0.4665,-548
0.15,caT,-0.4575,epnplddgtu,mgwwajxiyz
mjnxnfxbgp,0.2435,-0.0525,-430,DOg
-553,0.0395,ovsxoqdrym,-0.3385,-0.4575
cat,caT,-0.2075,dOG,-315
-783,mlaqntffko,oxtupvzpgx,-880,0.3155
bkzpuknmmf,-280,bbybtuughg,-0.1895,dOg
0.2905,pflbcqpjyx,ftgbmbrtzh,-30,Cat
0.134,CaT,nyjdimargd,lkxogcbitm,dOG
gxymsnlvnm,-0.2315,caT,CaT,DOg
-860,-405,-0.019,ezkjaembxh,mxgbgiegpy
DoG,aliljwflay,-254,DOG,nnffgotqks
qykfsmvsfx,DOG,-0.0955,-115,734
-491,-0.3855,0.09,315,-135
-678,408,491,-0.2695,-0.306
371,-242,-995,krppfjkopq,txfdvsajor
xouingrwxq,-883,-0.412,-0.38,577
-793,ovyliqtgao,-224,-362,-946
yfeabjhope,svdwuhovsv,ppmohjtksd,241,mwgbqtbect
-97,0.027,oajgweuush,0.3065,dOg
-69,kxwwkyyxtd,dOG,0.128,180
DOG,-44,-0.1645,caT,iondfswafg
444,rjaxdkfboh,-746,525,vakykzuwsk
-0.3245,-0.4125,-0.0565,wtxuzfhaeu,DOG
-215,-0.307,cqtkumjfpg,dqgkqtnmju,620
0.3535,cAt,-651,bibihjxhwn,-498
81,-30,668,581,-854
0.255,zvbluxgvxb,dOG,0.4185,933
203,DoG,-0.241,xpmyrlvapf,qazrxohpdz
sltagzfubn,DoG,aacfuiualv,zdeofiutvx,-874
nlwehhaoff,czkdystmfo,0.217,wbnmgwudzz,-0.182
-0.4785,zkhprhlngt,caT,-579,135
-931,uezkihdqcu,bkhenwtyad,DOg,dog
CaT,-858,-0.215,uveeljtxxi,-387
cAt,-0.407,-532,-855,440
0.4285,0.121,-782,CAt,-0.3485
wjbjmuitwv,gsproxztrd,-0.285,CaT,-0.4835
644,fgqysiaqee,mpcmfdsovs,-0.218,-525
urbnkeohsm,386,nykbhiotaw,urvgdexjsl,neonfdlvry
0.431,-0.3775,qekndlabem,-0.088,CaT
Cat,tjwsjibvxi,cAT,813,0.3475
0.1385,ltsarulrie,650,199,vzohsfsnso
vzmcjqkcxi,753,-735,vewdtwuzcx,dOG
-0.19,0.277,dog,627,-490
0.2755,-126,164,-646,doG
-0.489,0.2015,-0.446,caT,DOG
0.4655,556,DOG,urtmrgmdar,udfuqjxsor
0.3595,izlwysblfs,-0.4115,0.209,-248
0.1125,cat,-135,dOG,742
111,0.453,caT,-665,659
DOg,kvjnyaoupr,DoG,0.4655,-643
-552,-310,-0.22,0.186,284
-781,0.207,fyastjbsdq,aidxgyuhog,cAT
npcnigeilu,-212,Cat,caT,858
-616,dqftqybvig,DoG,439,132
-0.0745,0.2885,909,rlvyxtpbrf,xvuidspmdr
xinoscfvfq,699,731,-960,924
rrxshpzkxj,0.083,-0.126,wvrwollyjz,992
326,-838,0.365,omeufteqgx,710
ygjlbhrmsh,cfiyjoxpmm,606,0.45,0.0315
0.4145,CaT,0.2435,hvstsrpxlv,zogtijkook
DOG,387,lktygvikvl,ygyctjeucs,-149
dog,-852,-0.497,-245,0.2775
219,-0.462,dOG,glfggsslvx,yunfnqpdek
681,-703,114,0.3805,bnamltinzh
0.3575,Dog,0.305,hvwuxsgttt,vvqfbvtxkp
DOg,gqtznokegl,DoG,-962,-0.0605
dog,igtqlwaacz,DOg,539,wmksbvrozz
0.4175,pphgzwfxnv,0.43,87,DOG
fvfsfihicr,-0.2705,uvaprffbls,-325,0.3705
0.3135,-113,0.2835,DoG,-371
245,ervpioiusb,-0.3235,-0.051,-645
-0.072,-142,cAT,doG,0.45
0.4115,pmxfpfffsu,0.1035,DOG,-178
pqapyopkyh,htwbqltsdl,0.072,-127,DOg
-0.4245,-432,aeytvahdrv,-0.1995,CAt
51,0.4525,899,0.2085,znkxquagty
nktnhbvxhb,763,dOG,cAT,-621
menlmyqsmt,524,-254,-31,ypioyycyof
-0.131,kuwiakumxu,wtmbradnwu,pftaxnojlp,0.103
-790,vuuganybrx,-949,-651,uhasrshdbx
0.1725,ahpyfzmikx,0.119,-0.1305,-0.002
