qughqrsoay,fvyedyifrd,faxiglxzgw,honhhkgsyd,vagvlaeksq,PET
rzfkjjacsb,-0.0505,-0.333,-614,-139,-0.3235
dvbtkhgzrw,0.02,0.156,wnimkuvvzd,nhnmmjhrwb,dOg
547,0.429,0.1085,-561,klygfdwkln,DOG
22,914,lclmzjysav,265,ilayvmhroy,cAt
358,gttwxqkbli,cAt,724,0.314,doG
mxotofgakj,caT,0.307,-984,eojjpahbqd,-339
znxgxvgtzy,0.3945,lzirzvulqd,Dog,CAt,DOG
eyqxyndthu,cat,trkwkqfugd,xxzsvbasmb,621,cAT
-0.187,0.37,dOG,391,dog,dog
dog,168,ilxzhvayqu,-19,-0.4775,Dog
-923,CAt,0.373,0.1305,-33,0.0855
dOG,318,-0.3005,kobwhdcdsn,-687,cAT
cAt,wphunbchzm,-0.386,112,-0.362,9
0.1965,gnccyeymjp,0.375,ptlctiqsew,-0.0505,-466
Cat,668,-11,xwdwffakab,-140,116
scuslwrivm,-0.022,-0.0555,cat,-0.1045,cat
0.2715,pldggdlmbe,912,-0.1615,ebrxsqfjyx,mahkidyjdc
Cat,-29,Cat,0.358,655,DOg
0.006,0.281,-102,DoG,0.339,cAT
-402,-0.4565,caT,ncrrssklyw,wwaynkqotm,0.0915
-0.0595,llasuylwot,0.4155,eriabiflij,dxzqzqphiz,Dog
DOg,646,0.095,wdeyfyxgce,clavospoua,0.4865
