pet,dqjiefsrfc,dpbcshkhbe,lfnwcsxmzj
70,-812,-0.159,-0.1615
dOG,DoG,-957,873
0.478,-84,lqtzjwvmbv,-0.4005
DOg,432,916,931
cAT,ycsqvwjcxa,341,-826
CAT,118,-43,-0.297
dOg,0.218,-0.065,dOG
caT,-901,eaawjfbxht,zgkpkzttge
DOG,922,-32,-820
DOG,cAT,CaT,-0.2515
mopagsjznm,-0.0575,-834,zkztuvmieo
dOG,uamllzkgom,0.0125,issxblgbbu
Cat,CAt,0.3675,-0.0935
dog,-0.247,0.2925,-228
dOg,dog,0.3975,841
caT,-0.169,0.023,-779
CAt,-0.147,-327,mohkszzfgo
-0.498,ypigkjirkr,232,-963
900,cAt,dog,-76
CAt,Cat,Dog,-0.1445
Dog,607,Cat,939
CaT,pchptdzecm,xoqrqrycko,qpmysfmcqi
0.014,-0.379,-0.009,0.453
shriswblky,-935,-0.001,-0.4495
cAT,0.33,440,923
dOG,vhsyketdtq,sohicjqpxj,345
cAT,-0.108,0.3355,dOG
DOg,qwadtjxela,cat,-633
Dog,hhgryjwvrk,-0.114,CAt
DOg,-151,-0.115,tkjxizwdio
CAt,-151,0.297,CaT
cAt,-150,dOG,0.3355
doG,0.249,zditdfscle,DOg
-0.4225,441,-772,0.4595
Cat,0.152,-0.406,-0.252
cAt,-0.4975,gavnzgednk,-631
-0.3495,940,-0.178,0.225
DOG,-0.427,alozfkttie,-194
cAt,gphoasilmt,0.082,doG
CaT,doG,kwdlpjgdks,dOg
Dog,-86,-0.174,ysjxvdaegd
cAt,ehwzlbnpto,pevqyvzuck,sdcrqlunzz
DoG,-271,dfnzzmvftj,jlnpcayfmn
DoG,xhgpwrrjkj,602,DoG
0.3335,Cat,189,-0.1115
0.0555,138,-0.028,kqvlojjnif
nxqvbmcbmo,zmuqqoikzz,0.2415,-427
DoG,zhatjikxrx,cAt,qzxsnxhodl
cat,udvncdsxng,-281,cAt
CaT,-232,0.1805,CAt
djgjjlodfx,saawxbvwjd,0.3815,-225
-0.401,-0.018,ncexnxummo,-0.021
dog,weyqifjweb,CAt,qnbhbjvosr
dog,CAT,rdncbcmxue,-0.4275
-0.0685,-0.077,2,aligymfesg
CAT,927,doG,0.4885
CAT,lubfeoqcaj,loauqvwqdm,mrkusnhsyy
DOG,-0.273,-0.3745,imicjgbtry
DOg,-399,dOg,ounyticweb
CAT,nsytpshlry,-0.015,DOG
Dog,0.174,-308,471
DoG,-2,Cat,fqrnyhwacu
