legwcdcvao,pet,lritnthoae,zsfscidjhd
CAT,caT,dog,942
978,Dog,-0.022,336
279,Cat,dOg,0.324
fqcvqiaduz,dog,0.0315,fadicfddek
yypwvirfoa,DOg,480,CAt
-284,-690,0.396,-316
817,DOg,caT,-0.3645
caT,cvotyowldd,yvhwxtcmdr,dlysgwoxrx
xorkncchmh,cat,416,558
-0.486,cAt,-0.335,-920
injmgmpwef,CaT,CAT,-907
-190,CAT,425,-0.499
mmipxjdhgj,DOg,118,-891
akbbvgprfr,doG,-0.461,0.23
0.0625,cAt,shrfbbueef,-266
316,CAt,-711,502
ijrvyesrcf,cat,nriaghrelc,caT
pqlelengud,-0.3705,190,675
428,Cat,afurkyhpjz,963
194,dOG,575,0.2755
-19,cAt,refdimgdbz,-715
-0.459,Dog,agnjmbmyal,doG
mbhfgxlisx,CAt,vysrdltawl,-212
-344,CAT,0.242,-0.0105
-0.4775,0.0655,cysfqachzu,-0.4535
cujtxatewk,dOG,gorstdhcrw,294
dOg,Dog,0.431,-645
-430,DOG,DOg,jbjvdhyehs
ixruytcdne,CAT,DOg,jddlacvrqx
0.1525,Dog,0.4035,bvixmjnebw
wsqshqkmny,CAt,ijuuspgffe,rzunbnamcg
-381,cAT,CAT,cAT
0.323,505,53,hkgjrvsaqc
0.443,0.1525,0.2835,507
956,cat,caT,ieomvshpqu
nmbzwbtvdh,cat,-0.1185,dOG
0.3965,caT,-815,rfvbqgryex
0.3165,cat,-0.307,caT
pzbqzwuxse,jefnwstisj,446,kmdtfwrlmr
0.386,0.0625,-0.077,CaT
0.306,dOG,CAT,-530
-0.0215,-0.4135,-0.077,-419
-0.298,dog,duvqhvvqjr,tkwvljqywh
769,DOG,199,zioxdrotse
0.265,DOG,660,-0.1825
-644,cat,0.14,615
-451,DOg,0.2565,doG
