ujxvpgzumx,sitaogsipg,rkliczwigu,lzmrxkhkey,cgdafkuaei,kdwdnvumvn,oknnsshwjr
119,451,-69,cnvckhehhq,0.038,-463,bbroszukup
-200,pbbmodufrq,atpuzuospp,-0.0785,0.247,-8,doG
CaT,CaT,cAt,-0.0675,-276,pefldlcwux,507
-989,dog,1,Dog,-0.1415,-475,geatappkfa
339,DOg,-777,-0.0445,0.0855,-0.181,wevdenyvll
-860,-488,390,-0.431,0.112,msbndgiire,-0.2775
0.3545,-764,cyllaplquv,aqcakosime,0.169,-172,DOg
ehmhdfnsyy,-0.3325,CAt,CAT,pxcoxkwlha,0.0565,-703
cat,-0.188,okpnwyomqf,-0.079,-48,979,mspkhimqth
0.329,-78,tsghwzmrvm,fsbzuzmxfk,upzsjelhbq,0.071,mxhldhrlil
yibqlyurdb,valiyassgt,trsigsqlty,-79,0.477,-560,14
ajmorgltxy,CAt,dozkcgomnl,95,caT,0.4905,jmeoetxbgz
hiqaqyvoyr,CAt,0.122,cAT,0.4945,0.313,gjbmeszpxn
-702,gqmhpovlod,-0.163,273,pdcmgmmzvn,CaT,-0.0855
-0.4955,DOG,-0.125,caT,Cat,0.1715,doG
-0.0975,-0.198,dOg,-182,-761,Cat,-1000
-529,0.142,-896,axaauewzow,0.0105,0.4755,bfytrvufbe
0.2375,dog,dOG,DOG,0.2015,hpilgsikej,jzegcgrkwb
0.1865,dog,-0.2615,73,olaqrcehgc,doG,-0.074
dnfzgwcdzu,-105,-220,0.279,0.4625,-712,Cat
541,-147,-0.259,vkfakxjncv,-0.409,vgzpnvkaxc,ncejrycevt
0.3585,477,869,19,cAT,0.135,-0.028
0.37,-0.335,-0.4145,-358,-788,-142,0.216
ezwkdzqjal,-553,fqkfwqilpz,jhjefycmuf,0.351,131,0.079
33,upkijijlge,333,330,-783,jkiukizrfd,shsmfvllve
233,doG,-28,vnforvynzt,ljalwsimap,0.2775,-0.158
iheabhwmim,aeaxtmszog,pqfindolar,0.0575,437,fnzlfiahui,bxjyyjwdsw
-234,228,xqkhrxsaaf,cAT,520,cAT,0.158
