sjcwdzqocn,hdqnccsgfm,lzpvfsmcho
-0.4095,DoG,0.2095
-0.053,-916,jfgemdmesp
-0.112,0.2465,-0.39
uugngmmyyc,772,CAt
spklgsgwgk,0.307,atxcdvbmwm
ydwkapizfd,0.1205,-0.3095
617,ygjqtrzrpi,-0.437
CaT,dOg,-992
0.3255,324,usrylgtgxe
-0.4065,0.022,ihxyvaucbc
ivchoyyxrf,-0.1125,25
0.342,nrwebownul,CAt
Dog,rqbfatwkzb,CAt
0.001,tddrijnujh,Dog
zztfqjltlh,0.212,-0.1125
-0.0885,qiqtlzusex,dOg
DOg,lhwvagfpqc,48
qqqakfhaui,-626,436
-0.1065,-786,dgokrhierj
630,cdymzylhxv,oauaygvyrl
-0.477,DoG,Dog
-796,925,DoG
dlpgrellck,bqsuhvxpfm,dog
ommgpfuhvn,kwuxvgkabz,-861
cAt,0.3665,-0.2215
uujytwyoqn,-0.0875,0.395
411,382,733
0.0865,0.3335,caT
doG,651,pdqfvyjfvv
DOG,-548,179
btlbybeigj,480,474
-641,dhgrpiktra,aoyuwyroay
-0.137,hsibwirkps,cAT
-0.326,28,0.2185
-508,-0.219,-0.092
cAT,DoG,-628
714,wtehtzpbyz,bulguronuy
360,0.165,sufhyarepq
vpucvfrxvb,qbgngxbeyd,-0.193
-0.455,460,qipftnfvfv
DOG,byziyaigul,696
0.391,-0.3795,-674
-0.19,fwxraszvfe,300
134,dog,607
ngwqqvpjnt,-99,igqqbauxds
0.425,dfglynxghs,0.1015
-0.3285,qehrksjpbr,DOg
0.2695,ndamfppuns,cAT
0.0515,caT,0.287
-0.316,-0.3255,0.4635
519,976,vbgrruabna
35,-596,xhzlswxjbu
-696,xgzndvyfph,0.111
-993,-91,ggvkuqdumm
CAT,-990,DOG
cAt,-347,-0.1725
DOG,gatdjehhdd,-0.384
-322,cat,-68
-0.247,909,0.4945
842,doG,bmxdooxkfl
hlakmmzlku,0.234,-552
mnprhmnepw,dOG,doiwqkmyoy
DoG,-811,-647
jupskxazdo,lpfthmckkr,-0.0385
misidqxyvj,0.0365,519
0.387,208,dOG
-0.066,881,0.2355
-999,qipkndzslo,utvmuqftgw
69,0.086,CAT
Cat,CAT,cAt
Cat,qkzrpsaegn,zthiqydsza
804,plpsaaqetx,0.498
aoxxcumvqx,ehbqjhpwpa,604
ibbszhwdwq,0.214,-335
-0.1905,DOg,juznkclokg
uiaildbqwk,CAt,-0.152
-469,vinqfvafai,-66
mfyriiraqk,caT,-768
Cat,275,caT
-0.025,docfnglquo,CAt
