cyxleqwyvq,tzdszydtjj,PET,ozsyqldetg,wddudsisqe,oxroriacqw
0.4785,Dog,doG,cAT,ltjuduvgzu,Cat
264,163,ugcsudvcmz,-610,rkuofevfnd,dOG
-0.0505,0.0405,0.045,-909,wyrmpvkfhq,Cat
wbdhohnyqj,0.494,-95,842,3,733
-684,0.124,dOG,csenqadbes,-0.1085,113
-369,ryidnmqkfx,CAt,ahwdgczsko,ynncapqwhr,0.3905
Cat,cvguhkynrp,CAT,ekqpfoowqe,0.4365,-0.22
168,yxornyjqll,doG,skfjtdutto,-0.4785,-261
doG,-772,0.0615,0.22,-0.2345,-508
-0.088,cdpmqqramf,-0.1865,843,-0.3875,0.3895
0.4355,cAT,468,0.33,-0.0185,917
fszpokxxem,ivlxrurtii,cAT,-0.1385,ovejtuhoyc,-0.265
-147,0.397,cAT,0.2545,-925,dOG
hagbzuslby,hkoeayypsd,Cat,0.1615,Cat,-0.1075
0.2495,-704,DOg,-339,-644,-998
-748,-174,dOg,-300,xghcoydlxz,zqyzvysqdj
0.2205,-608,CAt,0.0335,-0.111,mlsfhjhazt
0.171,100,cAT,-701,CAT,682
tuavbifzzz,vtemjaohic,rocnwukmot,-456,-0.4185,-0.3755
0.3355,nqhfgvfehv,CAt,-0.156,pazcmviwnq,cAT
Dog,-377,DOG,-386,-851,383
Cat,-351,DoG,Cat,-0.1845,fnlcducuio
-0.0065,0.092,-902,DoG,-810,516
676,0.136,cAt,cAT,0.1305,DoG
780,307,Cat,acnylguiom,470,-186
-412,cAT,caT,-613,dog,580
fqrljxeyjd,492,DoG,voaslvpmni,Dog,euqxfuejlu
uogwmvdjei,0.3535,Dog,-0.222,0.3715,hpuoftgwqa
DOg,474,0.4065,DOG,caT,-0.287
Cat,0.0005,ugbfaktpqv,-281,0.4775,814
-0.3925,0.392,rgvpdnbebl,106,cydwjawvdv,bjqqakxlbt
ivciwhjxxx,-0.057,DOg,Cat,-189,-0.0795
-974,-0.0265,CaT,mjxgqdjkuw,caT,DOg
-378,pmitmygyzs,770,flicxsbfum,dog,214
0.341,0.259,-0.0665,cAT,0.1215,444
-0.187,0.0685,CAT,wvcqnyxilg,npfxlwkscu,503
0.0865,msbzwrcodq,dog,0.0575,0.281,cAT
caT,-433,cAt,ffvkkhxocv,dxgfoqevbg,0.0835
Dog,wznqjwczdk,toopdhxwts,doG,abmyluguhc,xygebwrowq
dwxxnhfqdc,dOG,CaT,caT,777,0.4065
-247,0.0795,caT,0.2135,-487,0.1675
cAt,rjvwexycba,-0.279,cAT,Cat,-257
128,-830,DoG,-0.358,-0.0925,hwozhuupmq
-337,0.26,CaT,hoavnmaezc,DoG,-64
oirlctwnvu,38,DOg,DOg,ewzipkwkei,-643
497,618,Dog,-0.1245,apvwyyuqmv,uicezwosxg
-0.3125,ealazbxgdf,-801,261,Dog,-0.24
-0.0295,idwoyklyqa,CAt,-460,DOG,DoG
0.3265,2,cAT,vmthyplaqt,994,sqjrcxhakb
749,0.4575,mbyvojpswt,vnrnorvoik,0.499,-0.2545
ziufuprxeh,DoG,DOG,0.1665,hxwmqyucvl,ihcijgiuiv
juaorlgmvn,hmybwwlqtu,DOG,0.486,ljodioyoge,sakmprdoqy
Dog,-0.269,dOg,kbfomyjsny,bbqvloshfh,-956
0.3415,slarmzockd,CaT,olbkrkplwx,-709,122
936,775,dayfzcixsa,DOG,CAT,moshrooqza
gwibgabrpo,146,DoG,0.062,0.495,0.2565
-0.033,-0.252,wvfjkzhuml,nptkeqhmwu,375,0.487
0.439,978,-188,0.024,-559,174
174,0.086,dog,0.342,-975,inbokpxvxp
cAt,0.205,cAt,vasibmdlac,-0.3565,699
0.2655,930,DOg,hlsarziyso,cAt,-0.1475
doG,fzmjhegcsv,tosauqlwrw,nizkhsqgne,-80,-0.426
0.104,-507,0.41,bcvfostglz,CAt,-0.0175
