ccalxhasmt,sbiixzpgtd,muyrguvplx,xyllfpfodo,ojunjaqgln,yxjlpqxnut,znqxgtefcx
-0.162,lvvyhsxonm,-707,cuztabeusj,0.409,0.0785,685
-867,0.383,kyrfnwywai,0.1,kavewhzyjq,759,CAT
tyhmxrfouh,-473,0.375,-0.4095,dog,zleeryvkqg,-730
973,cAt,141,crmxellgmk,cefueuoovh,vpthzhrzrs,-0.246
-318,0.321,-0.102,-702,hbwqqbioag,gvkakeciih,-617
vjqlmlkweh,exzasuoaxn,debaxemmov,-727,-0.192,0.2445,wxvhkodjzy
-0.243,-0.0445,DOG,0.141,chododwqjo,0.445,0.4465
186,uhfrtotpiu,cat,954,-0.232,0.3525,542
0.3625,0.3905,mnuoahqpup,CAt,txsxnsmocz,ocbvdcyxng,-0.1405
-0.111,pxtszowtdi,tfgkrypbjh,CAT,dog,-73,691
668,dog,cAt,-0.0665,-0.068,gfggpumxox,-0.243
dOg,26,-982,-516,180,-0.219,884
900,702,qcsgphahwu,kpzkpmdwxi,douzsfhvwp,-0.1265,yfalsflzau
CAt,-0.314,-922,0.1195,-344,hnlftazpnc,ozyiuknuql
0.2325,-86,-897,mavuvrxctl,rasevgrfll,-0.055,95
nxjahnekud,18,-0.1765,-54,qjhjmfllxd,-0.307,hnwvrlccjp
-87,-0.1595,sxpkrbceqr,mlwntlaghi,qmfauujslb,674,cAT
rixwvajvbj,pghizvvdie,-131,rhpiqxgbpy,0.1335,DOG,qnaukjuowd
-0.2615,chnmzmglhf,-239,ckhtmpwuir,600,684,qqwmogjxzo
Dog,doG,DoG,-0.2565,0.354,hbpjyhusxk,CAt
149,iztyvthhjr,udfocqdeil,bksiwicawd,-175,cat,0.351
ezafktrnpt,-0.204,904,0.1905,Cat,-0.1285,dog
-0.3665,43,-0.413,0.083,-914,fmczxerzrg,hhvrzdnden
dog,hjsfnwmdnv,mhljhmqhfd,obrkiplmkv,DOG,0.0505,psiiybthfm
mztoohqeah,0.3875,caT,sjvwiwemav,CAT,-873,-0.4275
0.042,-0.06,noqdpcjmzq,ytmayayifx,gwgglvzvbq,-0.4645,epxarmixuy
0.124,cAt,0.0525,DOG,654,dkasznmiwx,CaT
-0.0815,vjspawunuc,xsylhjegqt,0.398,-198,0.1475,340
0.1655,-0.445,dvzuraxbbi,znipaplmde,DOg,0.355,pruhrkrvps
823,wvfxokmqdr,uybpndrzqa,-686,dOg,-0.467,caT
zladblsoco,gphwsznbot,whthafyfvl,dhzdyopwvn,dog,qydlybhyyw,-0.1525
143,yeuafokmbj,mnoqzvgrbr,CAT,CAt,494,Cat
caT,zthdjpewep,851,0.22,-62,357,dOg
-0.2775,0.0715,dochmwlpmp,793,cAt,-643,DOG
-378,CAt,0.0105,cAt,-779,unkjndbbhn,CaT
268,xdqpehfqmd,-333,dOg,0.2285,rwccbxftnz,kgezkhevbx
-0.0985,875,dupvympqil,0.046,113,84,-0.474
dydgpvzrvd,ecxxivwudm,673,0.2515,0.1915,-0.3455,-0.278
zogyiskfpv,-911,0.4765,-0.123,dOG,bhmugchvyj,zwsfyglkdj
-79,-228,42,709,0.195,-739,xbpbvbszty
DoG,mbbgpkmuek,mbivqacbir,594,ybzkybpivm,677,-382
