orpjisfkwh,PET,brobppksed,ujwsqynhmk
-647,Cat,fwkjsdlzdq,549
659,338,caevrsgtfq,-619
-770,cat,cfitsyndxl,-0.015
cat,CAT,pjdvaxvhvt,cAt
zzeydhypsa,dOG,-185,573
0.401,DOG,DOg,vsanpaygor
-0.293,CAt,881,vgvpswwuvi
viesmgluuj,Dog,yuusknbmmv,516
CaT,caT,-942,cghcfglhbu
idsmoxlhut,cAt,880,dog
DOG,cAT,tplsqtsems,hrqbpbvefu
dOg,CAT,734,768
gsdodkxgug,awekkichpk,CaT,exceskjwoy
gwzjchewmd,caT,ovihpvstok,606
-781,doG,0.4965,DOg
yorswkdhvu,dog,dOg,ijrccjjncy
dgylwwppvl,Cat,lfcwqdrvbe,Dog
noogqylfyb,wzhliszmyf,qifbeqlyyv,-834
467,cAt,vyquonxdsn,-123
CAt,Cat,CAT,533
-0.163,Dog,hbwrkzkvul,rquyyrgnxf
-0.131,DOg,cAt,67
583,DoG,bpxcnqfsbx,0.131
-0.094,744,lumqhfjrqi,utacdpfedo
dOg,719,-486,701
-618,cAT,499,intxjbwnuc
0.2165,cat,rwzabkiczg,0.435
trekdkaapg,DoG,dog,DOG
-702,-0.0835,knsdymczlz,-440
zlfyolnemv,962,-0.2625,CAt
roesbdjvst,0.2145,DoG,xblldmnsin
hldxmtizfc,-0.1855,0.2965,gwqhwgubyy
-0.4055,cat,mesrudkjtd,0.286
64,Cat,CaT,-564
-702,CAt,caT,0.0275
-0.1065,CAT,0.493,dog
Cat,Dog,-780,0.446
Cat,Dog,-335,mtwtkiirsg
-929,dog,160,-0.2185
0.305,dog,tlequxbxbe,-113
DOg,dOg,-0.4065,700
0.498,DOg,qqoyeqmcku,0.003
0.4535,cAt,0.0165,zktwqoceqm
pcurkcdpft,Dog,657,0.0465
-0.422,dOg,-930,-0.2775
-0.022,caT,CaT,962
0.2535,doG,gzjgrqcjbi,0.2705
-0.15,dog,DOG,jlihzraasz
59,dog,emypjaxuwa,crkwfwqofj
Cat,ioutrqrlyc,369,-0.4155
Dog,DOG,360,uytekcoiad
343,dog,addgzucanl,DoG
msnymveheq,DoG,ejhjkxqkzy,-0.176
0.386,dOg,dOg,cAt
-0.3,Cat,cAt,cat
-0.2205,-864,wvquwfbbnv,-985
nkdiwkdsgp,Dog,-121,etgpthxhfg
pmfzhyyyaf,caT,-0.2995,hwvbkeaicb
-0.3495,caT,wscbylotde,-217
0.432,cat,rgrflemzus,-0.44
oypvvihvjx,DOg,doG,137
exznhjydxb,dOg,-866,rxtckrbfof
iofqmothaq,dOG,cukorvjdkz,ywkcmrhdtd
-0.411,cAT,418,-767
qaombsbopf,chnzzlobur,-972,0.047
-214,DOg,CAt,0.007
154,szjhiauozp,0.4185,0.0475
doG,CaT,-157,-0.2975
-645,Dog,392,-0.4325
-756,gwsocoxlts,wytwwvwyvd,0.36
-227,fyvcvmzxel,ssyrkltygz,-0.4335
lnraunzdqd,653,956,-813
-0.1605,366,rjydbwpzho,wpylckvfqi
ipyueqkqwd,cAT,dOg,bulhtbdgmh
tedutkhnht,CAT,0.2285,21
zndpyjqckk,0.052,0.489,lbnnodyrto
mjypirinwm,cAT,ufzsftewuc,Cat
546,Dog,doG,0.1045
-908,zosuqcldcm,ayaoapqles,-710
860,cAt,0.4515,edxjbjcbzr
cat,fsitusdkew,-488,836
-0.0585,CaT,qabhfuflzu,esclroukpb
uguppgnkcr,CaT,893,0.1675
0.378,DOg,ntnwgqqgvf,cAt
-659,dog,eugryirpfp,DoG
xtqmsexhue,dOG,iwllsutpmy,xxfhfubhdy
-797,805,411,dOg
-945,dog,69,cnspesfklc
Dog,cpoqsjyyoj,0.487,757
vlzkilbshl,cat,dzcxgjlqky,Dog
-391,0.421,123,0.452
0.379,dOg,cAT,Cat
cAt,dOG,zvhvqjkscv,-0.37
383,0.3855,0.386,duscnxzoha
0.496,CAt,815,607
-0.059,0.4455,-0.288,utibbjghlg
-0.471,CAt,0.2155,qlqgdvblzo
101,DOG,0.312,0.0545
-262,dog,53,0.248
0.4795,DOG,-0.006,320
