wnhzkypyht,pet,firbssdnku,qwyighzelf,yuzkqchfcj,mnjbdrygyu
doG,DOg,wvjkztyfhq,cat,-0.379,lymzevumik
107,DoG,doG,-113,DoG,0.4715
0.1015,jvlkejikyy,0.2555,nznvfnfqhe,gechwcefnp,orbjluviyp
0.1985,DOg,333,uuvqivycxx,0.401,-27
ffttmpydod,CaT,rbpfwvfbrf,ydrtpjjxep,937,gpytnysbma
bnzaawvvpv,dOg,-0.0895,soscucqqsh,dOg,0.2645
fdylveqtao,CAT,-323,-0.478,-794,eotlmgwesh
-0.1075,CAT,0.1885,0.409,yoyykisvjf,tkvrjecmti
-0.349,dog,252,ybzegarekh,yzdrmkvufy,-240
jfixsyusqu,0.333,rpzmaidbps,cixoebdotp,CAt,cscyoivdjv
7,dog,bpywuuelwd,-0.4835,kootxcvkvl,ginibdrxax
782,DOG,eshritygsx,foxsblqrxi,adxnawzfms,-619
0.407,DOg,-0.2805,-935,oevgefcbvf,akivpzvbtk
814,cat,-127,visdhrfhdh,qpgajdlmet,tqaeigyfra
caT,doG,0.0175,caT,caT,0.341
CAt,Cat,-362,cAt,0.175,621
Dog,dOG,ebwqryedpg,CaT,-479,bkzlfoawfr
-341,DOg,385,doG,566,tjhocntffc
CaT,-0.0725,0.3835,ztyfbiihmm,0.3825,caT
-0.3135,0.414,pjowvtbbyo,-963,0.4265,-0.271
-0.3405,0.248,qtlzrkezys,caT,0.281,cAt
eysrkpdsvf,DoG,-0.1155,Dog,-0.4155,hnunnwansc
0.438,cat,ouioqsqcss,-0.445,-979,456
cat,dOg,ovohmtstcj,0.1415,-549,-0.39
