gmwgaihoav,bpnlqrxohm,wfdfpfhugd
qelxwriyyq,236,-454
twwgqvwkex,665,doihexotar
bqvjqmsska,-0.0315,lmajwecknl
-229,caT,ukdbiypzhx
jtapqehfvk,janzloraxn,-0.2165
856,274,-0.0685
935,rjsgoejhjn,-859
-320,0.3215,dog
0.0045,-867,-0.1
-0.0405,Cat,0.155
hrojymqlgi,DOg,dajgusqabb
291,-389,caT
283,nzrvkjxmaq,dOg
0.4285,862,cAt
ytpevrmlnf,xzdvnewtsa,152
DOg,-134,-0.442
doG,0.0655,eamekmuiwq
54,358,-431
uwedjohajn,caT,-0.002
-524,-71,-0.301
nojlulwmhk,-0.2775,0.308
doG,-703,-0.364
0.292,esxnjauivq,cAt
122,jhssmetfty,ozpksabatz
limlyefcde,qwkhlhufvf,-756
Cat,cAt,-100
qoyfzmlgdk,-0.008,caT
nbuhxemqsj,opmlbgzzfs,-0.391
dOg,-0.365,ikydhgbtfp
0.4295,-0.228,-977
CaT,647,845
-134,0.1345,yocfimaznd
-752,dOG,cat
-0.222,-326,dkqqdapzbw
jumyfjvdsg,-438,DoG
doG,Dog,ewjrhfukej
0.306,nqotauyipc,hpxslnhsrf
eoxuqlxvki,-0.3215,-122
65,harapdyzyd,-693
0.421,CaT,cAT
0.3345,68,-416
Cat,0.4955,Cat
dOG,Dog,317
dOg,doG,CAT
jqduoddtuq,volxstiznt,zigfkorlwe
