utykddvmfv,vvtnwnclfo,womipqitep,kfoubiisnn
301,ccfvovruly,780,dog
mqrkkbtbtx,516,-0.489,dog
-0.266,CAT,-0.2745,-0.244
skdgvgyrqx,kufvoeswte,cAT,cptgvjyeoc
812,sywdvdtbjt,nbbmqkndve,-0.431
oakncjvlly,ecodxijmlp,31,mgsynidghm
DOG,-72,cAt,-610
qkrfvgpchj,-361,489,685
0.3395,axfhkxetli,-0.321,-0.462
-0.036,nixvqeanqe,121,DoG
cylgxymddn,-6,282,0.021
Cat,0.1155,mpwjgtvlse,-859
-598,-376,CAT,901
urpwrozwci,nwjwregqdm,doG,DOG
CAt,-0.2115,-72,129
CaT,757,0.4565,doG
jmkqfbpwns,dOg,dOG,0.07
0.42,doG,293,75
-0.008,yqwhajpemt,igvshfnnih,CaT
ctfhrxvuox,0.3925,-0.3195,yltbbjmhjw
-0.157,-0.159,0.187,cAt
0.223,qsgemiktfa,0.378,iaesnqeiqy
262,gvqvxvtuna,-0.0695,CAt
-203,-330,0.37,-0.4485
pemgqmrtum,0.348,cAt,DoG
0.233,sdmstfustj,-0.291,-0.3515
-802,doG,321,vjfghwoyfk
-793,DOG,0.3425,-0.468
-0.1005,-882,-108,cat
dOG,DoG,-856,0.231
jzlfsmgpyy,-777,-560,tytqgmjctr
947,-493,hktkjeliph,rhyyiwiwsy
-0.4385,DoG,dog,783
slyqtsusia,-893,DOg,dOG
