gumazmjehg,gkzanirzkx,fndnzeswnt,finutjdsiy,zyvuxhzlqy
doG,0.3945,CaT,0.36,Cat
dOg,0.09,-0.1295,rszbgnxoug,741
tktoiurxuj,caT,pjdiksdcdv,nvquwjmraw,0.04
rxhmmnvdfz,232,7,-0.435,0.2965
DOG,DOG,-0.1725,0.4835,0.463
-0.3775,-0.2735,CAt,681,doG
-0.099,-0.2265,-10,-431,DoG
-0.289,DOG,0.4425,0.174,CAT
416,-15,CAt,97,vqspyfszmx
-0.246,-616,-0.081,885,0.296
853,-100,0.304,0.0185,teurtizern
596,392,559,-141,dOg
kyrynkwdqb,iddecbzpug,-496,828,-386
-0.477,wxprzvwytd,-246,-0.133,ulaoswotjo
bqlqgkqtld,-217,eyxdvvvugs,0.032,0.3
0.235,244,spplllhrxr,0.2815,-983
0.252,0.043,zfenkkbahp,rtwcwzcirn,-302
-383,298,CAt,sqznpahukk,cAT
zgizqbolzi,-0.4725,783,0.2945,sgpozvzyej
iyczlmlraq,979,CaT,0.08,CAT
zmwsbgspyy,434,-0.2015,-666,dOG
ylxieixzbh,-279,-0.294,-631,-248
umofpwekga,-0.3385,-0.389,-556,58
tefxepetba,-326,pencctipwl,dhhqwrphty,0.2725
-706,upqyedmygj,yjxoztfuvg,-330,0.2715
-168,-0.493,-719,271,DOG
0.0135,55,-0.084,252,jhftebrlpl
0.494,-588,-0.382,qbtyvxyppo,jqdkpanxkc
-0.3065,DOG,evljuidnap,CAt,910
ocnlavlsbt,611,0.415,0.414,CaT
626,-945,hlyjupevgk,vxxculpntx,0.26
cAt,mrylnwttrc,inzwjfxjnt,cAt,ceelcmlbvo
eentnpjntb,cwwgjozrok,0.371,CAt,DOG
hzvcxyyxly,-0.1095,prnpumzqae,Dog,894
dog,434,0.4735,0.0715,nnwbgujxav
-861,0.234,bhkomhskfp,838,Dog
-0.487,-0.3475,0.459,qzkjwybmmr,939
-104,zlrtuuadjp,DOG,450,xabvpjvvdw
-493,-0.312,993,0.2635,-0.307
-0.406,Dog,svcnginoxw,-0.3215,-2
DoG,mgqczgzypd,0.018,-0.4735,0.1615
903,130,chmsrbfygd,nwcheeffuw,jrxdrtuukj
DOG,-73,jsrilziqgf,-0.02,swedhnohgv
cwaigwgojf,azhrxyscna,0.0635,-0.1975,865
238,-0.35,-0.242,wqvpttxvek,bndcvwrfct
lvllasidrp,vackeippdz,-0.1305,-547,DOg
vyifnodddm,0.3855,uibyrtlcmo,CAT,fqztdtgmgu
877,zvydxvstyi,-278,-548,-0.0075
0.0505,iuugmrqdcu,668,bycbjxefmy,-903
0.3665,481,-0.4065,-677,DOg
0.357,wxypbbyfpr,pnpoiuhhbe,41,-0.376
lqkhsgjrqa,-0.2825,gsabygffxf,0.0615,-799
-485,679,vprvejnnpf,ivdjzknrfa,htyqqnceab
0.4285,-961,CAt,-967,-732
esbukmuhid,bdnmpzgice,919,Cat,uvqqteumyq
Cat,dOg,lsougemapm,0.2415,-0.231
57,-0.1445,-719,dOG,dOg
llamitytgd,vvfjgfgidw,doG,dOg,109
DOg,ddecvdecft,-727,elxldmqahh,frbmtoawyv
-0.389,ximgufjyyc,0.3455,cipeqsanhh,aohweyypce
0.06,0.1615,ejrhfzydkn,CAT,-0.1145
0,DOG,-0.311,292,DOG
0.2955,558,deqsqsaaom,-2,540
0.3925,-0.1975,ncxmabmmii,kkmvrxylpb,932
znnpbbndac,0.219,xpkwqrxlhi,-0.189,oechshtuij
828,jzftosmwrf,cAT,229,xmozrmnmkj
0.074,0.2835,mazmipukmd,0.4605,yonfjfexqb
-0.127,mszrpccbij,-0.247,cat,zzgnmngfkl
248,0.4075,yjscixcboy,cAT,cAt
DOg,sfwvvwsbcj,CaT,CAT,0.1005
nlbveqkavf,66,hehsarziij,-547,-0.2795
dog,hiuhnoasko,kdrhabazkj,-310,mqdsgwxdxe
431,pgacdvvkng,154,-0.3325,DOg
crmdffqeep,0.4945,0.328,-781,-0.3285
sigutwhcah,0.388,-482,cAt,pzduiflhbi
-0.44,-0.2415,0.2965,tfrdfdwdwy,427
ejekrgcheu,0.175,DOg,fzxtamtypy,0.2215
-0.4295,kshsribmua,-0.2705,-698,-0.156
978,Dog,0.058,565,tblfditqbh
370,CAt,-0.262,DOG,7
-0.029,0.001,298,nneypsfecl,pidxxuzxgz
333,doG,simplfpsnz,caT,791
qulnqpyqft,-0.332,cat,ebexoiuuie,-0.0075
734,CAT,-0.4645,348,-51
rzointffco,dylodsqskp,btwqesemdz,0.3265,-0.0845
494,6,0.273,dOg,-0.153
-0.4,Cat,0.354,poeyshisab,513
-296,doG,DOg,cAt,qwslwojigk
0.431,0.427,0.031,136,-359
675,cat,568,280,Dog
-0.2825,lyrbsxubgq,fqcetrsufg,507,rfsankmdyz
cAT,-0.157,476,0.2595,cat
-0.219,cat,dOg,kczonnbzue,142
