ufneomqdcy,tphcfqurgi,PeT,tiiptgzizc
-0.1085,-0.4105,dOG,-0.1275
DOg,xksarrzvqz,-0.094,CAT
cat,xufddauwps,CAT,879
-512,cqzfmzemnw,Cat,-928
nglhneqmyb,rrhkonmhtt,cAT,-901
CAT,-182,cAT,wqumsmtlss
Dog,550,caT,cat
0.2265,-545,0.146,521
-0.1505,-0.0875,DoG,107
-0.227,0.217,dog,0.016
-651,0.1565,cAT,-669
-329,hnwzhbxxje,Dog,bxqcpnmyth
dOG,0.161,-0.34,CAt
DoG,-883,CAT,dgksicnxvu
0.0275,dOg,dOG,-914
0.3715,516,Cat,0.113
DOg,960,dOg,-956
-762,-0.34,0.218,629
xmuxlmwydj,ciqrpllfhu,CaT,zykefpkiuy
-0.087,DOG,0.2495,CaT
0.1185,DOG,doG,yonfoxwhpn
-220,0.157,616,eitnhmxlgp
681,-89,DOG,dOG
-592,adtcmnrlsu,Dog,caT
-0.2125,-0.3645,cAt,dog
664,cAt,cAT,651
-693,wjhkgvcnow,0.2085,-0.5
pnnpjejgkp,231,caT,zttepktxcq
mmvgvrumpu,Dog,cAT,fujoduqccm
142,CaT,dOG,DOG
-0.082,-0.3645,dog,-966
0.171,balzbajdlw,CaT,-689
dog,vidlyvckxo,dOG,klfnyqvyof
Dog,bnovhvabzx,DOG,615
CaT,-0.114,Dog,16
-0.494,cyotmxjxcy,caT,0.0685
-0.1135,dOG,DOg,233
0.093,Cat,Dog,bthfyzkpqw
cat,grvirymire,dOG,qpzkxgbvwn
0.3285,0.24,qlreouesbd,-240
-0.028,0.382,doG,-0.413
-0.249,cAt,CAT,-866
cat,743,0.2325,581
0.258,934,Dog,Dog
DOG,DOg,dOG,dOG
0.491,-0.377,DoG,jjduznoeqy
DOG,qcppdmpzrk,fivcucqtew,doG
0.4115,lcyuzjkdac,dog,dOG
-881,yoepdvjlqj,izxtfsnpwn,-473
Cat,996,-0.2855,mejsexpxtc
-855,DOg,0.104,cAT
-676,hsaijyagru,cAT,xjbkyognrd
-0.372,-0.184,dOG,DOg
126,-741,0.3195,-0.185
cAT,0.216,cat,-0.384
0.0285,440,CAt,qrvptfhfug
friibpucrv,-760,Dog,sbwnehugbb
291,-298,CaT,524
-267,-615,CaT,frmeulkewv
dscoomdhjd,caT,CaT,ilkymkykea
375,dog,DoG,cbopqdimsn
juunzhdyqp,0.34,DOg,345
0.262,0.1185,ehwyewmhdy,rfocgvzkxo
912,-492,0.097,mevgtlxsif
329,0.472,gbsznpwkvw,legfacorap
qadndnwpcz,454,-0.3235,0.4495
549,403,cAT,0.244
gkgrwhvisb,539,cAt,rvawkwdire
251,iqfmdmwxxk,0.2135,CaT
-991,412,Dog,DoG
-0.4195,htrbhpejcf,emocvxczwj,8
-0.397,-882,Cat,jtqnbogbyx
dxygbhwbsk,-0.073,doG,lttewmpqac
0.3445,840,dog,skcwcoqywm
zhkljphcxg,0.189,Dog,CAt
-0.02,bqivcpxkic,DOg,-0.4805
-0.4485,xsghjfomlv,doG,bragfcqvuh
dywwmabdzx,-800,DOg,745
-0.107,Cat,dmjxepcjqd,-175
-0.2805,CAt,cAt,0.028
0.235,CAt,dOg,njfudwmvjh
-606,-584,dog,0.222
-0.3945,tavzobpnkl,caT,cat
rlxxsubyhx,kkestuyvph,858,371
rfvaxjctjl,emgsmqgaze,-0.0105,punfefytfc
558,815,DOG,-0.142
-0.494,Dog,dog,815
