prxqmmimgy,vffrsonqlz,sbosgkqdav,bwzhgqjdoq,jrfnqidhaz
-279,afumdaqeqw,0.007,436,rsqvkxxgyu
5,-677,-935,iyfqytqvyy,doG
doG,fdfemiulih,-0.4355,-0.432,Dog
-788,-718,0.282,Dog,-0.094
383,0.4185,-226,-0.4645,doG
srvgnscbpb,Dog,yqmhwqlcsh,0.0665,ywitpfznbn
etewgvwvih,0.4465,caT,743,-0.4145
DOG,cmjlxuvulu,ujedibiafm,ldtanghyln,339
-0.1085,0.459,-0.067,-0.2195,bcmqhjlfef
-846,-96,DOg,-0.1665,ebcmpjinxd
Dog,DOG,CAT,Cat,wwazuuxaej
aqajxkqspo,0.303,-0.4185,0.073,558
dyrbolxzln,CaT,DOg,-0.089,-0.019
lbhembdfio,-405,-270,cAt,vlwgjdxfsh
-892,CaT,0.3435,-110,lvncdcbzci
snktdozlnu,cAt,957,cat,-15
cAT,adkdlrhnvk,-0.2785,caT,Cat
CAT,0.053,589,DOg,CAt
-255,cAt,-0.237,uaeioshzfl,cxqtlxvuxp
dog,467,DoG,806,-134
wtghhecaui,yyxveaszyv,-0.182,cAT,iuwpmkedxu
fdftcwrrxr,-0.279,0.459,frmlzvzjas,dfwwuahlxi
cAt,uqqaylsvng,-243,kmqgoexxjs,iabcknkjhi
ejhvnozyrn,0.235,293,0.363,-0.0195
-74,734,-961,-0.403,0.3715
504,0.4885,0.208,Cat,0.3065
pbcsziqzyn,vkutzdside,0.1295,-0.0505,0.126
dOG,DOG,0.475,-948,-649
-925,-993,-644,-0.189,0.468
cAT,DOG,qxcypthcvv,CaT,-399
0.11,-0.283,CAT,-0.2325,210
-0.3745,ihycukoyvb,0.3565,49,DOg
-0.2935,nhcjguipsa,ybcazqqpxa,quhlidwixw,0.3675
617,-0.1015,inibehmuiz,dOG,cAT
CaT,80,jenauzusvb,-656,-0.4715
763,0.357,0.1215,-915,cat
tfsaclhcbe,yernecsejp,mdrpnosovq,-0.087,cAT
-0.1875,-202,150,-782,195
hhrpyawjnt,838,hyvszfpiyq,0.249,577
-336,-0.0875,0.0105,yjnxmxczih,cnafxpbdhp
-0.2475,-874,798,DOG,-0.384
CAT,0.158,-57,-0.397,CaT
-0.2855,907,-740,-951,463
dog,nirmhbwavr,caT,-631,gtgnsjzqpr
blylmgrxnc,-0.0355,-716,620,omykcboirb
