gcyhlsfdhp,jttgzechqp,qrywczbzjs,mosdjzcdph,jusynwbjrb,sujskiqjsh,PEt
knypfyhyky,0.0245,-126,qvjjjclwmh,-918,uafdtpzvzq,-0.483
skaxnvpjjz,ygshgfegae,0.324,-174,itsxiurgnk,-344,CAT
0.4875,677,762,0.105,-0.2685,-727,cAT
-494,dog,-450,-0.0295,DOG,chftmkzffu,-451
0.0335,-982,DoG,0.3705,ltgrvxswey,0.108,-0.263
CAT,zvhstbbyuv,-0.3435,poqbyppapt,-0.2845,-0.022,0.2
-0.2145,DoG,dog,ihxbwqydcp,-0.4705,0.2595,cAT
0.1805,-0.4655,0.4965,-375,uxthvhizgj,rjarrqrbwg,720
-70,0.0285,0.427,cAt,-0.469,bswsbmrnwm,cat
fjcxomgbah,890,qllcyhpxvf,0.011,0.2565,kuczqyljaw,CAt
ygcyucvssi,gqrnwnocjw,pggyjqkzrv,-0.0325,-0.4765,woxkwdmhgh,Dog
66,-0.263,cAT,104,-156,DoG,Dog
-0.078,246,-0.137,jcuqplftve,uoeykroixa,dOg,169
dog,590,CaT,svbudubqqp,koiapwknoi,-229,Cat
-234,DOG,dxictgvntn,Dog,caT,qmojtoeluz,cAT
CAT,nnrltrzgwo,0.4555,gtijrgdhwb,Dog,-0.2285,cAt
-0.28,caT,qgbjkcqzjz,etrlzvjulu,344,ajfbmyhmtt,dog
dog,760,-216,-0.051,-720,-0.34,czjsoothrr
0.122,dOg,gjefzmnwye,-0.223,693,625,Dog
383,0.031,692,DOG,knrbtvibus,440,DoG
-705,883,-0.3065,Dog,cAT,gmsaopltlz,Dog
0.2435,krzqjnjyjw,0.137,716,0.1765,-0.1955,doG
0.3955,wespcnfecf,dhjlsaqthg,969,105,846,dog
322,pveknbttse,dOg,0.1385,-0.291,CAt,0.203
-53,cAT,-806,0.1315,982,slndqexhch,DOg
748,dOg,okqcjthpap,ahwxipivif,648,581,Dog
-917,112,okcksoilpm,vojaybqvha,70,DoG,dog
881,yppnqgxkiu,kfvxqtkxlf,zvoaereosw,dOG,Dog,-760
0.4415,Dog,CAT,evzhhvoevm,Cat,ytdydllnlh,cat
caT,Cat,dog,guglsafxsl,doG,-976,354
CaT,lqlvqstxdi,-0.318,0.001,dfaaivwuoo,-0.496,DOG
0.26,bxbkndkcjj,644,cbjwubnrgs,hmrllxdkyq,0.4705,dog
-0.372,cAT,0.103,CaT,-37,wecmxblzte,cat
-0.406,Dog,lhghepobmp,CAT,-0.0735,448,tmnznisjlo
377,esqehohjjw,ymdsetdsfm,971,820,-3,CAT
Cat,qcfjrwnvdh,qhsckrjmif,opczdncioe,caT,-0.3345,dOg
Dog,ugjcxpolvw,dOG,jpgelwfxya,-824,ilvpxlygsg,214
0.003,orryoyqare,icvglgxkgc,0.0445,CAT,ojzpubscfs,-204
ujtjumqllq,Cat,dOg,265,10,ioywaxswsg,Dog
0.4995,okikoajhrp,caimfmtvsf,-0.464,0.1745,cAt,enmcfntsfh
-0.354,CAT,-0.285,rxflixjudu,-0.085,-624,0.4655
hltgaynzdo,gsiwvytsxu,DoG,350,bxwkakexai,-0.179,doG
0.4325,gjvxnzhfhx,-410,vppnooczvb,0.228,bvpfbpdosh,caT
-0.16,-342,512,-674,0.1935,otksvqumfa,dOG
-0.219,831,edtdhenbqa,0.3805,854,-0.366,Cat
-0.021,-714,zdcdhqhffc,0.0875,-0.2015,ycuhupwmys,utgnqufnyq
jteoclibgj,0.346,dog,0.148,221,ymeanhbuas,cAT
DOG,-0.166,vhofvehoyg,dog,CAT,xctktocpmg,cat
0.271,cat,66,0.208,0.005,501,DOg
0.0695,0.021,trydxpkihx,qogzncrlwc,-0.1665,Dog,DOG
uikehijolh,cAT,iitxqdvibu,-421,-301,yizojpvdie,DoG
723,dOG,-512,Cat,kbybnsuope,Cat,caT
665,cAt,44,-0.3515,238,0.076,tynjqpthym
-378,jvwaxmvusq,sthdbuvnnv,-181,597,-691,dOG
-0.342,0.2345,-317,-330,-0.2125,-0.0495,DOG
cat,-483,-772,0.1795,-0.006,0.252,dOG
qssxusyatc,fjirbdytzh,cAT,0.0045,mcaolgncwx,307,DoG
nlqbkbbwyw,CAt,-313,cAT,uytatoicid,-0.351,CAt
